Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,2,cautious,0.0,0.0,0.0,100000.0
2015-04-01,2,cautious,0.008313517511016534,0.001,1.0,100831.35175110165
2015-04-02,2,cautious,-0.003989236089062443,0.0,0.0,100429.11168378721
2015-04-06,2,cautious,0.00345562580775478,0.0,0.0,100776.15711397158
2015-04-07,2,cautious,0.001068718199643026,0.0,0.0,100883.85842716935
2015-04-08,2,cautious,-0.0005183488434061579,0.0,0.0,100831.56539583529
2015-04-09,2,cautious,-0.00593717861588109,0.0,0.0,100232.91038196131
2015-04-10,2,cautious,0.0056253080770918285,0.0,0.0,100796.75138232337
2015-04-13,2,cautious,-0.0029484635670663393,0.0,0.0,100499.55583319397
2015-04-14,2,cautious,0.0015850982747977363,0.0,0.0,100658.85750576311
2015-04-15,2,cautious,0.0036048401966295,0.0,0.0,101021.7166014467
2015-04-16,2,cautious,-0.003115699173219644,0.0,0.0,100706.96332255434
2015-04-17,2,cautious,0.002621366387148394,0.0,0.0,100970.95317115987
2015-04-20,2,cautious,-0.003072202163778193,0.0,0.0,100660.74999034869
2015-04-21,2,cautious,-0.000442938418891248,0.0,0.0,100616.16347690356
2015-04-22,2,cautious,-0.00866257844200341,0.0,0.0,99744.56806825145
2015-04-23,2,cautious,0.0046649792110458055,0.0,0.0,100209.87440470459
2015-04-24,2,cautious,-0.0010215056534518259,0.0,0.0,100107.50945146849
2015-04-27,2,cautious,0.004803008829959754,0.0,0.0,100588.32670330917
2015-04-28,1,rebound,-0.001961449110230618,0.0,0.0,100391.02781939736
2015-04-29,1,rebound,-0.0075437520625379895,0.0004,0.4,99633.70279622449
2015-04-30,1,rebound,-0.008017452120838355,0.0,0.0,98834.89435443393
2015-05-01,1,rebound,0.0006949734285645494,0.0,0.0,98903.58197982523
2015-05-04,1,rebound,0.00039711639437552994,0.0,0.0,98942.85821369188
2015-05-05,1,rebound,-0.005580210379093409,0.0,0.0,98390.73624935068
2015-05-06,1,rebound,-0.007299549900259816,0.0,0.0,97672.52816037524
2015-05-07,1,rebound,0.004381875652494283,0.0,0.0,98100.51703343875
2015-05-08,1,rebound,0.008363314344851113,0.0,0.0,98920.96249478182
2015-05-11,1,rebound,-0.010455818546172502,0.0,0.0,97886.66286052365
2015-05-12,1,rebound,0.0009911294370661295,0.0,0.0,97983.68121358089
2015-05-13,1,rebound,0.0012728433987720502,0.0,0.0,98108.39909540098
2015-05-14,1,rebound,0.007102455985896983,0.0,0.0,98805.20968182287
2015-05-15,1,rebound,0.0071544771861487225,0.0,0.0,99512.10930036413
2015-05-18,1,rebound,-0.003497204482159599,0.0,0.0,99164.09510568973
2015-05-19,1,rebound,-0.005597975560861191,0.0,0.0,98608.97692477317
2015-05-20,1,rebound,0.0004821078225031639,0.0,0.0,98656.51708391764
2015-05-21,1,rebound,0.004980049165202316,0.0,0.0,99147.83138946319
2015-05-22,1,rebound,-0.0012254159895238592,0.0,0.0,99026.33405155192
2015-05-26,2,cautious,-0.0031666066015913043,0.0,0.0,98712.75660841289
2015-05-27,0,aggressive,0.0033094541616383254,0.0004,0.4,99039.4419515774
2015-05-28,0,aggressive,-0.0019645142500116725,0.0008,0.8,98844.87755655033
2015-05-29,1,rebound,-0.003837705856830265,0.0,0.0,98465.53999103387
2015-06-01,1,rebound,-0.002781347529825006,0.00039999999999999996,0.39999999999999997,98191.67310460693
2015-06-02,1,rebound,-0.003874841757658098,0.0,0.0,97811.19590940689
2015-06-03,3,defensive,-0.004930843417284458,0.0,0.0,97328.90421792028
2015-06-04,3,defensive,0.0021083720184240993,0.0006,0.6,97534.10975615721
2015-06-05,3,defensive,-0.008027753365635238,0.0,0.0,96751.12997829799
2015-06-08,3,defensive,-0.0009004863951055932,0.0,0.0,96664.00690204144
2015-06-09,3,defensive,-0.003320988605448849,0.0,0.0,96342.98683656273
2015-06-10,3,defensive,0.0005752321359968615,0.0,0.0,96398.40641866904
2015-06-11,3,defensive,0.00979124502403501,0.0,0.0,97342.26683584072
2015-06-12,1,rebound,-0.0016103506763995524,0.0,0.0,97185.51165059936
2015-06-15,3,defensive,-0.0013763884641192709,0.0006,0.6,97051.74663348396
2015-06-16,1,rebound,0.003344776942008909,0.0006,0.6,97376.36307780532
2015-06-17,1,rebound,-0.0011740730406556536,0.0006,0.6,97262.03611511856
2015-06-18,3,defensive,0.006309654018203848,0.0,0.0,97875.72591211103
2015-06-19,1,rebound,0.004413237890967748,0.0006,0.6,98307.67477431233
2015-06-22,3,defensive,-0.006731649492695656,0.0006,0.6,97645.90196528974
2015-06-23,1,rebound,-0.005438861333592304,0.0006,0.6,97114.81944470698
2015-06-24,3,defensive,-0.0021754872175080093,0.0006,0.6,96903.54739637442
2015-06-25,3,defensive,-0.0033606371776610626,0.0006,0.6,96577.88973234691
2015-06-26,3,defensive,-0.0053383671691282775,0.0,0.0,96062.32149653607
2015-06-29,3,defensive,0.01039964469618273,0.0,0.0,97061.33550879051
2015-06-30,1,rebound,-0.004904977456033732,0.0,0.0,96585.25184626738
2015-07-01,1,rebound,-0.001335844893942594,0.0006,0.6,96456.22893075839
2015-07-02,3,defensive,0.00013518539721769636,0.0,0.0,96469.26840438052
2015-07-06,3,defensive,0.008903363587037716,0.0006,0.6,97328.16937596023
2015-07-07,3,defensive,0.0024748829215951898,0.0,0.0,97569.04520013893
2015-07-08,3,defensive,0.001856661352908495,0.0,0.0,97750.19787560221
2015-07-09,3,defensive,-0.008760317586794186,0.0,0.0,96893.87509803998
2015-07-10,3,defensive,-0.005060444707575151,0.0,0.0,96403.54900060366
2015-07-13,1,rebound,-0.0006888975811775498,0.0,0.0,96337.1368288802
2015-07-14,1,rebound,0.0021038701047987112,0.0006,0.6,96539.81765103638
2015-07-15,1,rebound,0.0019653083457126796,0.0,0.0,96729.54816035955
2015-07-16,1,rebound,0.005357733214720172,0.0,0.0,97247.79927338318
2015-07-17,1,rebound,-4.902839560134726e-05,0.0,0.0,97243.03136980905
2015-07-20,1,rebound,-0.006435033720525674,0.0,0.0,96617.26918385818
2015-07-21,1,rebound,-0.0009757752719055214,0.0,0.0,96522.99244174953
2015-07-22,1,rebound,-0.00011165335636048623,0.0,0.0,96512.21532567745
2015-07-23,1,rebound,2.5472684809801655e-05,0.0,0.0,96514.67375091875
2015-07-24,1,rebound,-0.0024874127711651986,0.0,0.0,96274.60191882588
2015-07-27,0,aggressive,-0.002232458082449618,0.0,0.0,96059.67290563758
2015-07-28,1,rebound,0.006891974397258482,0.00039999999999999996,0.39999999999999997,96721.71371191225
2015-07-29,1,rebound,0.0022112509407375084,0.00039999999999999996,0.39999999999999997,96935.58969234745
2015-07-30,1,rebound,0.0007185354579972711,0.0,0.0,97005.24135068328
2015-07-31,1,rebound,0.002726644889597107,0.0,0.0,97269.74019627625
2015-08-03,1,rebound,-0.00011031091158904011,0.0,0.0,97259.01028256517
2015-08-04,0,aggressive,-0.002953389338802936,0.0,0.0,96971.76655849413
2015-08-05,1,rebound,4.1429574083140996e-05,0.00039999999999999996,0.39999999999999997,96975.78405748073
