Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-30,0,defensive,0.0,0.0,0.0,100000.0
2015-03-31,3,aggressive,-0.0019120698829826802,0.001,1.0,99808.79301170174
2015-04-01,2,rebound,0.0008581824667466605,0.001,1.0,99894.44716789151
2015-04-02,1,cautious,-0.002333327851704991,0.00039999999999999996,0.39999999999999997,99661.360672084
2015-04-06,1,cautious,0.00305562580775478,0.0004,0.4,99965.88849778957
2015-04-07,3,aggressive,0.001068718199643026,0.0,0.0,100072.72386217063
2015-04-08,0,defensive,0.0010739279313762623,0.0008,0.8,100180.19475549513
2015-04-09,2,rebound,-0.008675967999403511,0.001,1.0,99311.03459162245
2015-04-10,0,defensive,0.004836167209726773,0.0006,0.6,99791.31936067849
2015-04-13,0,defensive,-0.0029573551733286674,0.0006,0.6,99496.20098611391
2015-04-14,2,rebound,0.0021026018742456914,0.0,0.0,99705.40188478763
2015-04-15,3,aggressive,0.003121324525037351,0.0006,0.6,100016.61480096933
2015-04-16,2,rebound,-0.0019414583343545172,0.00039999999999999996,0.39999999999999997,99822.43671059006
2015-04-17,3,aggressive,-0.0017213284728624487,0.00039999999999999996,0.39999999999999997,99650.60950804962
2015-04-20,2,rebound,0.003469909264432869,0.00039999999999999996,0.39999999999999997,99996.38808118796
2015-04-21,3,aggressive,-0.0012036267808624098,0.00039999999999999996,0.39999999999999997,99876.02975050395
2015-04-22,2,rebound,-0.001357013291905262,0.00039999999999999996,0.39999999999999997,99740.49665058978
2015-04-23,0,defensive,0.00360851067657817,0.00039999999999999996,0.39999999999999997,100100.41129764065
2015-04-24,3,aggressive,-0.0012298346436041096,0.0006,0.6,99977.30434398778
2015-04-27,1,cautious,-0.0018938141043898563,0.001,1.0,99787.96591490226
2015-04-28,2,rebound,-0.002761449110230618,0.0008,0.8,99512.40652521484
2015-04-29,1,cautious,-0.0075437520625379895,0.0004,0.4,98761.70960324213
2015-04-30,0,defensive,-0.008004326530579342,0.0004,0.4,97971.18863085953
2015-05-01,3,aggressive,-0.005793560254004315,0.00019999999999999996,0.19999999999999996,97403.58664637023
2015-05-04,3,aggressive,8.107384540047193e-06,0.001,1.0,97404.37633470276
2015-05-05,2,rebound,-0.008012594892074431,0.0,0.0,96623.91452641763
2015-05-06,1,cautious,-0.007699549900259816,0.00039999999999999996,0.39999999999999997,95879.95387496304
2015-05-07,3,aggressive,0.0037056415785352353,0.0004,0.4,96235.25061859016
2015-05-08,2,rebound,0.00944143031849456,0.0008,0.8,97143.84903148844
2015-05-11,1,cautious,-0.010855818546172501,0.00039999999999999996,0.39999999999999997,96089.27303352582
2015-05-12,1,cautious,0.0023031624767506087,0.0004,0.4,96310.5822415949
2015-05-13,0,defensive,0.002224063619534799,0.0,0.0,96524.78310373463
2015-05-14,0,defensive,0.004853145097649381,0.00019999999999999996,0.19999999999999996,96993.2318816562
2015-05-15,2,rebound,0.011137948632526306,0.0,0.0,98073.5375160568
2015-05-18,3,aggressive,-0.004097204482159599,0.0006,0.6,97671.71017856477
2015-05-19,0,defensive,-0.003790030430090573,0.00039999999999999996,0.39999999999999997,97301.53142482902
2015-05-20,3,aggressive,0.000194846229111768,0.001,1.0,97320.49026131394
2015-05-21,3,aggressive,0.003499903635464519,0.001,1.0,97661.10259898471
2015-05-22,1,cautious,-0.0016669285892871976,0.0,0.0,97498.30851500115
2015-05-26,2,rebound,-0.001567298836573337,0.0008,0.8,97345.49952949773
2015-05-27,0,defensive,0.004996789096184817,0.0004,0.4,97831.91446010939
2015-05-28,3,aggressive,-0.001705228248011547,0.0006,0.6,97665.08871601494
2015-05-29,2,rebound,-0.004837705856830265,0.001,1.0,97192.61374432563
2015-06-01,1,cautious,-0.002781347529825006,0.00039999999999999996,0.39999999999999997,96922.28730817062
2015-06-02,0,defensive,-0.005068013375000013,0.0004,0.4,96431.0838597572
2015-06-03,3,aggressive,-0.009857096656411046,0.00019999999999999996,0.19999999999999996,95480.5533454691
2015-06-04,1,cautious,-0.0050126630991131,0.001,1.0,95001.94149903137
2015-06-05,3,aggressive,-0.007781119788904667,0.0008,0.8,94262.7200120489
2015-06-08,2,rebound,-0.00503154157948864,0.0008,0.8,93788.4332169126
2015-06-09,3,aggressive,-0.0024029430342857308,0.00039999999999999996,0.39999999999999997,93563.06495461745
2015-06-10,3,aggressive,0.00709589795098553,0.00039999999999999996,0.39999999999999997,94226.97891551685
2015-06-11,0,defensive,0.006006346967300735,0.0,0.0,94792.93884456399
2015-06-12,1,cautious,-0.0026103506763995527,0.001,1.0,94545.49603253318
2015-06-15,1,cautious,0.00048343343948698025,0.00019999999999999996,0.19999999999999996,94591.20248686819
2015-06-16,1,cautious,0.0037027472956681633,0.0,0.0,94941.44980607045
2015-06-17,0,defensive,-0.0012024361254034947,0.0,0.0,94827.28877702545
2015-06-18,2,rebound,0.0032992463939093717,0.00019999999999999996,0.19999999999999996,95140.14736756725
2015-06-19,0,defensive,0.0006862849327583747,0.0006,0.6,95205.44061720603
2015-06-22,2,rebound,-0.01363556324860523,0.0006,0.6,93907.26081005878
2015-06-23,2,rebound,-0.003366308486967539,0.0006,0.6,93591.14000100602
2015-06-24,3,aggressive,-0.0015754872175080094,0.0,0.0,93443.68835626243
2015-06-25,2,rebound,-0.003362566498651109,0.00039999999999999996,0.39999999999999997,93129.47774028526
2015-06-26,1,cautious,-0.003654163252707076,0.00039999999999999996,0.39999999999999997,92789.16742498291
2015-06-29,3,aggressive,0.005255747267043499,0.0004,0.4,93276.84383808803
2015-06-30,1,cautious,-0.0013403783775445812,0.0008,0.8,93151.81757348185
2015-07-01,1,cautious,-0.0048358567188308554,0.0008,0.8,92701.34873059782
2015-07-02,3,aggressive,0.00045055707896749517,0.0,0.0,92743.11597949822
2015-07-06,1,cautious,0.001183286316859445,0.0008,0.8,92852.85763961967
2015-07-07,0,defensive,0.0013642503747784097,0.0008,0.8,92979.53218545378
2015-07-08,1,cautious,0.0016566613529084952,0.00019999999999999996,0.19999999999999996,93133.56778303692
2015-07-09,3,aggressive,-0.006809144529009602,0.00019999999999999996,0.19999999999999996,92499.40785949992
2015-07-10,0,defensive,0.004959280542551392,0.0008,0.8,92958.13837309506
2015-07-13,1,cautious,-0.0016888975811775498,0.001,1.0,92801.14159804597
2015-07-14,0,defensive,0.0017393889360872942,0.00019999999999999996,0.19999999999999996,92962.55887699788
2015-07-15,2,rebound,0.0034605470058613583,0.00019999999999999996,0.19999999999999996,93284.26018177687
2015-07-16,1,cautious,0.004757733214720172,0.0006,0.6,93728.08180485432
2015-07-17,1,cautious,-0.0011134625457219214,0.0004,0.4,93623.71909628225
2015-07-20,0,defensive,-0.009674856739603598,0.0,0.0,92717.92302659684
2015-07-21,2,rebound,0.0007801563648579204,0.00019999999999999996,0.19999999999999996,92790.25750438245
