Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-04-01,2,rebound,0.004585849988881597,0.001,1.0,100458.58499888815
2015-04-02,1,defensive,-0.006008548476628472,0.0006,0.6,99854.97472102883
2015-04-06,1,cautious,0.00325562580775478,0.00019999999999999996,0.19999999999999996,100180.06515376332
2015-04-07,1,cautious,0.001068718199643026,0.0,0.0,100287.12941263456
2015-04-08,1,cautious,-0.0005183488434061578,0.0,0.0,100235.145695095
2015-04-09,1,cautious,-0.00593717861588109,0.0,0.0,99640.03173151436
2015-04-10,1,cautious,0.0056253080770918285,0.0,0.0,100200.53760681533
2015-04-13,1,cautious,-0.0029484635670663393,0.0,0.0,99905.09997228117
2015-04-14,1,cautious,0.0015850982747977363,0.0,0.0,100063.45937389074
2015-04-15,2,cautious,0.0036048401966294994,0.0,0.0,100424.17215445553
2015-04-16,1,cautious,-0.003115699173219644,0.0,0.0,100111.28064430263
2015-04-17,1,cautious,0.002621366387148394,0.0,0.0,100373.70899035798
2015-04-20,1,cautious,-0.003072202163778193,0.0,0.0,100065.34066441136
2015-04-21,2,cautious,-0.000442938418891248,0.0,0.0,100021.01788063164
2015-04-22,1,cautious,-0.00866257844200341,0.0,0.0,99154.57796739165
2015-04-23,2,cautious,0.0046649792110458055,0.0,0.0,99617.13201228956
2015-04-24,1,cautious,-0.001021505653451826,0.0,0.0,99515.37254875834
2015-04-27,1,cautious,0.004803008829959754,0.0,0.0,99993.34576182676
2015-04-28,1,cautious,-0.001961449110230618,0.0,0.0,99797.21390275324
2015-04-29,1,cautious,-0.00825130550463783,0.0,0.0,98973.75660232993
2015-04-30,1,cautious,-0.0076043265305793415,0.0,0.0,98221.12783916773
2015-05-01,1,cautious,-0.00316323009292,0.0,0.0,97910.43181182633
2015-05-04,1,cautious,-0.00021387459578898812,0.0,0.0,97889.49125779906
2015-05-05,1,cautious,-0.0031478258661123857,0.0,0.0,97581.35218519717
2015-05-06,1,cautious,-0.008240657393498753,0.0,0.0,96777.21769384462
2015-05-07,2,cautious,0.0041056415785352355,0.0,0.0,97174.55026266341
2015-05-08,2,cautious,0.006485198371207668,0.0,0.0,97804.74649774969
2015-05-11,1,cautious,-0.01231986561086439,0.0,0.0,96599.80516479275
2015-05-12,1,cautious,0.002703162476750609,0.0,0.0,96860.93013337564
2015-05-13,2,cautious,0.0022240636195347994,0.0,0.0,97076.35500423958
2015-05-14,1,cautious,0.005826693026403529,0.0,0.0,97641.98912497146
2015-05-15,1,cautious,0.009241348660658866,0.0,0.0,98544.33279039557
2015-05-18,1,cautious,-0.005804759373275958,0.0,0.0,97972.3066509473
2015-05-19,1,cautious,-0.0078059206916318066,0.0,0.0,97207.54259525378
