Date,GLD,HYG,LQD,SPY,TLT,UUP,^VIX
2015-01-02,"(114.080002, 114.800003, 112.320000, 112.489998, 7109600)","(49.303162, 49.484748, 49.242633, 49.352687, 3271900)","(81.027115, 81.304348, 80.837784, 80.871590, 2523600)","(170.125000, 171.325815, 169.089824, 170.911744, 121465900)","(93.712090, 93.962345, 92.850929, 92.953973, 9432000)","(20.216694, 20.216694, 20.141508, 20.149862, 1887600)","(17.790001, 20.139999, 17.049999, 17.760000, 0)"
2015-01-05,"(115.800003, 116.000000, 114.730003, 114.779999, 8177400)","(48.846455, 49.105077, 48.780426, 49.028041, 7523100)","(81.358376, 81.601802, 81.202851, 81.270474, 3218800)","(167.052628, 169.247196, 166.746219, 169.081571, 169632600)","(95.184166, 95.412335, 94.183151, 94.219950, 9789500)","(20.258461, 20.308585, 20.233398, 20.308585, 2855500)","(19.920000, 21.290001, 19.190001, 19.190001, 0)"
2015-01-06,"(117.120003, 117.500000, 115.800003, 116.220001, 11238300)","(48.659370, 48.951007, 48.609845, 48.752913, 9489700)","(81.689743, 81.933170, 81.459843, 81.581556, 5313400)","(165.479065, 167.880668, 164.684044, 167.358935, 209151400)","(96.899086, 97.517364, 95.824480, 96.199854, 18331300)","(20.300234, 20.308588, 20.208341, 20.300234, 2262700)","(21.120001, 22.900000, 19.520000, 20.330000, 0)"
2015-01-07,"(116.430000, 116.879997, 116.169998, 116.470001, 6434200)","(48.962013, 49.127088, 48.901484, 49.039049, 8353100)","(81.797920, 81.852016, 81.486876, 81.574778, 1636600)","(167.541183, 167.880724, 166.356948, 166.804139, 125346700)","(96.707726, 97.134628, 95.809761, 96.199859, 9762900)","(20.375420, 20.442252, 20.333650, 20.408836, 2384600)","(19.309999, 20.719999, 19.040001, 20.150000, 0)"
2015-01-08,"(115.940002, 116.870003, 115.849998, 116.449997, 7033700)","(49.330692, 49.429739, 48.962020, 49.143602, 8388600)","(81.534203, 81.595057, 81.392205, 81.581535, 2156900)","(170.514206, 170.729531, 168.932466, 168.949020, 147217800)","(95.427055, 95.957002, 95.257770, 95.949646, 8055300)","(20.458960, 20.467314, 20.400482, 20.458960, 1685500)","(17.010000, 18.090000, 16.990000, 17.930000, 0)"
2015-01-09,"(117.260002, 117.339996, 116.500000, 116.510002, 7962900)","(49.578297, 49.600308, 49.176610, 49.369200, 6766700)","(81.750542, 81.831680, 81.405687, 81.425972, 1530400)","(169.147781, 170.944846, 168.534953, 170.928279, 158567300)","(96.472244, 96.501681, 94.978081, 95.095849, 9398800)","(20.367067, 20.467316, 20.350361, 20.467316, 2320100)","(17.549999, 18.420000, 16.440001, 16.440001, 0)"
2015-01-12,"(118.559998, 118.709999, 117.320000, 117.459999, 8318200)","(49.517754, 49.616800, 49.325164, 49.616800, 8698500)","(81.906090, 81.946664, 81.730286, 81.777618, 1948000)","(167.822800, 169.437685, 167.218260, 169.280336, 144396100)","(97.024315, 97.384965, 96.361875, 96.420760, 6658100)","(20.367067, 20.417193, 20.350361, 20.408838, 1938700)","(19.600000, 20.440001, 18.020000, 18.020000, 0)"
2015-01-13,"(118.160004, 119.190002, 117.870003, 118.959999, 7693200)","(49.517754, 49.649819, 49.270139, 49.523257, 7738700)","(81.980499, 82.007547, 81.757363, 81.906119, 1468300)","(167.350708, 170.166382, 166.050521, 169.040110, 214553300)","(97.024315, 97.605779, 96.523804, 96.707813, 8260800)","(20.425545, 20.467314, 20.392128, 20.442252, 1003700)","(20.559999, 21.580000, 17.650000, 18.209999, 0)"
2015-01-14,"(117.970001, 119.320000, 117.900002, 119.080002, 7727400)","(49.402210, 49.435224, 49.165599, 49.253642, 7415500)","(82.122513, 82.372703, 82.054895, 82.298322, 2457000)","(166.340439, 166.539197, 164.444001, 165.338382, 192991100)","(97.760307, 98.717145, 97.671975, 98.422735, 12324500)","(20.383772, 20.408834, 20.333648, 20.350357, 1373300)","(21.480000, 23.340000, 21.320000, 22.870001, 0)"
2015-01-15,"(120.940002, 121.699997, 120.339996, 120.410004, 17692500)","(49.099552, 49.512246, 49.088545, 49.512246, 7061300)","(82.548500, 82.676971, 82.122501, 82.176597, 2171300)","(164.816605, 167.292738, 164.700665, 166.978053, 176613900)","(99.298553, 99.386874, 97.657186, 97.782322, 11454200)","(20.450607, 20.534148, 20.383775, 20.408838, 2587500)","(22.389999, 23.309999, 20.860001, 21.230000, 0)"
2015-01-16,"(122.519997, 123.150002, 121.709999, 121.730003, 14428200)","(49.286636, 49.358168, 49.154576, 49.160075, 7685500)","(82.088699, 82.433554, 81.973749, 82.298315, 1322500)","(166.978058, 167.135407, 164.427382, 164.609574, 211879600)","(98.032600, 99.129286, 97.914832, 98.871681, 9390500)","(20.542501, 20.667811, 20.509085, 20.550856, 3106100)","(20.950001, 23.430000, 20.950001, 22.799999, 0)"
2015-01-20,"(124.199997, 124.599998, 123.489998, 123.629997, 14968600)","(49.198620, 49.435227, 49.116080, 49.435227, 5915300)","(82.278015, 82.534963, 82.244204, 82.298300, 1648900)","(167.334152, 167.880728, 165.768966, 167.615717, 130991100)","(99.335358, 99.445759, 98.680287, 98.724447, 7758700)","(20.626040, 20.634394, 20.550853, 20.559208, 1526900)","(19.889999, 21.370001, 19.580000, 20.070000, 0)"
2015-01-21,"(124.230003, 125.339996, 123.370003, 125.180000, 11082700)","(49.462757, 49.473765, 49.138106, 49.171121, 6110700)","(82.244217, 82.568787, 82.034602, 82.548503, 1878000)","(168.178864, 168.659187, 166.406642, 166.870399, 122942700)","(98.187134, 99.799053, 97.863288, 99.512000, 9803900)","(20.567562, 20.617686, 20.408836, 20.467313, 2895500)","(18.850000, 21.280001, 18.639999, 20.920000, 0)"
2015-01-22,"(125.230003, 125.580002, 124.150002, 125.070000, 10518400)","(49.528763, 49.616802, 49.402202, 49.534262, 6940100)","(82.203606, 82.467317, 81.987227, 82.413221, 1938400)","(170.679855, 170.812348, 167.557760, 168.932477, 174356000)","(97.833862, 98.761263, 97.362800, 98.628782, 10200000)","(20.876659, 20.893368, 20.626040, 20.684518, 3542900)","(16.400000, 19.230000, 16.070000, 17.980000, 0)"
2015-01-23,"(124.230003, 124.500000, 123.349998, 124.430000, 6270900)","(49.528763, 49.600295, 49.484741, 49.528763, 5134500)","(82.683708, 82.771615, 82.521426, 82.555232, 1436300)","(169.744064, 170.679868, 169.611559, 170.423133, 117516800)","(99.195541, 99.453147, 98.739192, 98.849604, 7334600)","(21.060450, 21.060450, 20.935140, 21.052097, 2381900)","(16.660000, 17.090000, 15.810000, 16.790001, 0)"
2015-01-26,"(122.989998, 123.339996, 122.519997, 123.330002, 6768600)","(49.754402, 49.792920, 49.484777, 49.561812, 8252300)","(82.663422, 82.812183, 82.494376, 82.731039, 2347900)","(170.141571, 170.232667, 168.816553, 169.528755, 92009700)","(98.893738, 99.504649, 98.665569, 99.247032, 5966500)","(21.027035, 21.052097, 20.976911, 21.052097, 2516900)","(15.520000, 17.430000, 15.520000, 16.959999, 0)"
2015-01-27,"(124.400002, 124.639999, 123.510002, 123.559998, 9584800)","(49.715870, 49.759892, 49.528784, 49.567302, 8771100)","(82.724274, 83.055607, 82.629608, 82.954179, 1268000)","(167.897324, 169.040150, 167.069183, 168.087793, 134044600)","(99.048355, 100.196569, 98.739210, 99.902148, 8079600)","(20.826538, 20.885016, 20.759706, 20.851599, 2282400)","(17.219999, 18.410000, 16.670000, 17.600000, 0)"
2015-01-28,"(123.419998, 123.889999, 122.940002, 123.519997, 8470600)","(49.611290, 49.798376, 49.528750, 49.748855, 5622400)","(83.285522, 83.400472, 82.744579, 82.758100, 1367900)","(165.744125, 169.180905, 165.553656, 169.081532, 168514300)","(100.667587, 101.138650, 99.143988, 99.180792, 12230300)","(20.951847, 20.968555, 20.834892, 20.876661, 1987000)","(20.440001, 20.440001, 16.920000, 16.969999, 0)"
2015-01-29,"(120.760002, 122.290001, 120.260002, 121.989998, 11998000)","(49.787388, 49.809394, 49.605802, 49.710348, 4923200)","(83.089424, 83.190853, 82.960953, 83.075903, 1674500)","(167.276230, 167.532952, 164.535072, 165.942922, 173585400)","(100.005211, 100.594042, 99.703445, 100.189220, 8881400)","(20.968555, 21.043742, 20.885015, 20.935139, 1564500)","(18.760000, 21.559999, 18.660000, 20.459999, 0)"
2015-01-30,"(123.449997, 123.550003, 120.919998, 121.300003, 14555900)","(49.649837, 49.787402, 49.627827, 49.732373, 6383000)","(83.772377, 83.779140, 83.461333, 83.542477, 3499000)","(165.172699, 167.425243, 164.907700, 166.100225, 197729700)","(101.779076, 101.941004, 100.969431, 101.359541, 14871200)","(20.993616, 21.018679, 20.968555, 20.993616, 1740900)","(20.969999, 22.180000, 19.240000, 20.230000, 0)"
2015-02-02,"(122.419998, 123.160004, 121.820000, 121.839996, 8885200)","(49.840435, 49.840435, 49.658111, 49.740986, 4120600)","(83.850334, 83.884237, 83.429967, 83.558787, 5684700)","(167.218216, 167.309312, 163.855966, 165.669596, 163107000)","(101.394791, 101.719303, 100.790027, 100.819523, 13689900)","(20.951847, 20.976910, 20.901723, 20.968555, 1816100)","(19.430000, 22.809999, 19.350000, 20.889999, 0)"
2015-02-03,"(121.050003, 121.760002, 120.559998, 121.739998, 8255900)","(50.122204, 50.182978, 49.890158, 49.934354, 11682400)","(83.172325, 83.524897, 83.070622, 83.436751, 2828500)","(169.636353, 169.644642, 167.739916, 168.112577, 124212900)","(99.248619, 100.148388, 99.101105, 100.045135, 14008700)","(20.709581, 20.826537, 20.626041, 20.809829, 4196800)","(17.330000, 18.889999, 17.200001, 18.410000, 0)"
2015-02-04,"(121.580002, 122.220001, 120.919998, 121.629997, 5386700)","(49.912270, 50.078019, 49.890174, 50.078019, 8333900)","(83.287590, 83.307935, 82.846883, 82.894344, 3209500)","(168.990402, 170.083554, 168.534922, 168.874463, 134306700)","(99.418221, 99.558352, 98.179175, 98.452066, 11360400)","(20.834892, 20.843246, 20.759706, 20.759706, 1158600)","(18.330000, 18.379999, 16.820000, 17.820000, 0)"
