Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,1,aggressive,0.0,0.0,0.0,100000.0
2015-04-01,1,aggressive,0.0008581824667466607,0.0009999999999999998,0.9999999999999999,100085.81824667467
2015-04-02,0,cautious,0.00012258038565246006,0.0,0.0,100098.08680487366
2015-04-06,0,cautious,0.00265562580775478,0.0008,0.8,100363.90986749956
2015-04-07,0,cautious,0.001068718199643026,0.0,0.0,100471.1706045623
2015-04-08,0,cautious,-0.0005183488434061579,0.0,0.0,100419.09148948376
2015-04-09,0,cautious,-0.00593717861588109,0.0,0.0,99822.88540686619
2015-04-10,0,cautious,0.0056253080770918285,0.0,0.0,100384.41989042403
2015-04-13,0,cautious,-0.0029484635670663393,0.0,0.0,100088.44008567603
2015-04-14,0,cautious,0.0015850982747977363,0.0,0.0,100247.09009938304
2015-04-15,0,cautious,0.0036048401966295,0.0,0.0,100608.46483936845
2015-04-16,0,cautious,-0.003115699173219644,0.0,0.0,100294.99912864954
2015-04-17,0,cautious,0.002621366387148394,0.0,0.0,100557.90906816446
2015-04-20,0,cautious,-0.003072202163778193,0.0,0.0,100248.97484234023
2015-04-21,0,cautious,-0.000442938418891248,0.0,0.0,100204.5707199281
2015-04-22,0,cautious,-0.00866257844200341,0.0,0.0,99336.54076581945
2015-04-23,0,cautious,0.0046649792110458055,0.0,0.0,99799.9436633892
2015-04-24,0,cautious,-0.0010215056534518259,0.0,0.0,99697.99745672288
2015-04-27,0,cautious,0.004803008829959754,0.0,0.0,100176.84781883682
2015-04-28,0,cautious,-0.001961449110230618,0.0,0.0,99980.35602981686
2015-04-29,0,cautious,-0.00825130550463783,0.0,0.0,99155.38756775238
2015-04-30,0,cautious,-0.0076043265305793415,0.0,0.0,98401.37762342104
2015-05-01,0,cautious,-0.00316323009292,0.0,0.0,98090.11142453786
2015-05-04,0,cautious,-0.0002138745957889882,0.0,0.0,98069.13244160602
2015-05-05,0,cautious,-0.0031478258661123857,0.0,0.0,97760.42788983913
2015-05-06,0,cautious,-0.008240657393498753,0.0,0.0,96954.81769695712
2015-05-07,0,cautious,0.0041056415785352355,0.0,0.0,97352.87942773305
2015-05-08,0,cautious,0.006485198371207668,0.0,0.0,97984.23216283017
2015-05-11,0,cautious,-0.01231986561086439,0.0,0.0,96777.07959060036
2015-05-12,0,cautious,0.002703162476750609,0.0,0.0,97038.68376075919
2015-05-13,0,cautious,0.002224063619534799,0.0,0.0,97254.50396699904
2015-05-14,0,cautious,0.005826693026403529,0.0,0.0,97821.17610704988
2015-05-15,0,cautious,0.009241348660658866,0.0,0.0,98725.17570185084
2015-05-18,0,cautious,-0.005804759373275958,0.0,0.0,98152.09981281719
2015-05-19,0,cautious,-0.0078059206916318066,0.0,0.0,97385.93230596122
2015-05-20,0,cautious,0.0009556618367227211,0.0,0.0,97479.0003248997
2015-05-21,0,cautious,0.005460194694940113,0.0,0.0,98011.25464534179
2015-05-22,0,cautious,-0.0007839033897605207,0.0,0.0,97934.42329059064
2015-05-26,0,cautious,-0.0007672988365733371,0.0,0.0,97859.27832153928
2015-05-27,0,cautious,0.0037094541616383256,0.0,0.0,98222.28282876403
2015-05-28,0,cautious,-0.0009736694113184231,0.0,0.0,98126.6467964638
2015-05-29,0,cautious,-0.0007712297054773275,0.0,0.0,98050.9686115555
2015-06-01,0,cautious,-0.003951032885686346,0.0,0.0,97663.56601009784
2015-06-02,0,cautious,-0.004668013375000013,0.0,0.0,97207.6711777125
2015-06-03,0,cautious,-0.007784633788950224,0.0,0.0,96450.94505611731
2015-06-04,0,cautious,0.0005618045269327084,0.0,0.0,96505.13163367678
2015-06-05,0,cautious,-0.0069811197889046665,0.0,0.0,95831.41774949805
2015-06-08,0,cautious,-0.001404877400420301,0.0,0.0,95696.78635645156
2015-06-09,0,cautious,-0.002543717659681211,0.0,0.0,95453.36075102192
2015-06-10,0,cautious,0.0026498269063026433,0.0,0.0,95706.29563463699
2015-06-11,0,cautious,0.008010045983136505,0.0,0.0,96472.90746354607
2015-06-12,0,cautious,-0.0023757957486577716,0.0,0.0,96243.70754013353
2015-06-15,0,cautious,0.0006834334394869802,0.0,0.0,96309.48370820665
2015-06-16,0,cautious,0.0037027472956681633,0.0,0.0,96666.09338855441
2015-06-17,0,cautious,-0.0012024361254034947,0.0,0.0,96549.85858576238
2015-06-18,0,cautious,0.005030054326812028,0.0,0.0,97035.50961969479
2015-06-19,0,cautious,0.003285017515823374,0.0,0.0,97354.27296845234
2015-06-22,0,cautious,-0.010482575089425718,0.0,0.0,96333.74949178408
2015-06-23,0,cautious,-0.0041679696285853995,0.0,0.0,95932.23334969456
2015-06-24,0,cautious,0.0004738508430200964,0.0,0.0,95977.69091934014
2015-06-25,0,cautious,-0.0027140778048707955,0.0,0.0,95717.1999986532
2015-06-26,0,cautious,-0.00423336744019721,0.0,0.0,95311.99392071206
2015-06-29,0,cautious,0.005655747267043499,0.0,0.0,95851.05446984559
2015-06-30,0,cautious,-0.004002380969546382,0.0,0.0,95467.42203352453
2015-07-01,0,cautious,-0.004035856718830855,0.0,0.0,95082.12919688105
2015-07-02,0,cautious,0.00045055707896749517,0.0,0.0,95124.96912327402
2015-07-06,0,cautious,0.007365341243733604,0.0,0.0,95825.59698166655
2015-07-07,0,cautious,0.0021642503747784096,0.0,0.0,96032.98756584749
2015-07-08,0,cautious,-0.0006847230465677138,0.0,0.0,95967.23156603042
2015-07-09,0,cautious,-0.006609144529009603,0.0,0.0,95332.97026256158
2015-07-10,0,cautious,-0.00221548721142344,0.0,0.0,95121.76128611786
2015-07-13,0,cautious,0.0007249429856171937,0.0,0.0,95190.71913974179
2015-07-14,0,cautious,0.001939388936087294,0.0,0.0,95375.3309672596
2015-07-15,0,cautious,0.002567670333866257,0.0,0.0,95620.2233751669
2015-07-16,0,cautious,0.004080328194719462,0.0,0.0,96010.38526858996
2015-07-17,0,cautious,-0.0007134625457219214,0.0,0.0,95941.88545470049
2015-07-20,0,cautious,-0.009674856739603598,0.0,0.0,95013.6614575988
2015-07-21,0,cautious,4.3647698238036573e-05,0.0,0.0,95017.80858522259
2015-07-22,0,cautious,0.0003289615502931947,0.0,0.0,95049.06579084026
2015-07-23,1,aggressive,0.00194878980296217,0.0,0.0,95234.29644103453
2015-07-24,1,aggressive,-0.006587238846162723,0.0008,0.8,94606.96538403117
2015-07-27,1,aggressive,-0.0034662354574375278,0.0,0.0,94279.03536609646
2015-07-28,1,aggressive,0.007291974397258482,0.0,0.0,94966.51567818427
2015-07-29,1,aggressive,0.004215721404388128,0.0,0.0,95366.86805102894
2015-07-30,1,aggressive,0.000851383514301973,0.0,0.0,95448.0618302982
2015-07-31,1,aggressive,0.0010499857378599927,0.0,0.0,95548.2809339264
2015-08-03,1,aggressive,-0.001046542354240987,0.0,0.0,95448.28561105413
2015-08-04,1,aggressive,-0.002752757998677846,0.0,0.0,95185.53957937822
2015-08-05,1,aggressive,0.00044142957408314096,0.0,0.0,95227.55729157361
