Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-30,3,rebound,0.0,0.0,0.0,100000.0
2015-03-31,3,rebound,-0.0048840766931364625,0.001,1.0,99511.59233068636
2015-04-01,3,rebound,0.005585849988881597,0.0,0.0,100067.4491576003
2015-04-02,3,rebound,-0.0019333278517049911,0.0,0.0,99873.98597109485
2015-04-06,3,rebound,0.004137585980732328,0.0,0.0,100287.2231752887
2015-04-07,3,rebound,0.00019797906385128346,0.0,0.0,100307.0779458492
2015-04-08,3,rebound,0.0006777895439850524,0.0,0.0,100375.0650344686
2015-04-09,3,rebound,-0.003063216189567963,0.0,0.0,100067.59451022609
2015-04-10,3,rebound,0.005436167209726773,0.0,0.0,100611.57868625881
2015-04-13,3,rebound,-0.0032761229022011283,0.0,0.0,100281.96278909814
2015-04-14,3,rebound,0.0018668251322816907,0.0,0.0,100469.17167754736
2015-04-15,3,rebound,0.0037213245250373506,0.0,0.0,100843.05007012121
2015-04-16,3,rebound,-0.0023285787537870805,0.0,0.0,100608.22908626084
2015-04-17,3,rebound,-0.0013213284728624487,0.0,0.0,100475.2925685649
2015-04-20,3,rebound,0.0003988535503273384,0.0,0.0,100515.36749572605
2015-04-21,3,rebound,-0.0008036267808624099,0.0,0.0,100434.59065451825
2015-04-22,3,rebound,-0.004809795866954336,0.0,0.0,99951.5207754889
2015-04-23,3,rebound,0.00400851067657817,0.0,0.0,100352.17751365766
2015-04-24,3,rebound,0.0002230137053089716,0.0,0.0,100374.5574246008
2015-04-27,3,rebound,0.0019545973627849494,0.0,0.0,100570.74926983363
2015-04-28,3,rebound,-0.0008136131841248392,0.0,0.0,100488.92358229037
2015-04-29,3,rebound,-0.007143752062537989,0.0,0.0,99771.05562718716
2015-04-30,3,rebound,-0.008017452120838355,0.0,0.0,98971.14596565069
2015-05-01,3,rebound,0.0006949734285645494,0.0,0.0,99039.9282822914
2015-05-04,3,rebound,0.00039711639437552994,0.0,0.0,99079.25866151007
2015-05-05,3,rebound,-0.005580210379093409,0.0,0.0,98526.37555397423
2015-05-06,3,rebound,-0.007299549900259816,0.0,0.0,97807.17735912626
2015-05-07,3,rebound,0.004381875652494283,0.0,0.0,98235.75624823541
2015-05-08,3,rebound,0.008363314344851113,0.0,0.0,99057.33275764358
2015-05-11,3,rebound,-0.010455818546172502,0.0,0.0,98021.60726066183
2015-05-12,3,rebound,0.0009911294370661295,0.0,0.0,98118.7593610864
2015-05-13,3,rebound,0.0012728433987720502,0.0,0.0,98243.64917623487
2015-05-14,3,rebound,0.007102455985896983,0.0,0.0,98941.420370403
2015-05-15,3,rebound,0.0071544771861487225,0.0,0.0,99649.29450520819
2015-05-18,3,rebound,-0.003497204482159599,0.0,0.0,99300.80054582052
2015-05-19,3,rebound,-0.005597975560861191,0.0,0.0,98744.91709119106
2015-05-20,3,rebound,0.0004821078225031639,0.0,0.0,98792.52278815316
2015-05-21,3,rebound,0.004980049165202316,0.0,0.0,99284.51440879253
2015-05-22,3,rebound,-0.0012254159895238592,0.0,0.0,99162.84957732388
2015-05-26,3,rebound,-0.0031666066015913043,0.0,0.0,98848.83984321973
2015-05-27,3,rebound,0.005396789096184817,0.0,0.0,99382.30618425613
2015-05-28,3,rebound,-0.0010690918306650475,0.0,0.0,99276.05737260189
2015-05-29,3,rebound,-0.002304467781153796,0.0,0.0,99047.27889694675
2015-06-01,3,rebound,-0.002381347529825006,0.0,0.0,98811.41290400962
2015-06-02,3,rebound,-0.003874841757658098,0.0,0.0,98428.53431515596
2015-06-03,3,rebound,-0.004930843417284458,0.0,0.0,97943.19862465512
2015-06-04,3,rebound,-0.001725429286090197,0.0,0.0,97774.2045613748
2015-06-05,3,rebound,-0.00557410616016355,0.0,0.0,97229.20076542415
2015-06-08,3,rebound,-0.0028182094899544706,0.0,0.0,96955.18850912634
2015-06-09,3,rebound,-0.002002943034285731,0.0,0.0,96760.99278966413
2015-06-10,3,rebound,0.005072862428644087,0.0,0.0,97251.84799454511
2015-06-11,3,rebound,0.007008196475218618,0.0,0.0,97933.40805286898
2015-06-12,3,rebound,-0.0038801990492131734,0.0,0.0,97553.40693605602
2015-06-15,3,rebound,-0.0007763884641192708,0.0,0.0,97477.66759627534
