Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,3,cautious,0.0,0.0,0.0,100000.0
2015-04-01,3,cautious,0.008313517511016534,0.001,1.0,100831.35175110165
2015-04-02,3,cautious,-0.003989236089062443,0.0,0.0,100429.11168378721
2015-04-06,3,cautious,0.00345562580775478,0.0,0.0,100776.15711397158
2015-04-07,3,cautious,0.001068718199643026,0.0,0.0,100883.85842716935
2015-04-08,1,rebound,-0.0005183488434061579,0.0,0.0,100831.56539583529
2015-04-09,3,cautious,-0.003463216189567963,0.0004,0.4,100482.36388613695
2015-04-10,2,aggressive,0.005225308077091828,0.0004,0.4,101007.41519375646
2015-04-13,1,rebound,-0.004403782237335918,0.0008,0.8,100562.600532887
2015-04-14,2,aggressive,0.0014668251322816908,0.00039999999999999996,0.39999999999999997,100710.10828271625
2015-04-15,1,rebound,0.0034378088534452013,0.00039999999999999996,0.39999999999999997,101056.330384602
2015-04-16,1,rebound,-0.0027285787537870802,0.00039999999999999996,0.39999999999999997,100780.59022857888
2015-04-17,0,defensive,-0.0013213284728624487,0.0,0.0,100647.42596519798
2015-04-20,1,rebound,-0.0054683077305933015,0.0006,0.6,100097.05486772818
2015-04-21,1,rebound,-0.0014036267808624097,0.0006,0.6,99956.55596083039
2015-04-22,3,cautious,-0.004809795866954336,0.0,0.0,99475.785331095
2015-04-23,2,aggressive,0.004264979211045805,0.0004,0.4,99900.04748753458
2015-04-24,3,cautious,0.0006675330640697701,0.0008,0.8,99966.73407233466
2015-04-27,2,aggressive,0.0040030088299597534,0.0008,0.8,100366.90179152845
2015-04-28,3,cautious,-0.0004657772580190614,0.0008,0.8,100320.15317121612
2015-04-29,3,cautious,-0.00905130550463783,0.0008,0.8,99412.12481659139
2015-04-30,3,cautious,-0.0076043265305793415,0.0,0.0,98656.16255838731
2015-05-01,2,aggressive,-0.00316323009292,0.0,0.0,98344.09041613062
2015-05-04,2,aggressive,0.00020810738454004718,0.0008,0.8,98364.55654757211
2015-05-05,1,rebound,-0.008012594892074431,0.0,0.0,97576.40120421787
2015-05-06,2,aggressive,-0.007699549900259816,0.00039999999999999996,0.39999999999999997,96825.10683405821
2015-05-07,1,rebound,0.004258109726453329,0.00039999999999999996,0.39999999999999997,97237.39876323321
2015-05-08,2,aggressive,0.007963314344851114,0.00039999999999999996,0.39999999999999997,98011.73073566047
2015-05-11,1,rebound,-0.008991771481480613,0.00039999999999999996,0.39999999999999997,97130.43165038101
2015-05-12,3,cautious,0.0005911294370661295,0.00039999999999999996,0.39999999999999997,97187.84830776449
2015-05-13,1,rebound,0.001824063619534799,0.0004,0.4,97365.12512612356
2015-05-14,3,cautious,0.0067024559858969825,0.0004,0.4,98017.71059184276
2015-05-15,2,aggressive,0.008841348660658867,0.0004,0.4,98884.31934610479
2015-05-18,3,cautious,-0.00198964959104324,0.0008,0.8,98687.57420055724
2015-05-19,2,aggressive,-0.008605920691631807,0.0008,0.8,97838.27676373773
2015-05-20,3,cautious,-0.0007914461917163933,0.0008,0.8,97760.84303218898
2015-05-21,2,aggressive,0.004660194694940113,0.0008,0.8,98216.42759426044
2015-05-22,1,rebound,-0.0024669285892871978,0.0008,0.8,97974.13468109051
2015-05-26,2,aggressive,-0.0035666066015913045,0.00039999999999999996,0.39999999999999997,97624.69948555173
2015-05-27,1,rebound,0.006684124030731309,0.00039999999999999996,0.39999999999999997,98277.23508537603
2015-05-28,3,cautious,-0.0014690918306650474,0.00039999999999999996,0.39999999999999997,98132.85680217175
2015-05-29,1,rebound,-0.0011712297054773276,0.0004,0.4,98017.9206852017
2015-06-01,3,cautious,-0.0027813475298250063,0.0004,0.4,97745.29878362533
2015-06-02,3,cautious,-0.005068013375000013,0.0004,0.4,97249.92430204654
2015-06-03,1,rebound,-0.007784633788950224,0.0,0.0,96492.86925535198
2015-06-04,3,cautious,-0.002125429286090197,0.0004,0.4,96287.78048513779
2015-06-05,3,cautious,-0.007381119788904667,0.0004,0.4,95577.06884316924
2015-06-08,2,aggressive,-0.001404877400420301,0.0,0.0,95442.79477915305
2015-06-09,1,rebound,-0.002262168408890252,0.0008,0.8,95226.88710394746
2015-06-10,0,defensive,0.004672862428644087,0.00039999999999999996,0.39999999999999997,95671.86924689221
2015-06-11,2,aggressive,0.00919124502403501,0.0006,0.6,96551.21283904785
2015-06-12,3,cautious,-0.006384602349768574,0.001,1.0,95934.77173868264
2015-06-15,3,cautious,-0.00011656656051301981,0.0008,0.8,95923.58895230746
2015-06-16,3,cautious,0.0037027472956681633,0.0,0.0,96278.7697618914
2015-06-17,1,rebound,-0.0012024361254034947,0.0,0.0,96163.00069102028
2015-06-18,3,cautious,0.005909654018203848,0.0004,0.4,96731.2907544565
2015-06-19,3,cautious,0.0028850175158233737,0.0004,0.4,97010.36222261132
2015-06-22,1,rebound,-0.010482575089425718,0.0,0.0,95993.4438161604
2015-06-23,2,aggressive,-0.0031663084869675393,0.0004,0.4,95689.49896031206
2015-06-24,2,aggressive,-0.004024825278036114,0.00039999999999999996,0.39999999999999997,95304.36544605398
2015-06-25,1,rebound,-0.002962566498651109,0.0,0.0,95022.0199258083
2015-06-26,3,cautious,-0.003654163252707076,0.00039999999999999996,0.39999999999999997,94674.7939523974
2015-06-29,1,rebound,0.005255747267043499,0.0004,0.4,95172.38074197063
2015-06-30,0,defensive,-0.0026713796735454817,0.0004,0.4,94918.1391785736
2015-07-01,3,cautious,-0.006787244205984422,0.0006,0.6,94273.90658839101
2015-07-02,2,aggressive,0.0002505570789674952,0.00019999999999999996,0.19999999999999996,94297.52758304865
2015-07-06,1,rebound,0.001183286316859445,0.0008,0.8,94409.10855715134
2015-07-07,3,cautious,0.0032425625099104403,0.00039999999999999996,0.39999999999999997,94715.23599315282
2015-07-08,1,rebound,-0.0010847230465677138,0.0004,0.4,94612.49619380994
2015-07-09,1,rebound,-0.004920108497178943,0.0004,0.4,94146.99244734748
2015-07-10,3,cautious,0.0017718966655639766,0.0,0.0,94313.81118933781
2015-07-13,3,cautious,0.00032494298561719365,0.0004,0.4,94344.45780073061
2015-07-14,1,rebound,0.001939388936087294,0.0,0.0,94527.4283983705
2015-07-15,2,aggressive,0.0015653083457126797,0.0004,0.4,94675.39297094123
2015-07-16,2,aggressive,0.006235138234720883,0.00039999999999999996,0.39999999999999997,95265.70713354155
2015-07-17,1,rebound,0.0006154057545192269,0.0,0.0,95324.33419791987
2015-07-20,3,cautious,-0.006835033720525674,0.00039999999999999996,0.39999999999999997,94672.78915929042
2015-07-21,1,rebound,-0.00035635230176196345,0.0004,0.4,94639.05229295928
2015-07-22,1,rebound,-0.0005116533563604862,0.0004,0.4,94590.62990421081
2015-07-23,2,aggressive,2.5472684809801655e-05,0.0,0.0,94593.03938151234
2015-07-24,1,rebound,-0.006187238846162723,0.00039999999999999996,0.39999999999999997,94007.76965367445
2015-07-27,1,rebound,-0.002632458082449618,0.00039999999999999996,0.39999999999999997,93760.29814063657
2015-07-28,3,cautious,0.004258723556702893,0.0,0.0,94159.59733101158
2015-07-29,2,aggressive,0.0006067804770868879,0.0004,0.4,94216.7315364024
2015-07-30,3,cautious,5.138351430197298e-05,0.0008,0.8,94221.57272317477
2015-07-31,2,aggressive,0.003603304041334222,0.0008,0.8,94561.08169694904
2015-08-03,1,rebound,-0.0018465423542409869,0.0008,0.8,94386.47065453278
2015-08-04,1,rebound,-0.0033533893388029362,0.00039999999999999996,0.39999999999999997,94069.95607011263
2015-08-05,2,aggressive,-0.0013326145994703052,0.0,0.0,93944.59707328207
2015-08-06,2,aggressive,-0.003913160026226436,0.00039999999999999996,0.39999999999999997,93576.97683133496
2015-08-07,1,rebound,0.0015284336949281442,0.0,0.0,93720.00303579349
2015-08-10,0,defensive,0.004229059028044957,0.00039999999999999996,0.39999999999999997,94116.3504607404
2015-08-11,1,rebound,0.007067368826113719,0.0006,0.6,94781.50542201425
2015-08-12,1,rebound,0.001168314530283677,0.0006,0.6,94892.24003200095
2015-08-13,3,cautious,-0.0032413921249328627,0.0,0.0,94584.65707244397
2015-08-14,3,cautious,0.001602593291224364,0.0004,0.4,94736.23780932103
2015-08-17,1,rebound,0.004269381365201585,0.0,0.0,95140.70293763345
2015-08-18,2,aggressive,-0.004246759955237067,0.0004,0.4,94736.6632102848
2015-08-19,2,aggressive,-0.0026146054083612596,0.00039999999999999996,0.39999999999999997,94488.96421828508
2015-08-20,1,rebound,-0.010856019658662175,0.0,0.0,93463.19016520475
2015-08-21,0,defensive,-0.013296990719459688,0.00039999999999999996,0.39999999999999997,92220.41099296694
2015-08-24,2,aggressive,-0.010799319704542754,0.0006,0.6,91224.49329136955
2015-08-25,1,rebound,-0.013689950993044275,0.001,1.0,89975.6344488454
2015-08-26,2,aggressive,0.010276058266033807,0.00039999999999999996,0.39999999999999997,90900.2293109651
2015-08-27,1,rebound,0.01708485788936773,0.00039999999999999996,0.39999999999999997,92453.24681085386
2015-08-28,1,rebound,0.002311278796801531,0.00039999999999999996,0.39999999999999997,92666.93203990324
2015-08-31,3,cautious,-0.006123676730340433,0.0,0.0,92099.46970449846
2015-09-01,2,aggressive,-0.005424456256631004,0.0004,0.4,91599.8801598275
2015-09-02,1,rebound,0.010234428280662278,0.0008,0.8,92537.35256384051
2015-09-03,3,cautious,-1.471315857390896e-05,0.00039999999999999996,0.39999999999999997,92535.99104709823
