validation_rank,experiment_name,architecture,n_clusters,target_cluster_count,best_mapping,objective,validation_n_days,validation_risk_free_rate,validation_total_return,validation_annual_return,validation_annual_vol,validation_sharpe,validation_max_drawdown,validation_calmar,validation_final_nav,validation_avg_turnover,validation_total_turnover,test_n_days,test_risk_free_rate,test_total_return,test_annual_return,test_annual_vol,test_sharpe,test_max_drawdown,test_calmar,test_final_nav,test_avg_turnover,test_total_turnover,cluster_label_source,cluster_fit_splits,cluster_fit_n_windows,mapping_fit_split,mapping_candidate_clusters,unmapped_test_clusters,test_rank
1,lstm_autoencoder,lstm_autoencoder,4,4,0->aggressive; 1->rebound; 2->defensive; 3->cautious,sharpe,508,0.05198248031496063,0.3711508285302991,0.1695072261739632,0.09840997742038347,1.1942360819469091,-0.0908804366234448,1.865167383342376,137115.08285302992,0.0421259842519685,21.4,225,0.03992177777777778,0.18722168168415276,0.2119247022672075,0.09748274933020463,1.7644447419799567,-0.08574202483741056,2.4716549751311856,118722.16816841527,0.024888888888888887,5.6,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,1,2,3",,3
2,cls_token_transformer,encoder_only,4,4,0->defensive; 1->rebound; 2->aggressive,sharpe,508,0.05198248031496063,0.3592914920484125,0.16447842512889288,0.09549464830969337,1.1780340239497287,-0.10139226457995465,1.62219894989317,135929.14920484126,0.008661417322834644,4.3999999999999995,225,0.03992177777777778,0.13451287475835727,0.15182515824777298,0.09778312980352324,1.1444037503692501,-0.07888249955722537,1.924700143884656,113451.28747583572,0.044444444444444446,10.0,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,1,2",,13
3,encoder_only_market_tuples,encoder_only_market_tuples,4,4,1->aggressive,sharpe,508,0.05198248031496063,0.3730775453622168,0.17032215318536603,0.10057654855435,1.1766129835570613,-0.09983164710164738,1.7060937901980728,137307.75453622168,0.0,0.0,225,0.03992177777777778,0.17377530700608057,0.1965618860291911,0.09769937271187945,1.6032867346380328,-0.0788824995572246,2.4918313584446836,117377.53070060805,0.0,0.0,embeddings_fit_on_train_validation,"train,validation",2433.0,validation,1,,8
4,encoder_only,encoder_only,4,4,1->rebound; 2->aggressive,sharpe,508,0.05198248031496063,0.3569954449537971,0.1635022641871362,0.09687877251534781,1.151127135250483,-0.09983164710164782,1.637779891787816,135699.5444953797,0.003937007874015748,1.9999999999999998,225,0.03992177777777778,0.1709935454609639,0.19338628220718523,0.09551882633348686,1.6066414372975402,-0.08682086993770566,2.227417006371172,117099.3545460964,0.01955555555555556,4.4,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"1,2",0,7
5,conv_transformer,conv_transformer,4,4,0->rebound; 1->cautious; 2->aggressive,sharpe,508,0.05198248031496063,0.35828737060370996,0.16405162673443296,0.09965695600393425,1.1245491625797608,-0.1008454298660032,1.6267631260277637,135828.737060371,0.03307086614173228,16.8,225,0.03992177777777778,0.15843016587752046,0.17905548001797889,0.09651812406006371,1.4415292836982359,-0.07888249955722493,2.2699011951070838,115843.01658775205,0.010666666666666666,2.4,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,1,2",,10
6,transformer_autoencoder,transformer_autoencoder,4,4,0->defensive; 1->aggressive; 2->cautious; 3->rebound,sharpe,508,0.05198248031496063,0.3426348465352984,0.15737790182048816,0.09668746770312651,1.0900629006971028,-0.09983164710164738,1.5764329888321673,134263.48465352983,0.009448818897637793,4.799999999999999,225,0.03992177777777778,0.18703083277026833,0.2117065059859089,0.10387799958576016,1.6537161756403305,-0.08845523009324718,2.3933746570183976,118703.08327702683,0.05066666666666666,11.399999999999999,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,1,2,3",,6
7,tcn_transformer,tcn_transformer,4,4,0->aggressive; 2->rebound; 3->cautious,sharpe,508,0.05198248031496063,0.3444033225121508,0.15813387989511352,0.09790967459384191,1.084176819303098,-0.0908804366234448,1.7400211285331684,134440.3322512151,0.031496062992125984,16.0,225,0.03992177777777778,0.1913920844662773,0.21669374564536992,0.09968288015784672,1.773343302156556,-0.08265030854127253,2.6218141162432684,119139.20844662773,0.021333333333333333,4.8,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,2,3",,2
8,mae_transformer,mae_transformer,4,4,0->aggressive; 2->rebound,sharpe,508,0.05198248031496063,0.345404635612345,0.15856169334723114,0.09907579818378047,1.075734084267195,-0.10054873893789473,1.5769635205983923,134540.4635612345,0.04251968503937007,21.599999999999998,225,0.03992177777777778,0.15843737758172804,0.17906370093895263,0.09598552113619167,1.449613665833512,-0.07888249955722537,2.270005412405203,115843.7377581728,0.05511111111111111,12.4,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,2","1,3",9
9,rnn_lstm_hybrid,rnn_lstm_hybrid,4,4,0->aggressive; 1->rebound; 3->defensive,sharpe,508,0.05198248031496063,0.32501543787827836,0.14981847991023134,0.09509047671144129,1.0288727428737254,-0.1029764454488209,1.4548810580638156,132501.54378782783,0.02716535433070866,13.799999999999999,225,0.03992177777777778,0.18107183999104803,0.2048957503677089,0.09785460379433891,1.6859091569841418,-0.08892282673288432,2.304197447334824,118107.1839991048,0.048,10.8,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,1,3",,4
10,pure_rnn,pure_rnn,4,4,0->rebound; 1->cautious; 2->aggressive,sharpe,508,0.05198248031496063,0.3282292974235279,0.15120111281104065,0.09875936908623956,1.0046503274989476,-0.10097384186309744,1.4974285420974915,132822.9297423528,0.06141732283464566,31.199999999999996,225,0.03992177777777778,0.19592471634550424,0.2218792863914254,0.09618570082701654,1.8917313805394615,-0.0762380005379194,2.9103502823512097,119592.47163455043,0.06222222222222222,14.0,embeddings_fit_on_train_validation,"train,validation",2432.0,validation,"0,1,2",3,1
