mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.5763761930158026,1924,0.009636226611226612,0.6838214957566218,0.07063049002172872,0.10582370359774701,0.5763761930158026,-0.2669301067851727,0.26460293622319886,168382.1495756622,0.009875259875259876,19.0
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.5664780941108271,1924,0.009636226611226612,0.6624239263924521,0.06883858924355168,0.10450953575751615,0.5664780941108271,-0.2509157948886712,0.2743493659858865,166242.3926392452,0.013825363825363826,26.6
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.5578384982935544,1924,0.009636226611226612,0.6615112390530937,0.06876171312142687,0.10599032998092996,0.5578384982935544,-0.2830030909282686,0.24297159757472603,166151.12390530936,0.010602910602910602,20.4
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.540159243280536,1924,0.009636226611226612,0.6173251554531123,0.06499526463878169,0.10248651433111536,0.540159243280536,-0.2830030909282696,0.2296627376951706,161732.51554531124,0.016424116424116425,31.6
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.5363126887356277,1924,0.009636226611226612,0.6400749793290317,0.06694548853462523,0.10685792659224012,0.5363126887356277,-0.250915794888671,0.2668046009790987,164007.49793290318,0.01652806652806653,31.8
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.5289834784483399,1924,0.009636226611226612,0.5989933146855138,0.06340634948718149,0.10164801939311613,0.5289834784483399,-0.2277325556626031,0.27842461655381895,159899.33146855136,0.00841995841995842,16.2
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.5284120427221513,1924,0.009636226611226612,0.6170062685144042,0.06496775912575936,0.10471285292721288,0.5284120427221513,-0.2669301067851725,0.24338865296317413,161700.6268514404,0.018399168399168397,35.4
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.5173563946035034,1924,0.009636226611226612,0.5462291817621834,0.058742989997218276,0.09491863616303918,0.5173563946035034,-0.269908221046786,0.21764061046156774,154622.91817621834,0.009563409563409562,18.4
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.5043464597214483,1924,0.009636226611226612,0.5459295969331628,0.05871611994332748,0.09731384524679287,0.5043464597214483,-0.25354100319805095,0.2315843165512049,154592.95969331628,0.011538461538461537,22.2
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.4986321701839369,1924,0.009636226611226612,0.5775001109324978,0.06152313535338849,0.10405848608408416,0.4986321701839369,-0.22773255566260397,0.27015520540918087,157750.01109324978,0.011122661122661122,21.4
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.4797754267334303,1924,0.009636226611226612,0.6040559216634684,0.06384672745991415,0.11299140770460432,0.4797754267334303,-0.25354100319805106,0.25182012634871886,160405.59216634685,0.00841995841995842,16.2
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.4626898034032558,1924,0.009636226611226612,0.5827989788061265,0.06198947852571779,0.11314978529765195,0.4626898034032558,-0.2699082210467858,0.22966873067186996,158279.89788061264,0.009147609147609148,17.6
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.4510259609457836,1924,0.009636226611226612,0.5202460052491675,0.056395534903561195,0.10367320806607709,0.4510259609457836,-0.21703987663046354,0.2598395086612649,152024.60052491675,0.010291060291060292,19.8
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.4441568137653727,1924,0.009636226611226612,0.4807036422354194,0.05275528060189005,0.09708069910065868,0.4441568137653727,-0.25695439944488774,0.20530989434646807,148070.36422354192,0.007692307692307693,14.8
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.4433543241573541,1924,0.009636226611226612,0.48405587538651407,0.05306714237620325,0.09795983347522795,0.4433543241573541,-0.2253030928492752,0.2355366795239889,148405.5875386514,0.005717255717255718,11.0
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.431916933581973,1924,0.009636226611226612,0.4930482368463167,0.05390069766412742,0.10248375928632099,0.431916933581973,-0.2170398766304631,0.24834467518565698,149304.82368463167,0.007172557172557173,13.8
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.39991566294959263,1924,0.009636226611226612,0.5056916038734336,0.05506533723902307,0.11359672760184583,0.39991566294959263,-0.2253030928492754,0.2444055984436086,150569.16038734335,0.014241164241164242,27.400000000000002
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.394765256219135,1924,0.009636226611226612,0.43016637298584137,0.04797780804924945,0.09712501501585882,0.394765256219135,-0.23671730838104432,0.20267976337420784,143016.63729858413,0.006444906444906444,12.399999999999999
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.38546265630643844,1924,0.009636226611226612,0.42666493847333964,0.04764139760714858,0.09859624628775529,0.38546265630643844,-0.25668458572447095,0.18560287705895814,142666.49384733397,0.010395010395010396,20.0
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.3851937661471894,1924,0.009636226611226612,0.438827245087166,0.04880686171792492,0.10169072957356873,0.3851937661471894,-0.22857760071400302,0.21352425419405907,143882.7245087166,0.0079002079002079,15.2
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.38143067742480125,1924,0.009636226611226612,0.4754095849386406,0.0522615170053391,0.11175108064693101,0.38143067742480125,-0.2569543994448875,0.20338829425860183,147540.95849386405,0.013097713097713098,25.200000000000003
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.3779814550845088,1924,0.009636226611226612,0.4453421168402596,0.04942763831297947,0.10527344970629929,0.3779814550845088,-0.23430864438210286,0.21095098067476545,144534.21168402597,0.01372141372141372,26.4
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.33434932894124414,1924,0.009636226611226612,0.43150444780623,0.04810617845306897,0.11505915673185863,0.33434932894124414,-0.25544174759603966,0.18832543586080133,143150.444780623,0.017671517671517672,34.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.3317608069607834,1924,0.009636226611226612,0.4215598703139516,0.04714962547520063,0.11307363038940396,0.3317608069607834,-0.2694921165121078,0.17495734600860682,142155.98703139517,0.0158004158004158,30.4
