mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.8648013290799398,1925,0.009631428571428572,1.039509016597039,0.09779113346543666,0.10194214778531968,0.8648013290799398,-0.2502659395997754,0.39074887146778337,203950.9016597039,0.0017662337662337664,3.4000000000000004
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.818255192007055,1925,0.009631428571428572,0.9495513200435177,0.0913274632064558,0.09984175527764062,0.818255192007055,-0.24497024946163526,0.3728104266014497,194955.13200435176,0.0015584415584415584,3.0
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.806613866114927,1925,0.009631428571428572,0.9468049735814812,0.0911260854269873,0.10103304725974957,0.806613866114927,-0.25759832909063163,0.35375262622501763,194680.49735814813,0.0016623376623376624,3.2
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.7589568429406233,1925,0.009631428571428572,0.860935455104971,0.0847015996250371,0.09891230542535817,0.7589568429406233,-0.25235409226652183,0.3356458334568244,186093.54551049712,0.0014545454545454545,2.8
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.7579053683629176,1925,0.009631428571428572,0.9186558511100473,0.089047671496431,0.10478385064951082,0.7579053683629176,-0.24258218836616685,0.3670824807714966,191865.58511100474,0.0013506493506493505,2.5999999999999996
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.6667939463216546,1925,0.009631428571428572,0.7527732098255306,0.07623203064883799,0.09988183372810942,0.6667939463216546,-0.23312067781330137,0.3270067304363695,175277.32098255306,0.0013506493506493507,2.6
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.6419976576301425,1925,0.009631428571428572,0.7741728733554962,0.07794308645561498,0.10640483975650429,0.6419976576301425,-0.24258218836616674,0.3213058921620554,177417.28733554963,0.0012467532467532467,2.4
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.6364676805313186,1925,0.009631428571428572,0.7293026036980295,0.07433438458680341,0.10165945262351937,0.6364676805313186,-0.2362257503026708,0.3146751973125725,172930.26036980294,0.001142857142857143,2.2
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.5907742598328576,1925,0.009631428571428572,0.6526890462253387,0.06798020940616167,0.09876662678438494,0.5907742598328576,-0.23210780323920754,0.29288205074304235,165268.90462253388,0.0013506493506493507,2.6
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.5805664826829358,1925,0.009631428571428572,0.6929983451375206,0.0713545513834537,0.10631533967787445,0.5805664826829358,-0.25759832909063196,0.2769992788204333,169299.83451375205,0.0014545454545454545,2.8
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.5266182611851351,1925,0.009631428571428572,0.6400582524149694,0.06690814886099417,0.10876326271076593,0.5266182611851351,-0.2502659395997743,0.2673482015490953,164005.82524149693,0.0014545454545454545,2.8
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.5201793659380718,1925,0.009631428571428572,0.5990759834263639,0.06337958562306634,0.10332619971326694,0.5201793659380718,-0.236225750302671,0.26830091783753224,159907.5983426364,0.001038961038961039,2.0
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.5004212090815535,1925,0.009631428571428572,0.5556037302724299,0.059549669814033646,0.09975244921018109,0.5004212090815535,-0.25362145188761154,0.23479744860234525,155560.37302724298,0.0013506493506493505,2.5999999999999996
