mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.1021761956075964,1924,0.009636226611226612,0.16003704097059335,0.019634070715601526,0.09784905422365925,0.1021761956075964,-0.27583906448030127,0.07117944208733956,116003.70409705934,0.12910602910602909,248.39999999999995
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.0867363418412704,1924,0.009636226611226612,0.1470331541713359,0.018129660778359424,0.09792243927782893,0.0867363418412704,-0.28544825506983584,0.06351295009291244,114703.31541713359,0.13066528066528063,251.39999999999995
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.08282797890353846,1924,0.009636226611226612,0.14179994098629667,0.01752004869478041,0.09518307929178502,0.08282797890353846,-0.2760867260774952,0.06345849705886505,114179.99409862967,0.12182952182952181,234.39999999999995
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.06699260118806336,1924,0.009636226611226612,0.12899607801064072,0.016018237823611114,0.09526441874482162,0.06699260118806336,-0.285692300007234,0.0560681468251175,112899.60780106408,0.12338877338877337,237.39999999999995
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.03811000285872328,1924,0.009636226611226612,0.11075998298521106,0.013853503371092035,0.11066062564989024,0.03811000285872328,-0.2705540599432602,0.05120419695049984,111075.99829852111,0.23607068607068604,454.19999999999993
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.007475349178162096,1924,0.009636226611226612,0.08268750793805757,0.010459986509244956,0.11019684544299443,0.007475349178162096,-0.27873831244573477,0.03752618869457109,108268.75079380575,0.2397089397089397,461.2
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.004911512067549741,1924,0.009636226611226612,0.07204241195200645,0.009153142141173243,0.0983575858939854,-0.004911512067549741,-0.2520966659262398,0.03630806503347939,107204.24119520065,0.2321205821205821,446.59999999999997
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.01831893580389849,1924,0.009636226611226612,0.05898123121914556,0.007534191681077829,0.11474656348222177,-0.01831893580389849,-0.3055994999573398,0.024653808930085175,105898.12312191456,0.23295218295218292,448.19999999999993
0->cautious; 1->defensive; 2->aggressive; 3->rebound,-0.047889287625747214,1924,0.009636226611226612,0.03222703720247311,0.00416305803659256,0.11428795135577369,-0.047889287625747214,-0.312645064530771,0.013315604526943763,103222.70372024731,0.23659043659043655,455.19999999999993
0->defensive; 1->aggressive; 2->rebound; 3->cautious,-0.0805595790707394,1924,0.009636226611226612,0.011824230653560752,0.00154080505562737,0.10048986910036668,-0.0805595790707394,-0.29563019603782137,0.0052119339508547614,101182.42306535608,0.2352390852390852,452.59999999999997
0->aggressive; 1->defensive; 2->cautious; 3->rebound,-0.11494927803629425,1924,0.009636226611226612,-0.008321119756688256,-0.0010938375241252851,0.09334607679714153,-0.11494927803629425,-0.2700017000346452,-0.004051224581122747,99167.88802433117,0.23160083160083159,445.59999999999997
