mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.7243159596125597,1924,0.009636226611226612,0.8299149944839557,0.08236178058345422,0.1004058422392472,0.7243159596125597,-0.25844461348518344,0.3186825195262814,182991.49944839557,0.03575883575883576,68.8
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.7169551601910145,1924,0.009636226611226612,0.8128695279302516,0.08103588185318844,0.09958733712571259,0.7169551601910145,-0.26502110577191595,0.30577142758935594,181286.95279302515,0.02785862785862786,53.6
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.6405266131607985,1924,0.009636226611226612,0.7071338918009711,0.0725603592471904,0.09823812366741934,0.6405266131607985,-0.2495554230406768,0.29075849509935625,170713.38918009712,0.02848232848232848,54.8
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.6154150540030499,1924,0.009636226611226612,0.7799336119961531,0.07844294044248312,0.11180537977368932,0.6154150540030499,-0.2533453750043969,0.30962846841439956,177993.36119961532,0.03866943866943867,74.4
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.607560223590966,1924,0.009636226611226612,0.7633465300810298,0.07712126733314095,0.11107547548627542,0.607560223590966,-0.25996747304000745,0.2966573719061863,176334.653008103,0.03076923076923077,59.2
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.5641910227839816,1924,0.009636226611226612,0.617161465740903,0.06498114621241324,0.09809606563409852,0.5641910227839816,-0.241633526797571,0.26892437930126867,161716.1465740903,0.02525987525987526,48.6
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.5585494897292261,1924,0.009636226611226612,0.602640801163062,0.06372375298091182,0.09683569202776604,0.5585494897292261,-0.2699287531589222,0.23607619505208502,160264.0801163062,0.023492723492723494,45.2
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.4990152975845046,1924,0.009636226611226612,0.563423289048733,0.06027761680239996,0.10148264078537111,0.4990152975845046,-0.2429134738398797,0.24814439417276998,156342.32890487328,0.022037422037422035,42.4
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.49130593387728533,1924,0.009636226611226612,0.6245658176952982,0.06561854121222965,0.11394593620964871,0.49130593387728533,-0.2404452552087507,0.2729042881518319,162456.58176952982,0.034303534303534305,66.0
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.4906736765521617,1924,0.009636226611226612,0.5324320394639399,0.05750079073315484,0.09754866912417284,0.4906736765521617,-0.25562323605840176,0.22494352086215566,153243.203946394,0.028170478170478172,54.2
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.44965486631815743,1924,0.009636226611226612,0.5295985838167374,0.05724448368601642,0.10587733090628704,0.44965486631815743,-0.23895926999909123,0.2395574931503353,152959.85838167375,0.02494802494802495,48.0
