mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.18393779264389823,1924,0.009636226611226612,-0.0638715689217475,-0.00860757197507589,0.0991846119498798,-0.18393779264389823,-0.32199006297561306,-0.02673241495569946,93612.84310782525,0.3029106029106029,582.8
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-0.2579601229271028,1924,0.009636226611226612,-0.13120210688571843,-0.018252612388377387,0.10811298538373365,-0.2579601229271028,-0.3662118342073043,-0.04984167818576008,86879.78931142816,0.3940748440748441,758.2
0->defensive; 1->cautious; 2->rebound; 3->aggressive,-0.27325833761618945,1924,0.009636226611226612,-0.14000037034986101,-0.019560566008021918,0.10684685003191917,-0.27325833761618945,-0.3784052895969231,-0.05169210512056481,85999.9629650139,0.3848232848232849,740.4000000000001
0->cautious; 1->defensive; 2->aggressive; 3->rebound,-0.2743903804654787,1924,0.009636226611226612,-0.12832035330486524,-0.01782671181603579,0.10008710356636405,-0.2743903804654787,-0.3335887537282417,-0.05343918707330983,87167.96466951347,0.3153846153846154,606.8
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.3063895576408004,1924,0.009636226611226612,-0.16584420325904647,-0.023470920208593538,0.10805572838299445,-0.3063895576408004,-0.37602893679181104,-0.062417856478923714,83415.57967409535,0.42661122661122663,820.8000000000001
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.31751777834519657,1924,0.009636226611226612,-0.16549110368023767,-0.02341678861467711,0.1040981560092972,-0.31751777834519657,-0.31003706755692584,-0.07552899657837706,83450.88963197623,0.40218295218295214,773.8
0->defensive; 1->rebound; 2->aggressive; 3->cautious,-0.33237582662331716,1924,0.009636226611226612,-0.16078874303145507,-0.022697788801045338,0.09728148927303373,-0.33237582662331716,-0.28210991218703907,-0.08045725378836277,83921.12569685449,0.34594594594594597,665.6
0->cautious; 1->defensive; 2->rebound; 3->aggressive,-0.3557384198382631,1924,0.009636226611226612,-0.1992278043055098,-0.02868100077710778,0.10771180522406143,-0.3557384198382631,-0.38904307685897666,-0.0737219153433343,80077.21956944902,0.3972972972972973,764.4
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.36756321793130314,1924,0.009636226611226612,-0.1987752148993549,-0.028609114478058917,0.10405105631770126,-0.36756321793130314,-0.32195654952324726,-0.088860172344446,80122.47851006451,0.43471933471933477,836.4000000000001
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-0.38455660091005256,1924,0.009636226611226612,-0.22451505564209762,-0.03275468038008633,0.11023320595978571,-0.38455660091005256,-0.40112901765062703,-0.08165622265855324,77548.49443579024,0.3953222453222454,760.6000000000001
0->rebound; 1->aggressive; 2->defensive; 3->cautious,-0.3865667424226252,1924,0.009636226611226612,-0.21185311495368042,-0.03070069151162247,0.10434658157620187,-0.3865667424226252,-0.28839171393772256,-0.10645483218790469,78814.68850463195,0.36039501039501043,693.4000000000001
0->aggressive; 1->rebound; 2->defensive; 3->cautious,-0.45067912868633464,1924,0.009636226611226612,-0.26074815738104395,-0.03879768734705191,0.107468730800684,-0.45067912868633464,-0.3399470708251754,-0.11412861200090882,73925.1842618956,0.3354469854469855,645.4000000000001
0->cautious; 1->rebound; 2->aggressive; 3->defensive,-0.4533356599748058,1924,0.009636226611226612,-0.23611254713793517,-0.03466173092669911,0.09771558129882742,-0.4533356599748058,-0.30393738705069073,-0.1140423403091184,76388.74528620648,0.3543659043659043,681.8
0->defensive; 1->aggressive; 2->rebound; 3->cautious,-0.47771879890137353,1924,0.009636226611226612,-0.25945735997276276,-0.03857802951872924,0.10092601806928227,-0.47771879890137353,-0.3332468711951957,-0.11576411619520527,74054.26400272372,0.43596673596673596,838.8
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.5076964574328119,1924,0.009636226611226612,-0.30132226723927125,-0.04587816351345264,0.10934563224133975,-0.5076964574328119,-0.37556480250247604,-0.12215778264564656,69867.77327607287,0.3784823284823285,728.2
0->rebound; 1->defensive; 2->cautious; 3->aggressive,-0.5086686334957358,1924,0.009636226611226612,-0.30673779928790956,-0.04685008423006953,0.11104736388619818,-0.5086686334957358,-0.420503662221293,-0.11141421214404157,69326.22007120904,0.44033264033264036,847.2
0->rebound; 1->aggressive; 2->cautious; 3->defensive,-0.5470516261516534,1924,0.009636226611226612,-0.3112311308398188,-0.047661519618194426,0.10473919368907421,-0.5470516261516534,-0.37782865142584543,-0.12614585854812738,68876.88691601812,0.40135135135135136,772.2
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-0.5483235669828759,1924,0.009636226611226612,-0.2991542818139046,-0.04549091126408611,0.10053760442697576,-0.5483235669828759,-0.35508756956721943,-0.12811181005161745,70084.57181860955,0.3571725571725572,687.2
