mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.035317199020299075,1924,0.009636226611226612,0.10922120328203566,0.013669431056980486,0.11419944269747243,0.035317199020299075,-0.27274906470312765,0.0501172426452091,110922.12032820357,0.31891891891891894,613.6
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.0868527640572613,1924,0.009636226611226612,-0.0025318802311535826,-0.0003319838088292615,0.1147713665564393,-0.0868527640572613,-0.2725887813974798,-0.0012178924133534825,99746.81197688464,0.3462577962577963,666.2
0->aggressive; 1->defensive; 2->rebound; 3->cautious,-0.19728810571996458,1924,0.009636226611226612,-0.09438027650391745,-0.0129005864292141,0.11423300435774876,-0.19728810571996458,-0.34452343651147044,-0.037444728172460896,90561.97234960826,0.3954261954261954,760.8
0->rebound; 1->defensive; 2->cautious; 3->aggressive,-0.20000736504434494,1924,0.009636226611226612,-0.0812858499311997,-0.011042848970471919,0.10339157049098487,-0.20000736504434494,-0.28719856475734407,-0.0384502233839577,91871.41500688004,0.4027027027027027,774.8
0->aggressive; 1->rebound; 2->cautious; 3->defensive,-0.28624809562946874,1924,0.009636226611226612,-0.16594198921645031,-0.023485914712312428,0.11571130718163343,-0.28624809562946874,-0.3313998473892401,-0.07086881571411058,83405.80107835497,0.3358627858627859,646.2
0->aggressive; 1->cautious; 2->rebound; 3->defensive,-0.2928765961283859,1924,0.009636226611226612,-0.16845360652861163,-0.023871570758849492,0.11440926934082354,-0.2928765961283859,-0.367905078636641,-0.06488513517484244,83154.63934713884,0.39303534303534304,756.2
0->aggressive; 1->rebound; 2->defensive; 3->cautious,-0.3081605535505435,1924,0.009636226611226612,-0.1832066109581837,-0.02615753131985965,0.11615295182553428,-0.3081605535505435,-0.30911514815674934,-0.08462067121536022,81679.33890418163,0.3655925155925156,703.4
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-0.3301686117246705,1924,0.009636226611226612,-0.1738419838670423,-0.024702377445485313,0.10400323603549293,-0.3301686117246705,-0.28447887623581747,-0.08683378454085423,82615.80161329577,0.4300415800415801,827.4000000000001
0->cautious; 1->defensive; 2->rebound; 3->aggressive,-0.37612308968805835,1924,0.009636226611226612,-0.18873066569319363,-0.027022717742000157,0.09746528558943363,-0.37612308968805835,-0.31037085679055765,-0.08706589923239941,81126.93343068064,0.42203742203742206,812.0
0->defensive; 1->cautious; 2->rebound; 3->aggressive,-0.42608868751125906,1924,0.009636226611226612,-0.21960355483005656,-0.03195451297091367,0.09761052288214359,-0.42608868751125906,-0.3161850435747584,-0.10106269610238028,78039.64451699435,0.3777546777546778,726.8000000000001
0->cautious; 1->defensive; 2->aggressive; 3->rebound,-0.5944662709316691,1924,0.009636226611226612,-0.3156810807170587,-0.04846966743077208,0.09774464403326537,-0.5944662709316691,-0.37340863775921096,-0.12980328393481697,68431.89192829414,0.4814968814968815,926.4000000000001
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.6430127369503716,1924,0.009636226611226612,-0.3417108364331636,-0.05329048705009476,0.09786231289875384,-0.6430127369503716,-0.3964957995390146,-0.13440366105278514,65828.91635668364,0.4372141372141372,841.2
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-0.6538297480676946,1924,0.009636226611226612,-0.3673453940116057,-0.05820282924508158,0.10375645350612656,-0.6538297480676946,-0.4213933040224894,-0.13811996699875265,63265.46059883943,0.5386694386694387,1036.4
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.6941534362749564,1924,0.009636226611226612,-0.37177764705967964,-0.05906966444310835,0.09897796000698661,-0.6941534362749564,-0.42447078709118125,-0.13916072964149473,62822.235294032034,0.43492723492723495,836.8000000000001
0->rebound; 1->aggressive; 2->cautious; 3->defensive,-0.7305989060991803,1924,0.009636226611226612,-0.4185266360512502,-0.06855161914552121,0.10701883770153588,-0.7305989060991803,-0.4681790023249668,-0.1464218147441371,58147.33639487498,0.42442827442827447,816.6
0->rebound; 1->aggressive; 2->defensive; 3->cautious,-0.750837721761672,1924,0.009636226611226612,-0.4305832057059569,-0.07110428665996582,0.10753390637027793,-0.750837721761672,-0.47872996175026983,-0.14852691985269448,56941.679429404314,0.45415800415800417,873.8000000000001
0->rebound; 1->cautious; 2->aggressive; 3->defensive,-0.753325072650286,1924,0.009636226611226612,-0.41910153032196606,-0.0686722890769732,0.1039504969782849,-0.753325072650286,-0.4698970840543696,-0.14614325435785733,58089.846967803394,0.5362785862785863,1031.8
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-0.7739196011292357,1924,0.009636226611226612,-0.4127216611783523,-0.06733893282581338,0.09946144189231616,-0.7739196011292357,-0.46393195797050235,-0.1451482952810397,58727.83388216477,0.5065488565488565,974.5999999999999
0->defensive; 1->aggressive; 2->rebound; 3->cautious,-0.7775464552761306,1924,0.009636226611226612,-0.4204418233370365,-0.06895401922599986,0.10107466287569489,-0.7775464552761306,-0.46712403741309316,-0.14761393913244836,57955.81766629635,0.3632016632016633,698.8000000000002
0->defensive; 1->rebound; 2->aggressive; 3->cautious,-0.7890166483062059,1924,0.009636226611226612,-0.41923993356139133,-0.0687013553257303,0.09928508112614023,-0.7890166483062059,-0.46705342767979763,-0.14709528129794724,58076.00664386087,0.4178794178794179,804.0
0->cautious; 1->aggressive; 2->rebound; 3->defensive,-0.8334171516307675,1924,0.009636226611226612,-0.44677876236255554,-0.07460823972796604,0.10108319246172157,-0.8334171516307675,-0.49159513485660666,-0.15176765276517334,55322.12376374444,0.4050935550935551,779.4
0->cautious; 1->rebound; 2->aggressive; 3->defensive,-0.8454445820559349,1924,0.009636226611226612,-0.44565796406264735,-0.0743629000865842,0.09935497663672223,-0.8454445820559349,-0.4915522331157143,-0.1512817867090815,55434.20359373526,0.4597713097713098,884.6
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.8869353510468853,1924,0.009636226611226612,-0.4712335279926345,-0.08007186635329544,0.10114389155718734,-0.8869353510468853,-0.5129744807551591,-0.156093274338755,52876.64720073655,0.4397089397089397,846.0
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.9621473193694391,1924,0.009636226611226612,-0.5057087834830267,-0.08815975290145217,0.10164345682194612,-0.9621473193694391,-0.5444417797136516,-0.16192686929320463,49429.121651697336,0.5113305613305613,983.8
