mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.45301026914951187,1924,0.009636226611226612,0.5229386407772911,0.05664041401342468,0.10375965094664283,0.45301026914951187,-0.23973706277920137,0.23626056545787702,152293.86407772911,0.028898128898128896,55.599999999999994
0->cautious; 1->defensive; 2->rebound; 3->aggressive,0.4451995449069858,1924,0.009636226611226612,0.4923345867221438,0.05383470481368602,0.0992779051732716,0.4451995449069858,-0.23535944701777478,0.2287339875064387,149233.4586722144,0.03659043659043659,70.4
0->defensive; 1->rebound; 2->cautious; 3->aggressive,0.42427971442263857,1924,0.009636226611226612,0.4881414996443596,0.053446405637897376,0.10325777438190234,0.42427971442263857,-0.24204967022038704,0.22080759535526012,148814.14996443596,0.03108108108108108,59.8
0->defensive; 1->cautious; 2->rebound; 3->aggressive,0.42223352266245046,1924,0.009636226611226612,0.4702859888494846,0.05178218361537956,0.09981670033775607,0.42223352266245046,-0.23829953087990197,0.2172987224279376,147028.59888494847,0.03898128898128898,75.0
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.4162999758977855,1924,0.009636226611226612,0.48913306601524753,0.053538315005299486,0.10545782112860894,0.4162999758977855,-0.24784505907048204,0.21601526052643352,148913.30660152476,0.03284823284823284,63.199999999999996
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.40936205385796065,1924,0.009636226611226612,0.47690963725958135,0.05240157928445699,0.10446828735149201,0.40936205385796065,-0.24760636751219922,0.2116325998032956,147690.96372595814,0.03264033264033264,62.8
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.391019348994665,1924,0.009636226611226612,0.44098984436687494,0.049013197684408816,0.10070338251655024,0.391019348994665,-0.2554314636601772,0.19188394797602285,144098.9844366875,0.04885654885654886,94.0
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.3838479544651182,1924,0.009636226611226612,0.4325699200904791,0.048208321732575055,0.10048795277572241,0.3838479544651182,-0.25483718969577285,0.18917302372595862,143256.9920090479,0.042723492723492726,82.2
0->cautious; 1->defensive; 2->aggressive; 3->rebound,0.3816754885491737,1924,0.009636226611226612,0.42252592238169506,0.047242803047350845,0.09853023724178489,0.3816754885491737,-0.2438109214194064,0.19376819862012343,142252.5922381695,0.05675675675675676,109.2
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.3811933212979828,1924,0.009636226611226612,0.4374643756735004,0.048676690371264764,0.10241644220602653,0.3811933212979828,-0.25088013251807184,0.1940236952312611,143746.43756735005,0.03503118503118503,67.4
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.37535642704405,1924,0.009636226611226612,0.4642125796769012,0.05121210753981087,0.11076373796499592,0.37535642704405,-0.2537064227515978,0.20185577875555907,146421.25796769012,0.04594594594594595,88.4
0->cautious; 1->rebound; 2->aggressive; 3->defensive,0.3752469070047309,1924,0.009636226611226612,0.4196452155212753,0.046964790631745856,0.0994773396494608,0.3752469070047309,-0.24715440517920617,0.19002206575153993,141964.52155212752,0.04293139293139293,82.6
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.37337068163657783,1924,0.009636226611226612,0.45337917801520744,0.05019011683826324,0.10861562576171944,0.37337068163657783,-0.26094473950192265,0.19234002162321207,145337.91780152076,0.04573804573804574,88.0
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.36935745922137675,1924,0.009636226611226612,0.4363230033236203,0.04856759226077845,0.10540294957524624,0.36935745922137675,-0.25980243810285697,0.1869404791403471,143632.30033236204,0.04334719334719335,83.4
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.36660449195819705,1924,0.009636226611226612,0.44488075478297806,0.049383757018386376,0.10842074027748703,0.36660449195819705,-0.26035486250054407,0.18967864300319406,144488.0754782978,0.03960498960498961,76.2
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.36644618711932525,1924,0.009636226611226612,0.4245429253792552,0.04743716971960854,0.10315550942292347,0.36644618711932525,-0.25436057140435786,0.18649576645351024,142454.29253792553,0.04355509355509355,83.8
0->defensive; 1->rebound; 2->aggressive; 3->cautious,0.3600034249195014,1924,0.009636226611226612,0.40687216806160853,0.045726147104880654,0.10024882541526914,0.3600034249195014,-0.2506507497574719,0.1824297240248632,140687.21680616084,0.05145530145530146,99.0
0->defensive; 1->cautious; 2->aggressive; 3->rebound,0.3589431884745328,1924,0.009636226611226612,0.4014963624461241,0.04520191387757677,0.09908444681037196,0.3589431884745328,-0.24671957539186296,0.1832117042426929,140149.6362446124,0.059147609147609144,113.8
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.35548194237957337,1924,0.009636226611226612,0.4254797858338444,0.047527368102425305,0.1065909037110516,0.35548194237957337,-0.26522768013571085,0.17919460019446934,142547.97858338445,0.04490644490644491,86.4
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.3537088227110445,1924,0.009636226611226612,0.42416483054595133,0.047400753173961974,0.10676727335576347,0.3537088227110445,-0.26661501345307725,0.17778726171511808,142416.48305459513,0.04272349272349272,82.19999999999999
