mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->rebound; 2->cautious; 3->defensive,0.6859702264900885,1924,0.009636226611226612,0.7440113660087415,0.07556691774716362,0.09611305066881008,0.6859702264900885,-0.23756460271451119,0.31808997166962094,174401.13660087416,0.04844074844074845,93.20000000000002
0->rebound; 1->aggressive; 2->cautious; 3->defensive,0.679272290654975,1924,0.009636226611226612,0.7003481381464263,0.0720009894324043,0.09181113918402838,0.679272290654975,-0.24499047799138052,0.29389301177222693,170034.81381464264,0.02577962577962578,49.6
0->aggressive; 1->rebound; 2->defensive; 3->cautious,0.6738771563427869,1924,0.009636226611226612,0.741532171939167,0.07536653398257243,0.09754048902335875,0.6738771563427869,-0.22383333583607723,0.33670826421389966,174153.2171939167,0.059771309771309775,115.0
0->rebound; 1->aggressive; 2->defensive; 3->cautious,0.6663695718731436,1924,0.009636226611226612,0.6979474659710478,0.07180263027760247,0.09329117998534671,0.6663695718731436,-0.23139366302092268,0.31030508502348253,169794.7465971048,0.03711018711018711,71.4
0->aggressive; 1->cautious; 2->rebound; 3->defensive,0.6190759034919222,1924,0.009636226611226612,0.70701150286772,0.07255028748856596,0.10162576272549148,0.6190759034919222,-0.2523447963758336,0.2875045910616364,170701.150286772,0.027234927234927236,52.400000000000006
0->aggressive; 1->defensive; 2->rebound; 3->cautious,0.5895403923999183,1924,0.009636226611226612,0.672201318071687,0.0696598510267501,0.10181426953830519,0.5895403923999183,-0.24019988699892592,0.29000784262259705,167220.1318071687,0.026091476091476093,50.2
0->aggressive; 1->cautious; 2->defensive; 3->rebound,0.5693273268673124,1924,0.009636226611226612,0.6416873139173696,0.06708281167668573,0.10090256053851362,0.5693273268673124,-0.21879100652181538,0.30660680593375755,164168.73139173695,0.06205821205821206,119.4
0->aggressive; 1->defensive; 2->cautious; 3->rebound,0.5493179561527155,1924,0.009636226611226612,0.6105095998800523,0.06440636178525283,0.09970570697819973,0.5493179561527155,-0.22014723662343938,0.2925603917319187,161050.95998800523,0.04958419958419959,95.4
0->cautious; 1->aggressive; 2->defensive; 3->rebound,0.5088081827449629,1924,0.009636226611226612,0.5564321901022191,0.059655417811917744,0.09830657779684916,0.5088081827449629,-0.23403221326573853,0.25490259216657624,155643.21901022192,0.015904365904365902,30.599999999999998
0->rebound; 1->cautious; 2->defensive; 3->aggressive,0.43897085359964216,1924,0.009636226611226612,0.5051336607575008,0.0550141220641851,0.10337336768683242,0.43897085359964216,-0.22769755644545364,0.24161050703837514,150513.3660757501,0.04168399168399168,80.19999999999999
0->cautious; 1->aggressive; 2->rebound; 3->defensive,0.4330443141798728,1924,0.009636226611226612,0.4784647623104792,0.05254665333682218,0.0990901515630383,0.4330443141798728,-0.27601079354140456,0.1903789799761567,147846.4762310479,0.02806652806652807,54.00000000000001
0->rebound; 1->defensive; 2->cautious; 3->aggressive,0.4180645822770662,1924,0.009636226611226612,0.4765408728997773,0.05236715863164343,0.10221131813576477,0.4180645822770662,-0.2290374255447073,0.22864018187028365,147654.08728997773,0.02920997920997921,56.2
0->cautious; 1->rebound; 2->defensive; 3->aggressive,0.396227787091522,1924,0.009636226611226612,0.4635999449651458,0.051154488998032654,0.10478382319313718,0.396227787091522,-0.2353165243953883,0.21738587687144664,146359.99449651458,0.018191268191268192,35.0
0->rebound; 1->cautious; 2->aggressive; 3->defensive,0.3839305703047367,1924,0.009636226611226612,0.4794695456129754,0.05264031676460612,0.11201007025631206,0.3839305703047367,-0.2783016303142264,0.18914843116503016,147946.95456129755,0.02952182952182952,56.8
0->defensive; 1->aggressive; 2->cautious; 3->rebound,0.36501845163970853,1924,0.009636226611226612,0.4115083834617028,0.04617686144349986,0.10010626769175134,0.36501845163970853,-0.2591421857911168,0.1781912169279957,141150.8383461703,0.014760914760914758,28.399999999999995
0->rebound; 1->defensive; 2->aggressive; 3->cautious,0.3580468648348118,1924,0.009636226611226612,0.4492952196859836,0.04980312960974209,0.11218336744003289,0.3580468648348118,-0.26657706516952484,0.18682451012081888,144929.52196859836,0.028378378378378376,54.599999999999994
0->defensive; 1->aggressive; 2->rebound; 3->cautious,0.28689498221826143,1924,0.009636226611226612,0.3388998442708917,0.038965439605641805,0.10222978724703653,0.28689498221826143,-0.2911376581081069,0.13383854173606405,133889.98442708916,0.03825363825363825,73.6
