mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->aggressive; 1->rebound; 2->cautious; 3->defensive,-0.09074830262516008,1924,0.009636226611226612,0.001985361417966569,0.000259812895498035,0.10332329580265841,-0.09074830262516008,-0.27415913229992894,0.0009476718623904921,100198.53614179666,0.3567567567567568,686.4000000000001
0->aggressive; 1->rebound; 2->defensive; 3->cautious,-0.1163309419527243,1924,0.009636226611226612,-0.01784523030013485,-0.0023556446280146304,0.10308410675566107,-0.1163309419527243,-0.3088529591678081,-0.0076270748202051245,98215.47696998651,0.36039501039501043,693.4000000000001
0->aggressive; 1->cautious; 2->rebound; 3->defensive,-0.24948245490074808,1924,0.009636226611226612,-0.11997457201961548,-0.016600137334813136,0.10516316250165726,-0.24948245490074808,-0.2511794384488407,-0.06608875884637425,88002.54279803846,0.3640332640332641,700.4000000000001
0->rebound; 1->aggressive; 2->cautious; 3->defensive,-0.29374776316680606,1924,0.009636226611226612,-0.14759941744751404,-0.020699636366208418,0.10327180929105038,-0.29374776316680606,-0.30970897470287984,-0.06683576536994665,85240.0582552486,0.4417879417879418,850.0
0->aggressive; 1->cautious; 2->defensive; 3->rebound,-0.3023044369420717,1924,0.009636226611226612,-0.15587065986992166,-0.021949540641815313,0.1044833068695398,-0.3023044369420717,-0.34452512395668833,-0.06370955008951591,84412.93401300783,0.35997920997920996,692.5999999999999
0->rebound; 1->aggressive; 2->defensive; 3->cautious,-0.31928912237117285,1924,0.009636226611226612,-0.1644696466660942,-0.023260307120024026,0.10303054951245252,-0.31928912237117285,-0.3427039768958957,-0.06787288356180904,83553.03533339058,0.44542619542619544,857.0
0->aggressive; 1->defensive; 2->rebound; 3->cautious,-0.3714559946872608,1924,0.009636226611226612,-0.20568543798897243,-0.02971055340989015,0.10592581781926527,-0.3714559946872608,-0.27701783766094756,-0.10725140900945881,79431.45620110276,0.37463617463617466,720.8000000000001
0->aggressive; 1->defensive; 2->cautious; 3->rebound,-0.39912175039889597,1924,0.009636226611226612,-0.22268727896690454,-0.03245639118296295,0.10546310180319854,-0.39912175039889597,-0.33338140627286295,-0.09735513310660866,77731.27210330954,0.36694386694386694,706.0
0->cautious; 1->aggressive; 2->rebound; 3->defensive,-0.4298305507497716,1924,0.009636226611226612,-0.23804812223513072,-0.03498245701704017,0.10380528687511048,-0.4298305507497716,-0.3104292844265385,-0.11269058291863114,76195.18777648693,0.44137214137214137,849.2
0->defensive; 1->aggressive; 2->rebound; 3->cautious,-0.43665447361781234,1924,0.009636226611226612,-0.2405536883020608,-0.03539868412133784,0.10313626323220006,-0.43665447361781234,-0.32425195038471044,-0.10917030438626163,75944.63116979392,0.4094594594594595,787.8000000000001
0->defensive; 1->aggressive; 2->cautious; 3->rebound,-0.5015720820980178,1924,0.009636226611226612,-0.2784841061900236,-0.04185010800016076,0.10264992101638912,-0.5015720820980178,-0.37805279255697033,-0.11069911087577589,72151.58938099764,0.41715176715176716,802.6
0->cautious; 1->aggressive; 2->defensive; 3->rebound,-0.519708293598946,1924,0.009636226611226612,-0.2904416250278269,-0.04394505344252908,0.10309875888781536,-0.519708293598946,-0.38902555978608455,-0.11296186673876485,70955.8374972173,0.4527027027027027,871.0
0->cautious; 1->rebound; 2->aggressive; 3->defensive,-0.5285668717793454,1924,0.009636226611226612,-0.3029393083860552,-0.04616768488979939,0.1055758778698522,-0.5285668717793454,-0.35357610297346365,-0.13057354414380298,69706.06916139448,0.42744282744282747,822.4000000000001
0->defensive; 1->rebound; 2->aggressive; 3->cautious,-0.5356994799850451,1924,0.009636226611226612,-0.3052453617389471,-0.046581581042657194,0.10494280796287726,-0.5356994799850451,-0.3591687143582487,-0.12969275769435457,69475.46382610529,0.39553014553014554,761.0
0->rebound; 1->cautious; 2->aggressive; 3->defensive,-0.543019295376092,1924,0.009636226611226612,-0.3150861713546186,-0.04836136296258697,0.10680576190878226,-0.543019295376092,-0.36408454551086133,-0.13283003510827202,68491.38286453814,0.43513513513513513,837.2
0->rebound; 1->cautious; 2->defensive; 3->aggressive,-0.624417692684563,1924,0.009636226611226612,-0.3575232754831955,-0.05630052519095585,0.10559718690657235,-0.624417692684563,-0.40578058688589735,-0.13874622643489637,64247.672451680446,0.4238045738045738,815.4
0->defensive; 1->rebound; 2->cautious; 3->aggressive,-0.6289447678968286,1924,0.009636226611226612,-0.3545133687169062,-0.055722638825449144,0.10391829103727776,-0.6289447678968286,-0.40840765032374793,-0.13643877332189389,64548.66312830938,0.3959459459459459,761.8
0->cautious; 1->rebound; 2->defensive; 3->aggressive,-0.6460922205990421,1924,0.009636226611226612,-0.36520779773927936,-0.05778665505630798,0.1043548885405579,-0.6460922205990421,-0.4166353226049855,-0.1386984058264687,63479.220226072066,0.43149688149688153,830.2
0->rebound; 1->defensive; 2->aggressive; 3->cautious,-0.6572860518225354,1924,0.009636226611226612,-0.38179297207065577,-0.06104814898732891,0.10753974681580497,-0.6572860518225354,-0.4286928108062281,-0.14240534818514383,61820.702792934426,0.44573804573804576,857.6
0->defensive; 1->cautious; 2->aggressive; 3->rebound,-0.7083810891403503,1924,0.009636226611226612,-0.4037140853543294,-0.06547767397026427,0.10603600481859941,-0.7083810891403503,-0.44954794220953365,-0.1456522604651257,59628.591464567064,0.39594594594594595,761.8000000000001
