Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,1,cautious,0.0,0.0,0.0,100000.0
2015-04-01,3,rebound,0.008313517511016534,0.001,1.0,100831.35175110165
2015-04-02,2,aggressive,-0.0023333278517049913,0.0004,0.4,100596.07914973574
2015-04-06,2,aggressive,0.004419546153709875,0.00039999999999999996,0.39999999999999997,101040.66816442023
2015-04-07,2,aggressive,-0.0006727600719404591,0.0,0.0,100972.69203723702
2015-04-08,1,cautious,0.0018739279313762622,0.0,0.0,101161.90758515184
2015-04-09,1,cautious,-0.00673717861588109,0.0008,0.8,100480.36174462743
2015-04-10,3,rebound,0.0056253080770918285,0.0,0.0,101045.59473513858
2015-04-13,2,aggressive,-0.0036761229022011285,0.0004,0.4,100674.13871016621
2015-04-14,3,rebound,0.0017485519897656452,0.00039999999999999996,0.39999999999999997,100850.1726757258
2015-04-15,3,rebound,0.003321324525037351,0.00039999999999999996,0.39999999999999997,101185.12882758795
2015-04-16,1,cautious,-0.0023285787537870805,0.0,0.0,100949.51128640081
2015-04-17,1,cautious,0.002221366387148394,0.0004,0.4,101173.75713757149
2015-04-20,2,aggressive,-0.003072202163778193,0.0,0.0,100862.93090197587
2015-04-21,1,cautious,-0.0019643151428335717,0.0008,0.8,100664.80431945455
2015-04-22,1,cautious,-0.00946257844200341,0.0008,0.8,99712.25571223279
2015-04-23,3,rebound,0.0046649792110458055,0.0,0.0,100177.41131221685
2015-04-24,1,cautious,-0.00017698629469102843,0.0004,0.4,100159.68128337695
2015-04-27,2,aggressive,0.004403008829959754,0.0004,0.4,100600.68524447363
2015-04-28,2,aggressive,-0.0004657772580190614,0.0008,0.8,100553.8277331456
2015-04-29,1,cautious,-0.006036198620438149,0.0,0.0,99946.86485690302
2015-04-30,2,aggressive,-0.008404326530579341,0.0008,0.8,99106.87876893792
2015-05-01,1,cautious,0.0037531769500490984,0.0008,0.8,99478.84442192482
2015-05-04,2,aggressive,-0.0010138745957889881,0.0008,0.8,99377.985348747
2015-05-05,2,aggressive,-0.008812594892074432,0.0008,0.8,98502.20742267798
2015-05-06,1,cautious,-0.006358442407020881,0.0,0.0,97875.88680981645
2015-05-07,1,cautious,0.0033056415785352356,0.0008,0.8,98199.42941079101
2015-05-08,1,cautious,0.006485198371207668,0.0,0.0,98836.2721904594
2015-05-11,2,aggressive,-0.01231986561086439,0.0,0.0,97618.62259959412
2015-05-12,0,defensive,-0.0015209036026183503,0.0008,0.8,97470.15408479975
2015-05-13,3,rebound,0.00040394078617083176,0.001,1.0,97509.52625546897
2015-05-14,1,cautious,0.006502455985896983,0.0006,0.6,98143.57765815083
2015-05-15,2,aggressive,0.008841348660658867,0.0004,0.4,99011.299247031
2015-05-18,2,aggressive,-0.00198964959104324,0.0008,0.8,98814.30145597548
2015-05-19,2,aggressive,-0.003390030430090573,0.0,0.0,98479.3179671116
2015-05-20,3,rebound,8.553808283606724e-06,0.0,0.0,98480.1603403174
2015-05-21,1,cautious,0.0045800491652023155,0.00039999999999999996,0.39999999999999997,98931.20431647306
2015-05-22,1,cautious,-0.0011839033897605208,0.0004,0.4,98814.0793283297
2015-05-26,0,defensive,-0.0007672988365733371,0.0,0.0,98738.25940022401
2015-05-27,1,cautious,0.0027888842269134574,0.00019999999999999996,0.19999999999999996,99013.62897445817
2015-05-28,1,cautious,-0.0011736694113184231,0.00019999999999999996,0.19999999999999996,98897.41970682722
2015-05-29,1,cautious,-0.0007712297054773275,0.0,0.0,98821.14707895427
2015-06-01,1,cautious,-0.003951032885686346,0.0,0.0,98430.70147704407
2015-06-02,1,cautious,-0.004668013375000013,0.0,0.0,97971.2256460386
2015-06-03,2,aggressive,-0.007784633788950224,0.0,0.0,97208.55553252957
2015-06-04,3,rebound,-0.0048126630991131005,0.0008,0.8,96740.72350440008
2015-06-05,1,cautious,-0.00597410616016355,0.00039999999999999996,0.39999999999999997,96162.78415217376
2015-06-08,3,rebound,-0.001804877400420301,0.0004,0.4,95989.222116296
2015-06-09,1,cautious,-0.002402943034285731,0.0004,0.4,95758.56548364516
2015-06-10,1,cautious,0.002249826906302643,0.0004,0.4,95974.00568077921
2015-06-11,2,aggressive,0.008010045983136505,0.0,0.0,96742.76187946806
2015-06-12,1,cautious,-0.006184602349768574,0.0008,0.8,96144.4463670252
2015-06-15,2,aggressive,-0.00011656656051301981,0.0008,0.8,96133.23913959975
2015-06-16,0,defensive,0.00423002641704463,0.0008,0.8,96539.88528071635
2015-06-17,1,cautious,-0.0031367980249928365,0.001,1.0,96237.05915923476
2015-06-18,2,aggressive,0.004830054326812028,0.00019999999999999996,0.19999999999999996,96701.88938322649
2015-06-19,3,rebound,-0.0015124476503066248,0.0008,0.8,96555.63283784862
2015-06-22,1,cautious,-0.0065316494926956565,0.00039999999999999996,0.39999999999999997,95924.96528760636
2015-06-23,1,cautious,-0.0045679696285854,0.0004,0.4,95486.78295954947
2015-06-24,2,aggressive,0.0004738508430200964,0.0,0.0,95532.02945215214
2015-06-25,1,cautious,-0.003762566498651109,0.0008,0.8,95172.58383858732
2015-06-26,3,rebound,-0.005033367440197211,0.0008,0.8,94693.54525389474
2015-06-29,3,rebound,-0.0020382611824773856,0.0004,0.4,94500.53507637256
2015-06-30,1,cautious,-0.0022713796735454816,0.0,0.0,94285.88848186091
2015-07-01,2,aggressive,-0.004435856718830855,0.0004,0.4,93867.64978994771
2015-07-02,0,defensive,-0.0009801862845321024,0.0008,0.8,93775.64200706234
2015-07-06,1,cautious,0.008503363587037717,0.001,1.0,94573.0503866563
2015-07-07,1,cautious,0.0019642503747784095,0.00019999999999999996,0.19999999999999996,94758.8155363222
2015-07-08,3,rebound,-0.0006847230465677138,0.0,0.0,94693.93199145903
2015-07-09,1,cautious,-0.004920108497178943,0.0004,0.4,94228.02757203656
2015-07-10,2,aggressive,-0.00261548721142344,0.0004,0.4,93981.57537096424
2015-07-13,3,rebound,0.005856913399740893,0.0008,0.8,94532.0173190832
2015-07-14,1,cautious,0.002303870104798711,0.00039999999999999996,0.39999999999999997,94749.80680773096
2015-07-15,3,rebound,0.0021676703338662567,0.0004,0.4,94955.19315308763
2015-07-16,3,rebound,0.004957733214720172,0.0004,0.4,95425.95566809285
2015-07-17,1,cautious,-4.902839560134726e-05,0.0,0.0,95421.27708658772
2015-07-20,0,defensive,-0.010074856739603597,0.0004,0.4,94459.92139003031
2015-07-21,0,defensive,0.0007801563648579204,0.00019999999999999996,0.19999999999999996,94533.61489892674
2015-07-22,1,cautious,0.0011310320130991868,0.0,0.0,94640.53544369142
2015-07-23,2,aggressive,0.0017487898029621702,0.00019999999999999996,0.19999999999999996,94806.04184702224
2015-07-24,3,rebound,-0.006587238846162723,0.0008,0.8,94181.5318053166
2015-07-27,1,cautious,-0.002632458082449618,0.00039999999999999996,0.39999999999999997,93933.6028706982
2015-07-28,2,aggressive,0.0008254727161473019,0.0004,0.4,94011.14249699739
2015-07-29,2,aggressive,0.0034157214043881285,0.0008,0.8,94332.25836867536
2015-07-30,1,cautious,0.000851383514301973,0.0,0.0,94412.57129831734
2015-07-31,3,rebound,0.003603304041334222,0.0008,0.8,94752.76849802931
