Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,3,cautious,0.0,0.0,0.0,100000.0
2015-04-01,3,cautious,0.008313517511016534,0.001,1.0,100831.35175110165
2015-04-02,3,cautious,-0.003989236089062443,0.0,0.0,100429.11168378721
2015-04-06,3,cautious,0.00345562580775478,0.0,0.0,100776.15711397158
2015-04-07,3,cautious,0.001068718199643026,0.0,0.0,100883.85842716935
2015-04-08,3,cautious,-0.0005183488434061579,0.0,0.0,100831.56539583529
2015-04-09,3,cautious,-0.00593717861588109,0.0,0.0,100232.91038196131
2015-04-10,3,cautious,0.0056253080770918285,0.0,0.0,100796.75138232337
2015-04-13,3,cautious,-0.0029484635670663393,0.0,0.0,100499.55583319397
2015-04-14,3,cautious,0.0015850982747977363,0.0,0.0,100658.85750576311
2015-04-15,3,cautious,0.0036048401966295,0.0,0.0,101021.7166014467
2015-04-16,3,cautious,-0.003115699173219644,0.0,0.0,100706.96332255434
2015-04-17,3,cautious,0.002621366387148394,0.0,0.0,100970.95317115987
2015-04-20,3,cautious,-0.003072202163778193,0.0,0.0,100660.74999034869
2015-04-21,3,cautious,-0.000442938418891248,0.0,0.0,100616.16347690356
2015-04-22,3,cautious,-0.00866257844200341,0.0,0.0,99744.56806825145
2015-04-23,3,cautious,0.0046649792110458055,0.0,0.0,100209.87440470459
2015-04-24,3,cautious,-0.0010215056534518259,0.0,0.0,100107.50945146849
2015-04-27,3,cautious,0.004803008829959754,0.0,0.0,100588.32670330917
2015-04-28,3,cautious,-0.001961449110230618,0.0,0.0,100391.02781939736
2015-04-29,3,cautious,-0.00825130550463783,0.0,0.0,99562.67077893493
2015-04-30,3,cautious,-0.0076043265305793415,0.0,0.0,98805.56372007534
2015-05-01,3,cautious,-0.00316323009292,0.0,0.0,98493.01898756808
2015-05-04,3,cautious,-0.0002138745957889882,0.0,0.0,98471.95383294407
2015-05-05,3,cautious,-0.0031478258661123857,0.0,0.0,98161.9812695821
2015-05-06,3,cautious,-0.008240657393498753,0.0,0.0,97353.06201287243
2015-05-07,3,cautious,0.0041056415785352355,0.0,0.0,97752.75879207019
2015-05-08,3,cautious,0.006485198371207668,0.0,0.0,98386.70482416959
2015-05-11,3,cautious,-0.01231986561086439,0.0,0.0,97174.59384284004
2015-05-12,3,cautious,0.002703162476750609,0.0,0.0,97437.27255860949
2015-05-13,3,cautious,0.002224063619534799,0.0,0.0,97653.97925169379
2015-05-14,1,rebound,0.005826693026403529,0.0,0.0,98222.97901160018
2015-05-15,1,rebound,0.006754477186148722,0.0004,0.4,98886.4238824896
2015-05-18,1,rebound,-0.003497204482159599,0.0,0.0,98540.59783766302
2015-05-19,1,rebound,-0.005597975560861191,0.0,0.0,97988.96997921514
2015-05-20,1,rebound,0.0004821078225031639,0.0,0.0,98036.21122816115
2015-05-21,1,rebound,0.004980049165202316,0.0,0.0,98524.43638004755
2015-05-22,1,rebound,-0.0012254159895238592,0.0,0.0,98403.70296034862
2015-05-26,1,rebound,-0.0031666066015913043,0.0,0.0,98092.09714493334
2015-05-27,1,rebound,0.005396789096184817,0.0,0.0,98621.47950522702
2015-05-28,1,rebound,-0.0010690918306650475,0.0,0.0,98516.04408715988
2015-05-29,1,rebound,-0.002304467781153796,0.0,0.0,98289.0170376343
2015-06-01,1,rebound,-0.002381347529825006,0.0,0.0,98054.9567297028
2015-06-02,1,rebound,-0.003874841757658098,0.0,0.0,97675.0092888212
2015-06-03,1,rebound,-0.004930843417284458,0.0,0.0,97193.38911223621
2015-06-04,1,rebound,-0.001725429286090197,0.0,0.0,97025.68879224759
2015-06-05,1,rebound,-0.00557410616016355,0.0,0.0,96484.85730265662
2015-06-08,1,rebound,-0.0028182094899544706,0.0,0.0,96212.94276216936
2015-06-09,1,rebound,-0.002002943034285731,0.0,0.0,96020.23371865574
2015-06-10,1,rebound,0.005072862428644087,0.0,0.0,96507.33115467674
2015-06-11,1,rebound,0.007008196475218618,0.0,0.0,97183.6734927077
2015-06-12,1,rebound,-0.0038801990492131734,0.0,0.0,96806.58149522224
2015-06-15,1,rebound,-0.0007763884641192708,0.0,0.0,96731.42198209853
2015-06-16,1,rebound,0.004366386856356397,0.0,0.0,97153.78879163782
2015-06-17,1,rebound,-0.0005740730406556538,0.0,0.0,97098.01542069501
2015-06-18,1,rebound,0.006309654018203848,0.0,0.0,97710.67030385383
2015-06-19,1,rebound,0.0012862849327583746,0.0,0.0,97836.35406683538
2015-06-22,1,rebound,-0.006131649492695656,0.0,0.0,97236.45583605429
2015-06-23,1,rebound,-0.002766308486967539,0.0,0.0,96967.46980303236
2015-06-24,1,rebound,-0.0015754872175080094,0.0,0.0,96814.69879384359
2015-06-25,1,rebound,-0.0028383221517609527,0.0,0.0,96539.90748964096
2015-06-26,1,rebound,-0.003254163252707076,0.0,0.0,96225.75087026843
2015-06-29,1,rebound,-0.0016382611824773854,0.0,0.0,96068.10795786293
2015-06-30,1,rebound,-0.0022713796735454816,0.0,0.0,95849.90081017147
2015-07-01,1,rebound,-0.0007358448939425942,0.0,0.0,95779.37015007541
2015-07-02,1,rebound,0.00013518539721769636,0.0,0.0,95792.31812227442
2015-07-06,1,rebound,0.004674313780296524,0.0,0.0,96240.0814749199
2015-07-07,1,rebound,0.00364256250991044,0.0,0.0,96590.64198765116
2015-07-08,1,rebound,-0.0052017676418637864,0.0,0.0,96088.19991165295
2015-07-09,1,rebound,-0.004520108497178943,0.0,0.0,95653.87082275366
2015-07-10,1,rebound,0.0017718966655639766,0.0,0.0,95823.35959751278
2015-07-13,1,rebound,0.0036909281926790433,0.0,0.0,96177.03673696847
2015-07-14,1,rebound,0.002703870104798711,0.0,0.0,96437.08695136968
2015-07-15,1,rebound,0.0019653083457126796,0.0,0.0,96626.61556319144
2015-07-16,1,rebound,0.005357733214720172,0.0,0.0,97144.31519082034
2015-07-17,1,rebound,-4.902839560134726e-05,0.0,0.0,97139.55236090474
2015-07-20,0,aggressive,-0.006435033720525674,0.0,0.0,96514.45606586554
2015-07-21,1,rebound,-0.002395198242049079,0.00039999999999999996,0.39999999999999997,96283.28481036426
2015-07-22,3,cautious,-0.0005116533563604862,0.00039999999999999996,0.39999999999999997,96234.02114452963
2015-07-23,3,cautious,0.0015487898029621701,0.0004,0.4,96383.06741517632
2015-07-24,3,cautious,0.0008124133038323266,0.0,0.0,96461.37030140858
2015-07-27,3,cautious,-0.0009986807074617075,0.0,0.0,96365.03619187324
2015-07-28,3,cautious,0.0012254727161473019,0.0,0.0,96483.12891451693
2015-07-29,3,cautious,0.0010067804770868879,0.0,0.0,96580.26624507632
2015-07-30,3,cautious,0.0005856874016925695,0.0,0.0,96636.83209026816
2015-07-31,3,cautious,0.004403304041334222,0.0,0.0,97062.35344355299
2015-08-03,3,cautious,0.0008259205310629076,0.0,0.0,97142.51923405532
2015-08-04,3,cautious,-0.0031540206789280266,0.0,0.0,96836.12971958793
2015-08-05,3,cautious,-0.0031066587730237518,0.0,0.0,96535.29290764892
2015-08-06,3,cautious,0.0024227580744363266,0.0,0.0,96769.174568009
2015-08-07,3,cautious,0.005418331591434522,0.0,0.0,97293.50204364787
2015-08-10,3,cautious,0.0018930308553114722,0.0,0.0,97477.68164503781
2015-08-11,3,cautious,0.005177102843958103,0.0,0.0,97982.33362790477
2015-08-12,3,cautious,0.0023859046636165223,0.0,0.0,98216.11013465961
2015-08-13,3,cautious,-0.00414096360998063,0.0,0.0,97809.40079667815
2015-08-14,3,cautious,0.002002593291224364,0.0,0.0,98005.27324653225
2015-08-17,3,cautious,0.004269381365201585,0.0,0.0,98423.69513382248
2015-08-18,3,cautious,-0.004073142273363884,0.0,0.0,98022.80142047223
2015-08-19,3,cautious,0.0056114980649283,0.0,0.0,98572.85618096206
2015-08-20,3,cautious,0.002998740247019971,0.0,0.0,98868.4505720556
2015-08-21,3,cautious,-0.005950165194904011,0.0,0.0,98280.16695858768
2015-08-24,3,cautious,-0.014378329672280386,0.0,0.0,96867.06231781034
2015-08-25,3,cautious,-0.013674839035903063,0.0,0.0,95542.42083273349
2015-08-26,3,cautious,-0.0002980072766967778,0.0,0.0,95513.94849609211
2015-08-27,3,cautious,0.007817202256184829,0.0,0.0,96260.6003497729
2015-08-28,3,cautious,0.0038966960835240096,0.0,0.0,96635.69865415353
2015-08-31,0,aggressive,-0.005165657642255306,0.0,0.0,96136.51171888603
2015-09-01,0,aggressive,-0.019902884306926206,0.0008,0.8,94223.11784847359
2015-09-02,0,aggressive,0.011034428280662279,0.0,0.0,95262.81608475295
2015-09-03,0,aggressive,0.0007589475009107226,0.0,0.0,95335.11556095019
2015-09-04,0,aggressive,-0.009093965947310876,0.0,0.0,94468.14126645596
2015-09-08,3,cautious,0.0146687912556122,0.0,0.0,95853.8747109993
2015-09-09,3,cautious,-0.006770515539863563,0.0008,0.8,95204.89456271235
2015-09-10,3,cautious,-0.00036160970681766715,0.0,0.0,95170.46754870193
2015-09-11,3,cautious,0.0032629950464816986,0.0,0.0,95481.00831288469
2015-09-14,3,cautious,-0.00031747250394477107,0.0,0.0,95450.69571809642
2015-09-15,3,cautious,-0.004819826995344657,0.0,0.0,94990.6398781499
2015-09-16,3,cautious,0.005085036172926616,0.0,0.0,95473.67071801976
2015-09-17,3,cautious,0.007282940872221578,0.0,0.0,96168.99981671303
