combined_annual_return_rank,experiment_name,source_family,raw_experiment_name,architecture,combined_annual_return
1,RL:hmm_baseline__q_learning,RL,hmm_baseline__q_learning,hmm_baseline+q_learning,0.1746149597176332
2,CA:tcn_transformer,CA,tcn_transformer,tcn_transformer,0.1742638080457783
3,RL:tcn_transformer__q_learning,RL,tcn_transformer__q_learning,tcn_transformer+q_learning,0.173158184259115
4,RL:conv_transformer__q_learning,RL,conv_transformer__q_learning,conv_transformer+q_learning,0.172459861269588
5,RL:pca_kmeans_baseline__q_learning,RL,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,0.1707005142782769
6,CA:conv_transformer,CA,conv_transformer,conv_transformer,0.1691878177369987
7,RL:patchtst__q_learning,RL,patchtst__q_learning,patchtst+q_learning,0.1679586867035276
8,RL:pathformer__q_learning,RL,pathformer__q_learning,pathformer+q_learning,0.1669176750219638
9,RL:vae__q_learning,RL,vae__q_learning,vae+q_learning,0.1669176750219638
10,CA:rnn_lstm_hybrid,CA,rnn_lstm_hybrid,rnn_lstm_hybrid,0.1665035736293683
11,CA:cls_token_transformer,CA,cls_token_transformer,encoder_only,0.1645169424153953
12,CA:mae_transformer,CA,mae_transformer,mae_transformer,0.1641252115759917
13,RL:kmeans_baseline__q_learning,RL,kmeans_baseline__q_learning,kmeans_baseline+q_learning,0.1629520047600812
14,RL:cls_token_transformer__q_learning,RL,cls_token_transformer__q_learning,encoder_only+q_learning,0.1628380076024109
15,RL:rnn_autoencoder__q_learning,RL,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,0.1613112333134416
16,CA:encoder_only_market_tuples,CA,encoder_only_market_tuples,encoder_only_market_tuples,0.1578247446256919
17,RL:transformer_autoencoder__q_learning,RL,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,0.1568683035173284
18,RL:pure_rnn__q_learning,RL,pure_rnn__q_learning,pure_rnn+q_learning,0.1554669212157768
19,RL:lstm_autoencoder__q_learning,RL,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,0.1510725820004903
20,RL:encoder_only__q_learning,RL,encoder_only__q_learning,encoder_only+q_learning,0.1468506196447443
21,CA:transformer_autoencoder,CA,transformer_autoencoder,transformer_autoencoder,0.1448964331974029
22,CA:rnn_autoencoder,CA,rnn_autoencoder,rnn_autoencoder,0.1440643754438668
23,CA:pure_rnn,CA,pure_rnn,pure_rnn,0.1396457611120058
24,CA:encoder_only,CA,encoder_only,encoder_only,0.1341229041628477
25,CA:hmm_baseline,CA,hmm_baseline,hmm_baseline,0.1317548570955826
26,RL:rnn_lstm_hybrid__q_learning,RL,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid+q_learning,0.1269604461514579
27,CA:lstm_autoencoder,CA,lstm_autoencoder,lstm_autoencoder,0.1112547438010489
28,CA:kmeans_baseline,CA,kmeans_baseline,kmeans_baseline,0.1085781218326153
29,CA:patchtst,CA,patchtst,patchtst,0.0981937098943512
30,CA:vae,CA,vae,vae,0.0592097031594063
31,CA:pathformer,CA,pathformer,pathformer,0.0578252568523742
32,RL:encoder_only_market_tuples__q_learning,RL,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,0.055035798047673
33,CA:pca_kmeans_baseline,CA,pca_kmeans_baseline,pca_kmeans_baseline,0.0481851853394632
34,CA:random_choice,CA,random_choice,random_choice,0.0398071106002466
35,RL:random_choice,RL,random_choice,random_choice,0.0398071106002466
36,RL:mae_transformer__q_learning,RL,mae_transformer__q_learning,mae_transformer+q_learning,0.0247499549136507
