combined_calmar_rank,experiment_name,source_family,raw_experiment_name,architecture,combined_calmar
1,CA:tcn_transformer,CA,tcn_transformer,tcn_transformer,1.9175062810032968
2,RL:tcn_transformer__q_learning,RL,tcn_transformer__q_learning,tcn_transformer+q_learning,1.905340584757324
3,RL:conv_transformer__q_learning,RL,conv_transformer__q_learning,conv_transformer+q_learning,1.7009173429950468
4,RL:pca_kmeans_baseline__q_learning,RL,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,1.6835654572412515
5,RL:hmm_baseline__q_learning,RL,hmm_baseline__q_learning,hmm_baseline+q_learning,1.6751206826786014
6,RL:patchtst__q_learning,RL,patchtst__q_learning,patchtst+q_learning,1.6565236746545005
7,RL:pathformer__q_learning,RL,pathformer__q_learning,pathformer+q_learning,1.6462565040189865
8,RL:vae__q_learning,RL,vae__q_learning,vae+q_learning,1.6462565040189865
9,CA:mae_transformer,CA,mae_transformer,mae_transformer,1.632295077090582
10,RL:cls_token_transformer__q_learning,RL,cls_token_transformer__q_learning,encoder_only+q_learning,1.6311261241298562
11,CA:rnn_lstm_hybrid,CA,rnn_lstm_hybrid,rnn_lstm_hybrid,1.6308757841454855
12,RL:kmeans_baseline__q_learning,RL,kmeans_baseline__q_learning,kmeans_baseline+q_learning,1.5401748219336635
13,CA:conv_transformer,CA,conv_transformer,conv_transformer,1.5303078446313774
14,RL:transformer_autoencoder__q_learning,RL,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,1.525403267275068
15,RL:lstm_autoencoder__q_learning,RL,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,1.4899813375936508
16,CA:cls_token_transformer,CA,cls_token_transformer,encoder_only,1.4702358226584502
17,RL:rnn_autoencoder__q_learning,RL,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,1.4486941627257366
18,RL:pure_rnn__q_learning,RL,pure_rnn__q_learning,pure_rnn+q_learning,1.4442886571266376
19,CA:transformer_autoencoder,CA,transformer_autoencoder,transformer_autoencoder,1.4290679254248453
20,CA:encoder_only_market_tuples,CA,encoder_only_market_tuples,encoder_only_market_tuples,1.4104297699912882
21,CA:rnn_autoencoder,CA,rnn_autoencoder,rnn_autoencoder,1.3648520824822978
22,RL:encoder_only__q_learning,RL,encoder_only__q_learning,encoder_only+q_learning,1.3123574898209986
23,CA:pure_rnn,CA,pure_rnn,pure_rnn,1.217244256362593
24,CA:hmm_baseline,CA,hmm_baseline,hmm_baseline,1.177322112001704
25,CA:encoder_only,CA,encoder_only,encoder_only,1.103565794686503
26,RL:rnn_lstm_hybrid__q_learning,RL,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid+q_learning,1.092763029550044
27,CA:lstm_autoencoder,CA,lstm_autoencoder,lstm_autoencoder,0.8187631684085026
28,CA:patchtst,CA,patchtst,patchtst,0.8124734072910376
29,CA:kmeans_baseline,CA,kmeans_baseline,kmeans_baseline,0.7922949296608245
30,RL:encoder_only_market_tuples__q_learning,RL,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,0.4491351936777749
31,CA:vae,CA,vae,vae,0.4199160133936903
32,CA:pathformer,CA,pathformer,pathformer,0.4029317041570618
33,CA:pca_kmeans_baseline,CA,pca_kmeans_baseline,pca_kmeans_baseline,0.3318932589207673
34,CA:random_choice,CA,random_choice,random_choice,0.247624035310905
35,RL:random_choice,RL,random_choice,random_choice,0.247624035310905
36,RL:mae_transformer__q_learning,RL,mae_transformer__q_learning,mae_transformer+q_learning,0.1833089369263478
