combined_sharpe_rank,experiment_name,source_family,raw_experiment_name,architecture,combined_sharpe
1,RL:hmm_baseline__q_learning,RL,hmm_baseline__q_learning,hmm_baseline+q_learning,1.2961372166700738
2,RL:conv_transformer__q_learning,RL,conv_transformer__q_learning,conv_transformer+q_learning,1.2933953262990572
3,RL:pca_kmeans_baseline__q_learning,RL,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,1.2924399765533177
4,RL:patchtst__q_learning,RL,patchtst__q_learning,patchtst+q_learning,1.262816843668942
5,RL:pathformer__q_learning,RL,pathformer__q_learning,pathformer+q_learning,1.2510276956932838
6,RL:vae__q_learning,RL,vae__q_learning,vae+q_learning,1.2510276956932838
7,CA:tcn_transformer,CA,tcn_transformer,tcn_transformer,1.2464560026277829
8,RL:tcn_transformer__q_learning,RL,tcn_transformer__q_learning,tcn_transformer+q_learning,1.2347667580616437
9,CA:rnn_lstm_hybrid,CA,rnn_lstm_hybrid,rnn_lstm_hybrid,1.233794726723513
10,CA:conv_transformer,CA,conv_transformer,conv_transformer,1.2134032243321882
11,RL:kmeans_baseline__q_learning,RL,kmeans_baseline__q_learning,kmeans_baseline+q_learning,1.2027787016388138
12,CA:mae_transformer,CA,mae_transformer,mae_transformer,1.1801024477838258
13,CA:cls_token_transformer,CA,cls_token_transformer,encoder_only,1.1726860584790564
14,RL:cls_token_transformer__q_learning,RL,cls_token_transformer__q_learning,encoder_only+q_learning,1.162109069375408
15,RL:rnn_autoencoder__q_learning,RL,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,1.1605136392527882
16,RL:pure_rnn__q_learning,RL,pure_rnn__q_learning,pure_rnn+q_learning,1.1038553522253918
17,CA:encoder_only_market_tuples,CA,encoder_only_market_tuples,encoder_only_market_tuples,1.083873278165613
18,RL:transformer_autoencoder__q_learning,RL,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,1.0833004614681243
19,RL:lstm_autoencoder__q_learning,RL,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,1.0742979236063293
20,RL:encoder_only__q_learning,RL,encoder_only__q_learning,encoder_only+q_learning,1.0095208826976652
21,CA:transformer_autoencoder,CA,transformer_autoencoder,transformer_autoencoder,0.985056965702142
22,CA:rnn_autoencoder,CA,rnn_autoencoder,rnn_autoencoder,0.974735947449018
23,CA:pure_rnn,CA,pure_rnn,pure_rnn,0.910620564249327
24,CA:encoder_only,CA,encoder_only,encoder_only,0.8200044155508288
25,CA:hmm_baseline,CA,hmm_baseline,hmm_baseline,0.818724518143478
26,RL:rnn_lstm_hybrid__q_learning,RL,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid+q_learning,0.7496162414667551
27,CA:lstm_autoencoder,CA,lstm_autoencoder,lstm_autoencoder,0.6163741641912055
28,CA:kmeans_baseline,CA,kmeans_baseline,kmeans_baseline,0.5835521862185673
29,CA:patchtst,CA,patchtst,patchtst,0.4993811568386215
30,CA:vae,CA,vae,vae,0.1086884954984045
31,CA:pathformer,CA,pathformer,pathformer,0.0945385914187769
32,RL:encoder_only_market_tuples__q_learning,RL,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,0.0695764931901341
33,CA:pca_kmeans_baseline,CA,pca_kmeans_baseline,pca_kmeans_baseline,-0.0009419930324616
34,CA:random_choice,CA,random_choice,random_choice,-0.082804872223878
35,RL:random_choice,RL,random_choice,random_choice,-0.082804872223878
36,RL:mae_transformer__q_learning,RL,mae_transformer__q_learning,mae_transformer+q_learning,-0.2386783115934219
