combined_total_turnover_rank,experiment_name,source_family,raw_experiment_name,architecture,combined_total_turnover
1,CA:encoder_only_market_tuples,CA,encoder_only_market_tuples,encoder_only_market_tuples,1.0
2,RL:patchtst__q_learning,RL,patchtst__q_learning,patchtst+q_learning,1.6
3,RL:pathformer__q_learning,RL,pathformer__q_learning,pathformer+q_learning,1.6
4,RL:vae__q_learning,RL,vae__q_learning,vae+q_learning,1.6
5,RL:pca_kmeans_baseline__q_learning,RL,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,3.2
6,RL:conv_transformer__q_learning,RL,conv_transformer__q_learning,conv_transformer+q_learning,7.200000000000001
7,CA:encoder_only,CA,encoder_only,encoder_only,10.4
8,RL:encoder_only__q_learning,RL,encoder_only__q_learning,encoder_only+q_learning,10.8
9,RL:cls_token_transformer__q_learning,RL,cls_token_transformer__q_learning,encoder_only+q_learning,12.8
10,RL:kmeans_baseline__q_learning,RL,kmeans_baseline__q_learning,kmeans_baseline+q_learning,14.4
11,CA:conv_transformer,CA,conv_transformer,conv_transformer,16.799999999999997
12,CA:rnn_lstm_hybrid,CA,rnn_lstm_hybrid,rnn_lstm_hybrid,20.2
13,CA:cls_token_transformer,CA,cls_token_transformer,encoder_only,21.8
14,RL:lstm_autoencoder__q_learning,RL,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,22.4
15,CA:lstm_autoencoder,CA,lstm_autoencoder,lstm_autoencoder,32.6
16,RL:rnn_autoencoder__q_learning,RL,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,33.2
17,CA:transformer_autoencoder,CA,transformer_autoencoder,transformer_autoencoder,33.599999999999994
18,CA:mae_transformer,CA,mae_transformer,mae_transformer,35.4
19,CA:tcn_transformer,CA,tcn_transformer,tcn_transformer,39.8
20,RL:tcn_transformer__q_learning,RL,tcn_transformer__q_learning,tcn_transformer+q_learning,41.2
21,RL:transformer_autoencoder__q_learning,RL,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,41.6
22,CA:pure_rnn,CA,pure_rnn,pure_rnn,44.6
23,RL:hmm_baseline__q_learning,RL,hmm_baseline__q_learning,hmm_baseline+q_learning,46.0
24,RL:pure_rnn__q_learning,RL,pure_rnn__q_learning,pure_rnn+q_learning,49.2
25,RL:rnn_lstm_hybrid__q_learning,RL,rnn_lstm_hybrid__q_learning,rnn_lstm_hybrid+q_learning,59.80000000000001
26,CA:hmm_baseline,CA,hmm_baseline,hmm_baseline,73.80000000000001
27,CA:kmeans_baseline,CA,kmeans_baseline,kmeans_baseline,91.6
28,CA:rnn_autoencoder,CA,rnn_autoencoder,rnn_autoencoder,129.39999999999998
29,CA:patchtst,CA,patchtst,patchtst,231.0
30,CA:pca_kmeans_baseline,CA,pca_kmeans_baseline,pca_kmeans_baseline,240.0
31,CA:vae,CA,vae,vae,251.2
32,CA:pathformer,CA,pathformer,pathformer,256.79999999999995
33,RL:encoder_only_market_tuples__q_learning,RL,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,293.6
34,RL:mae_transformer__q_learning,RL,mae_transformer__q_learning,mae_transformer+q_learning,304.0
35,CA:random_choice,CA,random_choice,random_choice,309.0
36,RL:random_choice,RL,random_choice,random_choice,309.0
