overall_rank,experiment_name,source_family,raw_experiment_name,architecture,validation_rank,validation_sharpe,validation_annual_return,validation_max_drawdown,test_rank,test_sharpe,test_annual_return,test_max_drawdown,average_rank,rank_gap
1,RL:lstm_autoencoder__q_learning,rl,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,1,1.3221561572630482,0.1827515407514253,-0.0908804366234448,4,1.7764255424188236,0.2130414106472136,-0.0788824995572253,2.5,3
2,CA:lstm_autoencoder,cluster_action,lstm_autoencoder,lstm_autoencoder,2,1.1942360819469091,0.1695072261739632,-0.0908804366234448,6,1.7644447419799567,0.2119247022672075,-0.0857420248374105,4.0,4
3,RL:pca_kmeans_baseline__q_learning,rl,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,3,1.1899829431956988,0.1714513425419803,-0.0998316471016472,7,1.7192930416960317,0.2055476716890114,-0.0788824995572248,5.0,4
4,RL:encoder_only__q_learning,rl,encoder_only__q_learning,encoder_only+q_learning,8,1.1630223230092245,0.1689802337810024,-0.099831647101648,8,1.709674249012743,0.2188982229332718,-0.0881588497140415,8.0,0
5,CA:tcn_transformer,cluster_action,tcn_transformer,tcn_transformer,16,1.084176819303098,0.1581338798951135,-0.0908804366234448,5,1.773343302156556,0.2166937456453699,-0.0826503085412725,10.5,-11
6,RL:tcn_transformer__q_learning,rl,tcn_transformer__q_learning,tcn_transformer+q_learning,10,1.1445904636421913,0.1669659712733655,-0.0998316471016472,11,1.6593902349022662,0.2014899637801674,-0.0788824995572251,10.5,1
7,RL:cls_token_transformer__q_learning,rl,cls_token_transformer__q_learning,encoder_only+q_learning,4,1.1805365270844568,0.1691422746411688,-0.0998316471016477,17,1.6178559581879113,0.1982122164845086,-0.078882499557225,10.5,13
8,RL:encoder_only_market_tuples__q_learning,rl,encoder_only_market_tuples__q_learning,encoder_only_market_tuples+q_learning,7,1.1630223230092245,0.1689802337810024,-0.099831647101648,16,1.6178559581879113,0.1982122164845086,-0.078882499557225,11.5,9
9,RL:pathformer__q_learning,rl,pathformer__q_learning,pathformer+q_learning,22,1.0063316194166096,0.14713828347592,-0.1013922645799545,2,1.8490928495408765,0.2161247804049946,-0.081013018544135,12.0,-20
10,RL:conv_transformer__q_learning,rl,conv_transformer__q_learning,conv_transformer+q_learning,11,1.1400388237765602,0.1667162693073702,-0.099831647101648,13,1.6415809485827435,0.1987767266805102,-0.0788824995572251,12.0,2
