Date,portfolio_nav,portfolio_return,turnover,action,cluster
2023-02-14,10000.0,0.0,0.0,recession,1
2023-02-15,9960.745552112903,-0.003925444788709719,1.0,recession,1
2023-02-16,9945.000859128144,-0.001580674147571104,0.0,recession,1
2023-02-17,9958.675441795613,0.001375020762810464,0.0,recession,1
2023-02-21,9931.87508796458,-0.002691156468314493,0.0,recession,1
2023-02-22,9929.800662747404,-0.00020886541552340716,0.0,recession,1
2023-02-23,9938.45049455527,0.0008710982326479934,0.0,recession,1
2023-02-24,9911.229156288646,-0.0027389921881220917,0.0,recession,1
2023-02-27,9921.748633310932,0.0010613695694454473,0.0,recession,1
2023-02-28,9935.297079540918,0.001365530082519917,0.0,recession,1
2023-03-01,9936.092617438326,8.007187817722357e-05,0.0,recession,1
2023-03-02,9926.118519561958,-0.0010038249702768454,0.0,recession,1
2023-03-03,9971.45336418567,0.00456722781763772,0.0,recession,1
2023-03-06,9953.663319765836,-0.0017840974399710996,0.0,recession,1
2023-03-07,9924.968318250749,-0.0028828583601080426,0.0,recession,1
2023-03-08,9925.002242577624,3.418079109951405e-06,0.0,recession,1
2023-03-09,9946.990107411615,0.002215401497811764,0.0,recession,1
2023-03-10,10024.190542817274,0.00776118550154541,0.0,recession,1
2023-03-13,10072.476237748186,0.004816917109133678,0.0,recession,1
2023-03-14,10044.249486720457,-0.0028023646183392486,0.0,recession,1
2023-03-15,10079.3226332414,0.0034918633360623732,0.0,recession,1
2023-03-16,10075.509999177917,-0.00037826292521971896,0.0,recession,1
2023-03-17,10149.312522175169,0.0073249416658086606,0.0,recession,1
2023-03-20,10141.156961719045,-0.0008035579196427168,0.0,recession,1
2023-03-21,10094.160409979815,-0.004634239654965633,0.0,recession,1
2023-03-22,10141.981050685215,0.004737455990705342,0.0,recession,1
2023-03-23,10167.41343902821,0.0025076351667288055,0.0,recession,1
2023-03-24,10148.83200132803,-0.0018275481578091445,0.0,defensive,2
2023-03-27,10022.748991293398,-0.012423401039462873,0.8999999999999999,defensive,2
2023-03-28,10048.318171801217,0.0025511145225755373,0.0,defensive,2
2023-03-29,10042.386155793922,-0.0005903491416048344,0.0,defensive,2
2023-03-30,10089.445264623768,0.004686048524702091,0.0,defensive,2
2023-03-31,10150.978123034216,0.006098735539623485,0.0,defensive,2
2023-04-03,10192.225054202403,0.004063345489297388,0.0,defensive,2
2023-04-04,10254.33612278884,0.0060939655723974305,0.0,defensive,2
2023-04-05,10292.48891872676,0.003720650023664696,0.0,defensive,2
2023-04-06,10288.79553511945,-0.00035884261197408063,0.0,defensive,2
2023-04-10,10204.457735133858,-0.008197052774323066,0.0,defensive,2
2023-04-11,10229.265320179706,0.0024310537306098667,0.0,defensive,2
2023-04-12,10233.382295193538,0.00040247025421383796,0.0,defensive,2
2023-04-13,10249.385786411505,0.0015638515943534603,0.0,defensive,2
2023-04-14,10164.003599850967,-0.008330468609517666,0.0,defensive,2
2023-04-17,10107.970459975324,-0.005512900435854229,0.0,defensive,2
2023-04-18,10132.843576235955,0.00246074287208512,0.0,defensive,2
2023-04-19,10116.67770891511,-0.0015953929614346053,0.0,defensive,2
2023-04-20,10155.714701809251,0.0038586771287319357,0.0,defensive,2
2023-04-21,10108.569769492862,-0.004642207240027202,0.0,defensive,2
2023-04-24,10156.42439890158,0.004734065303000678,0.0,defensive,2
2023-04-25,10212.954864856103,0.00556598107111771,0.0,defensive,2
2023-04-26,10151.204700354972,-0.006046258435315394,0.0,defensive,2
2023-04-27,10131.261198541242,-0.0019646438430141575,0.0,defensive,2
2023-04-28,10205.962299640256,0.007373326936805235,0.0,defensive,2
2023-05-01,10075.76021903177,-0.01275745263267089,0.0,defensive,2
2023-05-02,10213.47652563903,0.013668080979848196,0.0,defensive,2
2023-05-03,10250.920132058027,0.003666098054369826,0.0,defensive,2
2023-05-04,10221.176770464703,-0.002901530907484651,0.0,defensive,2
2023-05-05,10186.517846624081,-0.003390893692473035,0.0,defensive,2
