Date,portfolio_nav,portfolio_return,turnover,action,cluster
2023-02-14,10000.0,0.0,0.0,aggressive,3
2023-02-15,9996.689054593924,-0.0003310945406074894,1.0,rebound,2
2023-02-16,9891.905162818362,-0.010481859664066352,0.5999999999999999,aggressive,3
2023-02-17,9876.845758775149,-0.0015223967269540222,0.5999999999999999,aggressive,3
2023-02-21,9695.447026599904,-0.01836605902386197,0.0,rebound,2
2023-02-22,9689.808390208658,-0.0005815756999935746,0.5999999999999999,rebound,2
2023-02-23,9733.4909895208,0.00450809732793911,0.0,aggressive,3
2023-02-24,9624.8114817824,-0.011165521995695538,0.5999999999999999,rebound,2
2023-02-27,9648.311447730473,0.0024416027256797933,0.5999999999999999,defensive,1
2023-02-28,9665.550329913305,0.001786725301750814,0.8000000000000002,aggressive,3
2023-03-01,9617.553217721847,-0.004965791967676746,1.4,rebound,2
2023-03-02,9630.999987215113,0.0013981486963325477,0.5999999999999999,rebound,2
2023-03-03,9775.548546636563,0.01500867610978456,0.0,aggressive,3
2023-03-06,9762.591101431606,-0.001325495458708991,0.5999999999999999,aggressive,3
2023-03-07,9631.794333747821,-0.013397751306474836,0.0,rebound,2
2023-03-08,9634.855109948929,0.00031777840089291056,0.5999999999999999,aggressive,3
2023-03-09,9498.720767739462,-0.014129360603346797,0.5999999999999999,aggressive,3
2023-03-10,9442.311135704522,-0.005938655679459927,0.0,aggressive,3
2023-03-13,9455.359230512173,0.0013818751172380405,0.0,rebound,2
2023-03-14,9485.79094847916,0.0032184623793861684,0.5999999999999999,rebound,2
2023-03-15,9507.568189706424,0.0022957749486095073,0.0,aggressive,3
2023-03-16,9629.7949828651,0.012855736684698037,0.5999999999999999,aggressive,3
2023-03-17,9582.213124937929,-0.004941108093353618,0.0,rebound,2
2023-03-20,9606.40322219669,0.0025244791514609246,0.5999999999999999,rebound,2
2023-03-21,9616.70013640831,0.0010718802837494726,0.0,aggressive,3
2023-03-22,9508.975692427919,-0.011201809607492308,0.5999999999999999,rebound,2
2023-03-23,9539.968349187147,0.0032593054984783494,0.5999999999999999,aggressive,3
2023-03-24,9577.625242272901,0.003947276522040189,0.5999999999999999,aggressive,3
2023-03-27,9560.588090330064,-0.0017788492984294306,0.0,aggressive,3
2023-03-28,9552.989735815869,-0.0007947580674332766,0.0,rebound,2
2023-03-29,9603.367853267104,0.0052735446016821475,0.5999999999999999,aggressive,3
