combined_rank,experiment_name,architecture,n_clusters,target_cluster_count,best_mapping,objective,cluster_label_source,cluster_fit_splits,cluster_fit_n_windows,mapping_fit_split,mapping_candidate_clusters,validation_clusters,unmapped_validation_clusters,unmapped_test_clusters,validation_n_days,validation_risk_free_rate,validation_total_return,validation_annual_return,validation_annual_vol,validation_sharpe,validation_max_drawdown,validation_calmar,validation_final_nav,validation_avg_turnover,validation_total_turnover,test_n_days,test_risk_free_rate,test_total_return,test_annual_return,test_annual_vol,test_sharpe,test_max_drawdown,test_calmar,test_final_nav,test_avg_turnover,test_total_turnover,combined_n_days,combined_risk_free_rate,combined_total_return,combined_annual_return,combined_annual_vol,combined_sharpe,combined_max_drawdown,combined_calmar,combined_final_nav,combined_avg_turnover,combined_total_turnover
1,tcn_transformer,tcn_transformer,4,4,0->rebound; 1->aggressive; 2->defensive; 3->recession,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,2,3",,,792,0.04791313131313132,0.48489855267768633,0.1340463232924991,0.08641163272865172,0.9967777399813946,-0.08493879789091052,1.5781518766566354,14848.985526776863,0.052020202020202036,41.20000000000001,792,0.04791313131313132,0.48489855267768633,0.1340463232924991,0.08641163272865172,0.9967777399813946,-0.08493879789091052,1.5781518766566354,14848.985526776863,0.052020202020202036,41.20000000000001,792,0.04791313131313132,0.48489855267768633,0.1340463232924991,0.08641163272865172,0.9967777399813946,-0.08493879789091052,1.5781518766566354,14848.985526776863,0.052020202020202036,41.20000000000001
2,cls_token_transformer,encoder_only,4,4,0->rebound; 1->recession; 2->aggressive; 3->defensive,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2",,,792,0.04791313131313132,0.35953301796323656,0.10266146182247238,0.06529263470177406,0.8385069887194107,-0.08654516438218651,1.1862183468635605,13595.330179632365,0.05378787878787879,42.6,792,0.04791313131313132,0.35953301796323656,0.10266146182247238,0.06529263470177406,0.8385069887194107,-0.08654516438218651,1.1862183468635605,13595.330179632365,0.05378787878787879,42.6,792,0.04791313131313132,0.35953301796323656,0.10266146182247238,0.06529263470177406,0.8385069887194107,-0.08654516438218651,1.1862183468635605,13595.330179632365,0.05378787878787879,42.6
3,conv_transformer,conv_transformer,4,4,0->aggressive; 1->recession; 2->defensive; 3->rebound,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2",,,792,0.04791313131313132,0.3805575118829989,0.10805877283874299,0.08138413445569245,0.7390339889693913,-0.08507545259212679,1.2701521948617076,13805.57511882999,0.045328282828282815,35.89999999999999,792,0.04791313131313132,0.3805575118829989,0.10805877283874299,0.08138413445569245,0.7390339889693913,-0.08507545259212679,1.2701521948617076,13805.57511882999,0.045328282828282815,35.89999999999999,792,0.04791313131313132,0.3805575118829989,0.10805877283874299,0.08138413445569245,0.7390339889693913,-0.08507545259212679,1.2701521948617076,13805.57511882999,0.045328282828282815,35.89999999999999
4,encoder_only,encoder_only,4,4,0->rebound; 1->aggressive; 2->recession; 3->defensive,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2",,,792,0.04791313131313132,0.4192495839319199,0.11784692808768749,0.11267074546656938,0.6206917020470613,-0.15005810735173164,0.7853419596413933,14192.4958393192,0.019696969696969695,15.599999999999998,792,0.04791313131313132,0.4192495839319199,0.11784692808768749,0.11267074546656938,0.6206917020470613,-0.15005810735173164,0.7853419596413933,14192.4958393192,0.019696969696969695,15.599999999999998,792,0.04791313131313132,0.4192495839319199,0.11784692808768749,0.11267074546656938,0.6206917020470613,-0.15005810735173164,0.7853419596413933,14192.4958393192,0.019696969696969695,15.599999999999998
5,rnn_autoencoder,rnn_autoencoder,4,4,0->recession; 1->rebound; 2->aggressive; 3->defensive,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2,3",,,792,0.04791313131313132,0.30475250102895646,0.08832587083049792,0.0796376353158574,0.5074578038019625,-0.0800727251183313,1.1030706236108505,13047.525010289564,0.2772727272727272,219.59999999999997,792,0.04791313131313132,0.30475250102895646,0.08832587083049792,0.0796376353158574,0.5074578038019625,-0.0800727251183313,1.1030706236108505,13047.525010289564,0.2772727272727272,219.59999999999997,792,0.04791313131313132,0.30475250102895646,0.08832587083049792,0.0796376353158574,0.5074578038019625,-0.0800727251183313,1.1030706236108505,13047.525010289564,0.2772727272727272,219.59999999999997
6,mae_transformer,mae_transformer,4,4,0->recession; 1->rebound; 2->aggressive; 3->defensive,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2,3",,,792,0.04791313131313132,0.26467248024441226,0.0775751490576686,0.06334635026657395,0.46825140864017667,-0.04698128770421739,1.6511924821231514,12646.724802444123,0.1585858585858586,125.60000000000002,792,0.04791313131313132,0.26467248024441226,0.0775751490576686,0.06334635026657395,0.46825140864017667,-0.04698128770421739,1.6511924821231514,12646.724802444123,0.1585858585858586,125.60000000000002,792,0.04791313131313132,0.26467248024441226,0.0775751490576686,0.06334635026657395,0.46825140864017667,-0.04698128770421739,1.6511924821231514,12646.724802444123,0.1585858585858586,125.60000000000002
7,transformer_autoencoder,transformer_autoencoder,4,4,0->defensive; 1->recession; 2->aggressive; 3->rebound,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2,3",,,792,0.04791313131313132,0.3077393040705443,0.08911796011507578,0.09396152332446273,0.43852874393764596,-0.09258367575498805,0.9625666661897948,13077.393040705443,0.06565656565656566,52.0,792,0.04791313131313132,0.3077393040705443,0.08911796011507578,0.09396152332446273,0.43852874393764596,-0.09258367575498805,0.9625666661897948,13077.393040705443,0.06565656565656566,52.0,792,0.04791313131313132,0.3077393040705443,0.08911796011507578,0.09396152332446273,0.43852874393764596,-0.09258367575498805,0.9625666661897948,13077.393040705443,0.06565656565656566,52.0
8,lstm_autoencoder,lstm_autoencoder,4,4,0->defensive; 1->rebound; 2->recession; 3->aggressive,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,2,3",,,792,0.04791313131313132,0.29609100987869974,0.08602186143439727,0.09080603065949859,0.4196717976162265,-0.1196756852637878,0.7187914674964163,12960.910098786997,0.05808080808080808,46.0,792,0.04791313131313132,0.29609100987869974,0.08602186143439727,0.09080603065949859,0.4196717976162265,-0.1196756852637878,0.7187914674964163,12960.910098786997,0.05808080808080808,46.0,792,0.04791313131313132,0.29609100987869974,0.08602186143439727,0.09080603065949859,0.4196717976162265,-0.1196756852637878,0.7187914674964163,12960.910098786997,0.05808080808080808,46.0
9,rnn_lstm_hybrid,rnn_lstm_hybrid,4,4,0->aggressive; 1->defensive; 2->rebound; 3->recession,sharpe,embeddings_fit_on_train_validation,"train,validation",2432,train,"0,1,2,3","0,1,3",,,792,0.04791313131313132,0.27819455750943467,0.0812278305836458,0.08295938629497641,0.40157841997599064,-0.09218768950016432,0.8811136391860761,12781.945575094347,0.07007575757575757,55.5,792,0.04791313131313132,0.27819455750943467,0.0812278305836458,0.08295938629497641,0.40157841997599064,-0.09218768950016432,0.8811136391860761,12781.945575094347,0.07007575757575757,55.5,792,0.04791313131313132,0.27819455750943467,0.0812278305836458,0.08295938629497641,0.40157841997599064,-0.09218768950016432,0.8811136391860761,12781.945575094347,0.07007575757575757,55.5
10,encoder_only_market_tuples,encoder_only_market_tuples,4,4,0->rebound; 1->recession; 2->aggressive; 3->defensive,sharpe,embeddings_fit_on_train_validation,"train,validation",2433,train,"0,1,2,3",1,,,792,0.04791313131313132,0.21039581812663277,0.06263959847744305,0.043811645193295196,0.336131343603719,-0.04250470319967592,1.4737098194328915,12103.958181266327,0.0012626262626262627,1.0,792,0.04791313131313132,0.21039581812663277,0.06263959847744305,0.043811645193295196,0.336131343603719,-0.04250470319967592,1.4737098194328915,12103.958181266327,0.0012626262626262627,1.0,792,0.04791313131313132,0.21039581812663277,0.06263959847744305,0.043811645193295196,0.336131343603719,-0.04250470319967592,1.4737098194328915,12103.958181266327,0.0012626262626262627,1.0
