family,experiment_name,source_experiment,architecture,initial_capital,combined_final_nav,combined_profit_loss,combined_bankruptcy_triggered,combined_bankruptcy_date,best_mapping,best_episode,combined_n_days,combined_risk_free_rate,combined_total_return,combined_annual_return,combined_annual_vol,combined_sharpe,combined_max_drawdown,combined_calmar,combined_avg_turnover,combined_total_turnover
RL,lstm_autoencoder__q_learning,lstm_autoencoder,lstm_autoencoder+q_learning,10000.0,16048.565278022314,6048.565278022299,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",11,792,0.04791313131313132,0.6048565278022313,0.1624280142111807,0.0948946177166394,1.2067584616863853,-0.09258367575498794,1.7543915046214817,0.009090909090909092,7.200000000000001
RL,rnn_autoencoder__q_learning,rnn_autoencoder,rnn_autoencoder+q_learning,10000.0,15362.035137089739,5362.035137089728,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",26,792,0.04791313131313132,0.5362035137089738,0.14636944922594597,0.08335955097166303,1.1811042257927176,-0.09250679354422786,1.5822562172795034,0.028282828282828285,22.400000000000002
RL,kmeans_baseline__q_learning,kmeans_baseline,kmeans_baseline+q_learning,10000.0,15972.945269787637,5972.945269787659,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",23,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,0.002777777777777778,2.2
RL,pca_kmeans_baseline__q_learning,pca_kmeans_baseline,pca_kmeans_baseline+q_learning,10000.0,15972.945269787637,5972.945269787659,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",5,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,0.002777777777777778,2.2
RL,hmm_baseline__q_learning,hmm_baseline,hmm_baseline+q_learning,10000.0,15719.956224487221,5719.956224487207,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",4,792,0.04791313131313132,0.5719956224487222,0.15480124148221264,0.09657196708001524,1.1068233712224023,-0.0925836757549875,1.6720144260838927,0.013383838383838385,10.600000000000001
RL,transformer_autoencoder__q_learning,transformer_autoencoder,transformer_autoencoder+q_learning,10000.0,14265.81499888856,4265.814998888545,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",28,792,0.04791313131313132,0.42658149988885596,0.11968115506709909,0.06723483874491984,1.0674231558172727,-0.08493879789090986,1.4090281242361138,0.0691919191919192,54.8
RL,conv_transformer__q_learning,conv_transformer,conv_transformer+q_learning,10000.0,15385.150003827104,5385.150003827164,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",15,792,0.04791313131313132,0.5385150003827104,0.1469180039491007,0.09386961347858706,1.0547062991641458,-0.09524920613395338,1.5424590913910936,0.037626262626262626,29.8
CA,tcn_transformer,tcn_transformer,tcn_transformer,10000.0,14848.985526776863,4848.985526776873,False,,0->rebound; 1->aggressive; 2->defensive; 3->recession,,792,0.04791313131313132,0.48489855267768633,0.1340463232924991,0.08641163272865172,0.9967777399813946,-0.08493879789091052,1.5781518766566354,0.052020202020202036,41.20000000000001
RL,tcn_transformer__q_learning,tcn_transformer,tcn_transformer+q_learning,10000.0,15056.37522308979,5056.375223089839,False,,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",35,792,0.04791313131313132,0.5056375223089791,0.13906211971775173,0.09619490441665918,0.9475448721256288,-0.08642129798500653,1.6091186196008997,0.05353535353535354,42.400000000000006
CA,cls_token_transformer,cls_token_transformer,encoder_only,10000.0,13595.330179632365,3595.330179632383,False,,0->rebound; 1->recession; 2->aggressive; 3->defensive,,792,0.04791313131313132,0.35953301796323656,0.10266146182247238,0.06529263470177406,0.8385069887194107,-0.08654516438218651,1.1862183468635605,0.05378787878787879,42.6
