Date,portfolio_nav,portfolio_return,turnover,action,cluster
2023-02-14,10000.0,0.0,0.0,recession,0
2023-02-15,9960.745552112903,-0.003925444788709719,1.0,recession,2
2023-02-16,9945.000859128144,-0.001580674147571104,0.0,recession,3
2023-02-17,9958.675441795613,0.001375020762810464,0.0,rebound,1
2023-02-21,9800.678183721178,-0.01586528841087994,1.2,aggressive,3
2023-02-22,9787.458596690489,-0.0013488441088339792,0.6,rebound,0
2023-02-23,9825.708937479529,0.003908097327939108,0.6,aggressive,3
2023-02-24,9715.999768214799,-0.011165521995695538,0.6,aggressive,1
2023-02-27,9748.97612176322,0.0033940257652435245,0.0,aggressive,3
2023-02-28,9729.02025013196,-0.002046971023624922,0.0,aggressive,2
2023-03-01,9694.328587870676,-0.003565791967676746,0.0,aggressive,3
2023-03-02,9745.48195981343,0.0052766286472646475,0.0,aggressive,1
2023-03-03,9904.57752133053,0.016325058337098942,0.0,aggressive,3
2023-03-06,9897.391795318374,-0.0007254954587089912,0.0,aggressive,2
2023-03-07,9764.789001461953,-0.013397751306474836,0.0,aggressive,1
2023-03-08,9778.035390339008,0.0013565463498568687,0.0,aggressive,1
2023-03-09,9645.744823550825,-0.013529360603346797,0.0,rebound,0
2023-03-10,9678.492875605209,0.0033950775863803677,0.6,rebound,0
2023-03-13,9720.415784641276,0.004331553432429025,0.0,aggressive,3
2023-03-14,9821.51498553879,0.010400707452993544,0.6,rebound,0
2023-03-15,9838.17006460866,0.001695774948609508,0.6,defensive,1
2023-03-16,9821.744262151029,-0.0016695993614422196,0.8000000000000002,recession,0
2023-03-17,9884.84839609184,0.006424941665808661,0.8999999999999999,recession,3
2023-03-20,9876.905347878694,-0.0008035579196427168,0.0,rebound,1
2023-03-21,9875.63992156809,-0.0001281197162505286,1.2,aggressive,3
2023-03-22,9765.014883414535,-0.011201809607492308,0.6,rebound,0
2023-03-23,9796.842050116771,0.0032593054984783494,0.6,aggressive,3
2023-03-24,9835.512894731335,0.003947276522040189,0.6,aggressive,1
2023-03-27,9818.016999518848,-0.0017788492984294306,0.0,aggressive,3
2023-03-28,9810.214051302284,-0.0007947580674332766,0.0,aggressive,1
2023-03-29,9917.450039451507,0.010931054876930725,0.0,aggressive,3
2023-03-30,9977.43368703343,0.006048293396317494,0.0,aggressive,1
2023-03-31,10099.68224780602,0.012252505464552754,0.0,aggressive,3
2023-04-03,10142.4964310145,0.00423916140706111,0.0,aggressive,1
2023-04-04,10121.427685849276,-0.0020772741019458923,0.0,aggressive,3
2023-04-05,10110.001065474806,-0.0011289534173568592,0.0,aggressive,1
2023-04-06,10136.95424579545,0.0026659918377939353,0.0,aggressive,3
2023-04-10,10121.4305943515,-0.001531392079666338,0.0,rebound,0
2023-04-11,10133.682216924342,0.001210463526735062,0.6,aggressive,3
2023-04-12,10098.46642156224,-0.0034751233172961465,0.6,aggressive,1
2023-04-13,10211.487889172042,0.011191943696369368,0.0,aggressive,3
2023-04-14,10164.10793279377,-0.0046398680478789926,0.0,aggressive,1
2023-04-17,10176.66729927131,0.0012356585113602158,0.0,aggressive,3
2023-04-18,10189.552702315194,0.0012661711997606464,0.0,rebound,0
2023-04-19,10170.884176014377,-0.0018321242203866322,0.6,aggressive,3
2023-04-20,10133.080242491698,-0.003716877792378192,0.6,aggressive,1
2023-04-21,10123.663449528694,-0.0009293119898051039,0.0,aggressive,3
2023-04-24,10144.984579329493,0.00210606860916458,0.0,aggressive,1
2023-04-25,10036.229714271485,-0.010720062135885056,0.0,aggressive,3
2023-04-26,9986.068204688472,-0.004998043190629941,0.0,rebound,0
2023-04-27,10059.768991317425,0.007380360830536881,0.6,aggressive,3
2023-04-28,10138.921474974204,0.007868220803588512,0.6,rebound,0
2023-05-01,10060.143220522046,-0.007769885055980051,0.6,aggressive,3
2023-05-02,10008.134577830286,-0.005169771597850236,0.6,rebound,0
2023-05-03,9995.925687445753,-0.0012198967039848902,0.6,aggressive,3
2023-05-04,9930.44270489167,-0.006550967324249534,0.6,rebound,0
2023-05-05,9978.721304030587,0.004861676420038654,0.6,aggressive,3
2023-05-08,9962.101693949875,-0.0016655049854933375,0.6,rebound,0
2023-05-09,9941.271052789883,-0.0020909886086227895,0.6,aggressive,3
2023-05-10,9980.69239966995,0.003965423200990293,0.6,aggressive,1
2023-05-11,9968.75181114761,-0.0011963687532074328,0.0,aggressive,3
2023-05-12,9948.255581063468,-0.00205604778536288,0.0,rebound,0
2023-05-15,9943.101096318234,-0.0005181295055432182,0.6,aggressive,3
2023-05-16,9868.56355071726,-0.007496408301488034,0.6,rebound,0
2023-05-17,9909.951165389142,0.004193884394540337,0.6,aggressive,3
2023-05-18,9960.178042212861,0.0050683273797694555,0.6,aggressive,1
2023-05-19,9951.39947466089,-0.0008813665292695229,0.0,aggressive,3
2023-05-22,9948.76054292308,-0.0002651819720963178,0.0,rebound,0
2023-05-23,9895.080119133887,-0.005395689599482744,0.6,defensive,1
2023-05-24,9840.449049833902,-0.005521033548212084,0.8000000000000002,recession,0
2023-05-25,9810.216183015507,-0.0030723056097632364,0.8999999999999999,recession,3
2023-05-26,9825.979790628628,0.001606856293382375,0.0,rebound,1
2023-05-30,9847.861098375679,0.002226883039991679,1.2,defensive,1
2023-05-31,9872.645441688623,0.0025167234859793343,0.8000000000000002,recession,0
2023-06-01,9883.228866239047,0.0010719947974365495,0.8999999999999999,rebound,1
2023-06-02,9892.018469386789,0.0008893453006806791,1.2,rebound,0
2023-06-05,9890.766455804174,-0.00012656805954102128,0.0,rebound,0
2023-06-06,9915.366476098976,0.0024871702718615605,0.0,defensive,1
2023-06-07,9815.361326283355,-0.010085875298374887,0.8000000000000002,recession,0
2023-06-08,9843.943112417031,0.002911944367971454,0.8999999999999999,recession,0
2023-06-09,9837.307495742152,-0.0006740811683997094,0.0,rebound,1
2023-06-12,9874.185180980467,0.0037487580066268194,1.2,rebound,0
2023-06-13,9872.674016765082,-0.00015304191563023594,0.0,rebound,0
2023-06-14,9895.44803001815,0.0023067725333980604,0.0,defensive,1
2023-06-15,9955.21526966898,0.00603987201686328,0.8000000000000002,defensive,1
2023-06-16,9932.528245810425,-0.0022789084157403996,0.0,defensive,2
2023-06-20,9929.166267279194,-0.0003384816481795615,0.0,defensive,1
2023-06-21,9930.100944891534,9.413455139944407e-05,0.0,defensive,2
2023-06-22,9861.12186552241,-0.006946463057317654,0.0,defensive,1
2023-06-23,9899.789658043539,0.003921236655265881,0.0,defensive,1
2023-06-26,9904.26528792385,0.00045209343177047277,0.0,defensive,1
2023-06-27,9893.408668263719,-0.001096155983762681,0.0,defensive,2
2023-06-28,9905.0785872298,0.0011795650374290035,0.0,defensive,1
2023-06-29,9834.820392034486,-0.007093148688986273,0.0,defensive,2
2023-06-30,9909.208391373804,0.007563737452649955,0.0,defensive,1
2023-07-03,9890.65712689335,-0.0018721237608247624,0.0,defensive,1
2023-07-05,9842.864385730596,-0.00483210979306949,0.0,defensive,1
2023-07-06,9772.140469971233,-0.00718529820058198,0.0,defensive,2
2023-07-07,9764.469265870828,-0.0007850075553024419,0.0,defensive,1
2023-07-10,9773.978435483878,0.0009738542212720081,0.0,recession,0
2023-07-11,9777.532253867746,0.0003635999820674207,0.8999999999999999,recession,3
2023-07-12,9814.89608015359,0.003821396372388675,0.0,rebound,1
2023-07-13,9864.10704455417,0.005013905801823617,1.2,rebound,0
2023-07-14,9843.131086668018,-0.002126493335018331,0.0,aggressive,2
2023-07-17,9865.75682787555,0.0022986325192984724,0.6,aggressive,3
2023-07-18,9940.185383372298,0.007544130348565959,0.0,aggressive,1
2023-07-19,9969.259990045039,0.0029249561805330558,0.0,aggressive,1
2023-07-20,9899.195480570554,-0.007028055196117689,0.0,aggressive,1
2023-07-21,9896.453785189093,-0.0002769614345773053,0.0,aggressive,1
2023-07-24,9923.984978730226,0.0027819251358842116,0.0,aggressive,1
2023-07-25,9949.324014808382,0.0025533126191205737,0.0,aggressive,1
2023-07-26,9956.38543266396,0.0007097384551018938,0.0,aggressive,1
2023-07-27,9868.567078999198,-0.008820304743994279,0.0,rebound,0
2023-07-28,9936.842940990375,0.006918518306114608,0.6,defensive,1
2023-07-31,9947.037116888745,0.0010258968526431717,0.8000000000000002,defensive,1
2023-08-01,9853.214860167529,-0.009432181223282949,0.0,defensive,1
2023-08-02,9785.601508945196,-0.0068620599653893,0.0,rebound,3
2023-08-03,9717.943308584354,-0.006914056361174447,0.8000000000000002,defensive,1
2023-08-04,9783.419828650205,0.006737693150361602,0.8000000000000002,recession,0
2023-08-07,9760.534445893174,-0.002339200725089351,0.8999999999999999,rebound,1
2023-08-08,9737.889833773184,-0.002320017643041782,1.2,aggressive,3
2023-08-09,9680.370511930669,-0.005906754217225285,0.6,aggressive,1
2023-08-10,9666.178864509358,-0.0014660231655204026,0.0,aggressive,3
2023-08-11,9659.445395332314,-0.0006966009290152008,0.0,aggressive,1
2023-08-14,9697.038944912492,0.0038918952425928246,0.0,aggressive,3
2023-08-15,9598.184952772444,-0.010194245140359283,0.0,aggressive,1
2023-08-16,9528.785080079182,-0.007230520461393764,0.0,aggressive,1
2023-08-17,9465.172879686294,-0.00667579338376253,0.0,aggressive,1
2023-08-18,9472.320736914686,0.0007551745033345103,0.0,rebound,0
2023-08-21,9477.38532301146,0.0005346721503039618,0.6,defensive,1
2023-08-22,9500.23601647113,0.002411075700825072,0.8000000000000002,defensive,1
2023-08-23,9629.115994477708,0.01356597644344103,0.0,defensive,1
2023-08-24,9589.830230514346,-0.00407989310606412,0.0,rebound,3
2023-08-25,9619.746568750217,0.003119589973624182,0.8000000000000002,defensive,1
2023-08-28,9629.097905643779,0.0009720980513084571,0.8000000000000002,recession,0
2023-08-29,9649.243908033674,0.002092200389621713,0.8999999999999999,recession,3
2023-08-30,9653.07046545916,0.0003965655197396667,0.0,recession,2
2023-08-31,9654.17266645313,0.00011418138901146956,0.0,recession,3
2023-09-01,9640.098047252814,-0.001457879373674864,0.0,recession,2
2023-09-05,9610.8447259264,-0.003034546037086261,0.0,rebound,1
2023-09-06,9563.019269109542,-0.004976197012926774,1.2,aggressive,2
2023-09-07,9537.46754682396,-0.00267193044022389,0.6,aggressive,3
2023-09-08,9552.931422909289,0.0016213817776478791,0.0,aggressive,2
2023-09-11,9598.079123053572,0.004726057180313648,0.0,aggressive,3
2023-09-12,9556.540492293527,-0.004327806660842692,0.0,aggressive,2
2023-09-13,9563.04522601863,0.0006806577893274767,0.0,rebound,0
2023-09-14,9585.702986103606,0.002369303872298834,0.6,aggressive,2
2023-09-15,9488.045354347807,-0.01018784244591896,0.6,aggressive,3
2023-09-18,9503.492287883675,0.0016280417050061225,0.0,aggressive,2
2023-09-19,9479.811084656594,-0.0024918422101813053,0.0,aggressive,3
2023-09-20,9413.741457280368,-0.006969508863226337,0.0,aggressive,2
2023-09-21,9258.273905998718,-0.01651495868960946,0.0,aggressive,3
2023-09-22,9252.03337096484,-0.000674049514762576,0.0,aggressive,2
2023-09-25,9255.625887597926,0.0003882948200726767,0.0,aggressive,3
2023-09-26,9136.230999784271,-0.012899709783390922,0.0,aggressive,2
2023-09-27,9123.12126028527,-0.001434917691913762,0.0,aggressive,3
2023-09-28,9163.660740968247,0.004443597703721635,0.0,aggressive,2
2023-09-29,9136.556211276784,-0.0029578277129233333,0.0,aggressive,3
2023-10-02,9108.762541887249,-0.0030420290475783093,0.0,aggressive,2
2023-10-03,8988.993206633464,-0.013148804209464926,0.0,aggressive,3
2023-10-04,9053.93425015103,0.007224506908030792,0.0,aggressive,2
2023-10-05,9045.033057598102,-0.000983129798272886,0.0,aggressive,3
2023-10-06,9124.644486121482,0.008801673583326886,0.0,aggressive,2
2023-10-09,9209.57109315615,0.009307388048250953,0.0,aggressive,3
2023-10-10,9245.100213428133,0.003857847440733464,0.0,aggressive,2
2023-10-11,9301.458263591934,0.0060959912670218944,0.0,aggressive,3
2023-10-12,9228.023441759742,-0.007894979448505823,0.0,aggressive,2
2023-10-13,9237.43054304844,0.0010194058725650824,0.0,aggressive,3
2023-10-16,9295.822688285018,0.006321254050513071,0.0,aggressive,2
2023-10-17,9286.960713941202,-0.0009533286768673934,0.0,aggressive,3
2023-10-18,9193.228942355954,-0.010092836017335838,0.0,aggressive,2
2023-10-19,9121.071584732135,-0.007848967764891458,0.0,aggressive,3
2023-10-20,9039.075555746738,-0.008989736372933543,0.0,rebound,0
2023-10-23,9041.43292445474,0.00026079754433558974,0.6,aggressive,3
2023-10-24,9102.356844459286,0.006738303597846986,0.6,aggressive,2
2023-10-25,8981.413147002702,-0.013287074932708498,0.0,aggressive,3
2023-10-26,8910.568732850292,-0.007887891692862616,0.0,aggressive,2
2023-10-27,8884.833368139596,-0.002888184299147812,0.0,aggressive,3
2023-10-30,8960.80086594827,0.008550244519057226,0.0,aggressive,2
2023-10-31,8996.557377843068,0.00399032546640723,0.0,aggressive,3
2023-11-01,9089.985844296536,0.010384913087262238,0.0,aggressive,2
2023-11-02,9253.092899290106,0.017943598349595958,0.0,aggressive,3
2023-11-03,9330.268647773783,0.008340535356518198,0.0,rebound,0
2023-11-06,9302.760021987018,-0.0029483208710532104,0.6,aggressive,3
2023-11-07,9328.225775513845,0.002737440659184998,0.6,aggressive,2
2023-11-08,9340.282984950301,0.0012925512017630367,0.0,aggressive,3
2023-11-09,9264.24539063617,-0.008140823402957853,0.0,aggressive,2
2023-11-10,9374.977850907018,0.01195266917074237,0.0,aggressive,3
2023-11-13,9370.922571339977,-0.00043256417578078086,0.0,aggressive,2
2023-11-14,9545.964363513518,0.0186792485842205,0.0,aggressive,3
2023-11-15,9546.217340981846,2.6500986039201726e-05,0.0,aggressive,2
2023-11-16,9578.19622045403,0.003349900628691849,0.0,aggressive,3
2023-11-17,9592.110391553555,0.0014526922167047652,0.0,aggressive,2
2023-11-20,9655.471463710834,0.0066055403420995145,0.0,aggressive,3
2023-11-21,9648.637521462186,-0.0007077792394014184,0.0,aggressive,2
2023-11-22,9677.734601031625,0.0030156671866588885,0.0,aggressive,3
2023-11-24,9676.137756711378,-0.00016500187141694773,0.0,aggressive,3
2023-11-27,9684.879882611176,0.0009034726581621298,0.0,aggressive,3
2023-11-28,9707.371084262011,0.0023223005265368803,0.0,rebound,0
2023-11-29,9725.411381635124,0.0018584122535873723,0.6,aggressive,3
2023-11-30,9734.923607143233,0.000978079500685348,0.6,aggressive,3
2023-12-01,9816.145135959472,0.008343314451552609,0.0,aggressive,3
2023-12-04,9749.799519138445,-0.006758825985364026,0.0,aggressive,3
2023-12-05,9765.526128327981,0.0016130187250173234,0.0,aggressive,3
2023-12-06,9750.649875651803,-0.001523343697071722,0.0,aggressive,3
2023-12-07,9806.185709667543,0.0056956033417236655,0.0,aggressive,3
2023-12-08,9818.806331920583,0.0012870062455167417,0.0,aggressive,3
2023-12-11,9836.439434266638,0.0017958498976327843,0.0,aggressive,3
2023-12-12,9874.763075053697,0.003896088726328362,0.0,aggressive,3
2023-12-13,10029.151292059545,0.015634624935546394,0.0,aggressive,3
2023-12-14,10086.868720444872,0.005754966367994086,0.0,aggressive,3
2023-12-15,10065.45659970042,-0.0021227718272028187,0.0,aggressive,2
2023-12-18,10107.307415398072,0.0041578655953767975,0.0,aggressive,3
2023-12-19,10168.809521834604,0.006084914993565604,0.0,aggressive,2
2023-12-20,10057.431903759498,-0.010952866983687195,0.0,aggressive,3
2023-12-21,10134.469152595624,0.007659733575459872,0.0,aggressive,2
2023-12-22,10150.647592826132,0.0015963776678290743,0.0,aggressive,3
2023-12-26,10195.557981523605,0.004424386551377513,0.0,aggressive,2
2023-12-27,10232.999083822056,0.0036722955591347753,0.0,aggressive,3
2023-12-28,10222.707907423614,-0.0010056852653014701,0.0,aggressive,3
2023-12-29,10188.21012866276,-0.003374622367504099,0.0,aggressive,3
2024-01-02,10134.324271314148,-0.005289040633056153,0.0,aggressive,3
2024-01-03,10063.892091177777,-0.006949864465629286,0.0,aggressive,3
2024-01-04,10023.677625598231,-0.003995915816187834,0.0,aggressive,2
2024-01-05,10025.231226064745,0.0001549930598873094,0.0,aggressive,3
2024-01-08,10141.781670098866,0.01162571130839355,0.0,aggressive,3
2024-01-09,10123.331742025057,-0.0018191998875508708,0.0,aggressive,3
2024-01-10,10162.100317383081,0.0038296260901027,0.0,aggressive,1
2024-01-11,10166.22975971153,0.0004063571702186186,0.0,aggressive,3
2024-01-12,10179.82313485068,0.0013371107539808082,0.0,aggressive,2
2024-01-16,10122.337652857488,-0.005647002038413518,0.0,aggressive,3
2024-01-17,10064.571900422381,-0.005706760080148065,0.0,aggressive,1
2024-01-18,10135.10435469472,0.007007993481509123,0.0,aggressive,3
2024-01-19,10242.451513149255,0.010591618467629417,0.0,aggressive,2
2024-01-22,10262.003214544762,0.0019088888407629346,0.0,aggressive,3
2024-01-23,10281.816334998572,0.0019307263932375476,0.0,aggressive,2
2024-01-24,10276.306166771039,-0.0005359138938104247,0.0,aggressive,3
2024-01-25,10331.81467015637,0.005401600777993565,0.0,aggressive,1
2024-01-26,10318.616975203375,-0.0012773840195872354,0.0,aggressive,3
2024-01-29,10403.156686577187,0.008192930465097104,0.0,aggressive,2
2024-01-30,10407.587619038764,0.00042592191918946467,0.0,aggressive,3
2024-01-31,10281.177114675032,-0.0121459947291231,0.0,aggressive,2
2024-02-01,10419.686459813243,0.013472129075619812,0.0,aggressive,3
2024-02-02,10474.574476743615,0.005267722511811223,0.0,aggressive,1
2024-02-05,10417.134610184465,-0.0054837422452513555,0.0,aggressive,3
2024-02-06,10456.954043016489,0.0038224938355979404,0.0,aggressive,2
2024-02-07,10521.389143243392,0.006161937784352645,0.0,aggressive,3
2024-02-08,10518.039570866706,-0.00031835837749982776,0.0,aggressive,2
2024-02-09,10560.468023366619,0.004033874584141551,0.0,aggressive,3
2024-02-12,10555.239023489969,-0.0004951484976878696,0.0,aggressive,1
2024-02-13,10406.296315132793,-0.014110784987977344,0.0,aggressive,3
2024-02-14,10486.626850522776,0.0077194164914531575,0.0,aggressive,2
2024-02-15,10556.985144908189,0.0067093351740558985,0.0,aggressive,1
2024-02-16,10512.682010298146,-0.004196570706686276,0.0,aggressive,2
2024-02-20,10473.66238209503,-0.003711672070447159,0.0,aggressive,3
2024-02-21,10473.86277395389,1.9132930922294288e-05,0.0,aggressive,2
2024-02-22,10652.832685830059,0.017087288208627906,0.0,aggressive,1
2024-02-23,10678.990777888863,0.002455505763607757,0.0,aggressive,2
2024-02-26,10642.13814959391,-0.003450946729091553,0.0,aggressive,1
2024-02-27,10649.318475202423,0.0006747070473603788,0.0,aggressive,2
