Date,portfolio_nav,portfolio_return,turnover,action,cluster
2023-02-14,10000.0,0.0,0.0,recession,1
2023-02-15,9960.745552112903,-0.003925444788709719,1.0,rebound,2
2023-02-16,9850.361967754914,-0.01108185966406635,1.2,aggressive,2
2023-02-17,9835.365808935892,-0.0015223967269540222,0.6,aggressive,2
2023-02-21,9654.728899967702,-0.01836605902386197,0.0,rebound,0
2023-02-22,9649.113944249455,-0.0005815756999935745,0.6,recession,1
2023-02-23,9645.94033361981,-0.0003289017673520065,1.2,recession,1
2023-02-24,9619.520178398934,-0.0027389921881220917,0.0,rebound,2
2023-02-27,9637.235512979205,0.0018416027256797929,1.2,aggressive,2
2023-02-28,9611.7260298285,-0.002646971023624922,0.6,aggressive,2
2023-03-01,9577.452614355829,-0.003565791967676746,0.0,aggressive,2
2023-03-02,9627.98927518856,0.0052766286472646475,0.0,aggressive,2
2023-03-03,9785.166761774975,0.016325058337098942,0.0,defensive,1
2023-03-06,9729.459741806315,-0.0056930067033987945,1.4,aggressive,2
2023-03-07,9585.485616200705,-0.014797751306474836,1.4,aggressive,2
2023-03-08,9598.488771724968,0.0013565463498568687,0.0,defensive,1
2023-03-09,9600.403691941188,0.00019950226142496767,1.4,aggressive,2
2023-03-10,9529.949634862216,-0.007338655679459927,1.4,aggressive,2
2023-03-13,9543.118835131165,0.0013818751172380405,0.0,aggressive,2
2023-03-14,9648.099893625596,0.011000707452993544,0.0,aggressive,2
2023-03-15,9625.986931268168,-0.002291949979916508,0.0,defensive,1
2023-03-16,9604.139797475711,-0.0022695993614422197,1.4,recession,1
2023-03-17,9665.845835424763,0.006424941665808661,0.8999999999999999,rebound,2
2023-03-20,9684.447554216275,0.0019244791514609237,1.2,aggressive,2
2023-03-21,9753.766994354984,0.007157810474024353,0.6,aggressive,2
2023-03-22,9650.35941372499,-0.010601809607492308,0.0,aggressive,2
2023-03-23,9683.329771260105,0.0034164901141636728,0.0,rebound,0
2023-03-24,9695.689252190292,0.0012763668306400304,0.6,recession,0
2023-03-27,9643.328694167249,-0.005400395646056343,1.2,rebound,2
2023-03-28,9640.239287062941,-0.0003203672924865775,1.2,aggressive,2
2023-03-29,9739.833128164331,0.010331054876930725,0.6,aggressive,2
2023-03-30,9798.742496554642,0.006048293396317494,0.0,aggressive,2
2023-03-31,9918.801642539423,0.012252505464552754,0.0,aggressive,2
2023-04-03,9960.84904366677,0.00423916140706111,0.0,aggressive,2
2023-04-04,9940.15762991497,-0.0020772741019458923,0.0,rebound,0
2023-04-05,9940.378690028467,2.223909536733812e-05,0.6,recession,0
2023-04-06,9916.838161157979,-0.002368172240168519,1.2,recession,0
2023-04-10,9886.171291802137,-0.0030924039353547594,0.0,rebound,2
2023-04-11,9892.206438794836,0.0006104635267350621,1.2,aggressive,2
2023-04-12,9857.829801539872,-0.0034751233172961465,0.6,aggressive,2
2023-04-13,9968.1580776471,0.011191943696369368,0.0,aggressive,2
2023-04-14,9921.907139486419,-0.0046398680478789926,0.0,rebound,0
2023-04-17,9901.311580956553,-0.0020757661042705147,0.6,recession,0
2023-04-18,9900.643122088326,-6.751215359321761e-05,1.2,rebound,2
2023-04-19,9876.56352815369,-0.002432124220386632,1.2,aggressive,2
2023-04-20,9839.853548510884,-0.003716877792378192,0.6,aggressive,2
2023-04-21,9830.709254630327,-0.0009293119898051039,0.0,aggressive,2
2023-04-24,9851.413402797327,0.00210606860916458,0.0,aggressive,2
