combined_rank,experiment_name,source_experiment,architecture,n_clusters,target_cluster_count,best_mapping,objective,best_episode,n_states,n_actions,policy_loaded,cluster_label_source,cluster_fit_splits,cluster_fit_n_windows,policy_train_split,policy_selection_split,test_only_clusters,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover,validation_n_days,validation_risk_free_rate,validation_total_return,validation_annual_return,validation_annual_vol,validation_sharpe,validation_max_drawdown,validation_calmar,validation_final_nav,validation_avg_turnover,validation_total_turnover,test_n_days,test_risk_free_rate,test_total_return,test_annual_return,test_annual_vol,test_sharpe,test_max_drawdown,test_calmar,test_final_nav,test_avg_turnover,test_total_turnover,combined_n_days,combined_risk_free_rate,combined_total_return,combined_annual_return,combined_annual_vol,combined_sharpe,combined_max_drawdown,combined_calmar,combined_final_nav,combined_avg_turnover,combined_total_turnover
1,lstm_autoencoder__q_learning,lstm_autoencoder,lstm_autoencoder+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,11,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.5958493349432379,0.06316610152625501,0.08408067880641341,0.6365911960133529,-0.1738903574038244,0.36325246821803236,15958.49334943238,0.004160166406656267,8.0,792,0.04791313131313132,0.6048565278022313,0.1624280142111807,0.0948946177166394,1.2067584616863853,-0.09258367575498794,1.7543915046214817,16048.565278022314,0.009090909090909092,7.200000000000001,792,0.04791313131313132,0.6048565278022313,0.1624280142111807,0.0948946177166394,1.2067584616863853,-0.09258367575498794,1.7543915046214817,16048.565278022314,0.009090909090909092,7.200000000000001,792,0.04791313131313132,0.6048565278022313,0.1624280142111807,0.0948946177166394,1.2067584616863853,-0.09258367575498794,1.7543915046214817,16048.565278022314,0.009090909090909092,7.200000000000001
2,rnn_autoencoder__q_learning,rnn_autoencoder,rnn_autoencoder+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,26,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.4739087641451256,0.052149057967746826,0.09012680529543007,0.47164632303500154,-0.24623970858399757,0.21178167513123775,14739.087641451257,0.026001040041601663,50.0,792,0.04791313131313132,0.5362035137089738,0.14636944922594597,0.08335955097166303,1.1811042257927176,-0.09250679354422786,1.5822562172795034,15362.035137089739,0.028282828282828285,22.400000000000002,792,0.04791313131313132,0.5362035137089738,0.14636944922594597,0.08335955097166303,1.1811042257927176,-0.09250679354422786,1.5822562172795034,15362.035137089739,0.028282828282828285,22.400000000000002,792,0.04791313131313132,0.5362035137089738,0.14636944922594597,0.08335955097166303,1.1811042257927176,-0.09250679354422786,1.5822562172795034,15362.035137089739,0.028282828282828285,22.400000000000002
3,kmeans_baseline__q_learning,kmeans_baseline,kmeans_baseline+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,23,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.673949921444922,0.06984382652299415,0.09749633716032864,0.6174872475540032,-0.20478141389614457,0.3410652617059067,16739.49921444922,0.0030161206448257928,5.8,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,15972.945269787637,0.002777777777777778,2.2,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,15972.945269787637,0.002777777777777778,2.2,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,15972.945269787637,0.002777777777777778,2.2
4,pca_kmeans_baseline__q_learning,pca_kmeans_baseline,pca_kmeans_baseline+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,5,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.6600549923341397,0.06867586890932076,0.09768361947893503,0.6043468452639142,-0.20478141389614424,0.3353618260695769,16600.549923341398,0.0011440457618304733,2.2,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,15972.945269787637,0.002777777777777778,2.2,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,15972.945269787637,0.002777777777777778,2.2,792,0.04791313131313132,0.5972945269787637,0.16068242982987546,0.09785519922955362,1.1524098811776395,-0.09258367575498827,1.7355373776161414,15972.945269787637,0.002777777777777778,2.2
5,hmm_baseline__q_learning,hmm_baseline,hmm_baseline+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,4,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.8528253753418995,0.08417262053374008,0.12866275030111007,0.5792782970677047,-0.24607006485637473,0.3420676976001516,18528.253753418994,0.02173686947477899,41.8,792,0.04791313131313132,0.5719956224487222,0.15480124148221264,0.09657196708001524,1.1068233712224023,-0.0925836757549875,1.6720144260838927,15719.956224487221,0.013383838383838385,10.600000000000001,792,0.04791313131313132,0.5719956224487222,0.15480124148221264,0.09657196708001524,1.1068233712224023,-0.0925836757549875,1.6720144260838927,15719.956224487221,0.013383838383838385,10.600000000000001,792,0.04791313131313132,0.5719956224487222,0.15480124148221264,0.09657196708001524,1.1068233712224023,-0.0925836757549875,1.6720144260838927,15719.956224487221,0.013383838383838385,10.600000000000001
6,transformer_autoencoder__q_learning,transformer_autoencoder,transformer_autoencoder+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,28,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.293423240157336,0.03429180062656112,0.06886554764747338,0.357954301176603,-0.12922758530493894,0.26535975694076924,12934.23240157336,0.08070722828913156,155.2,792,0.04791313131313132,0.42658149988885596,0.11968115506709909,0.06723483874491984,1.0674231558172727,-0.08493879789090986,1.4090281242361138,14265.81499888856,0.0691919191919192,54.8,792,0.04791313131313132,0.42658149988885596,0.11968115506709909,0.06723483874491984,1.0674231558172727,-0.08493879789090986,1.4090281242361138,14265.81499888856,0.0691919191919192,54.8,792,0.04791313131313132,0.42658149988885596,0.11968115506709909,0.06723483874491984,1.0674231558172727,-0.08493879789090986,1.4090281242361138,14265.81499888856,0.0691919191919192,54.8
7,conv_transformer__q_learning,conv_transformer,conv_transformer+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,15,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.8878610569850043,0.08683736043688173,0.09646634115770945,0.8002405592165095,-0.1633391644196054,0.5316383290280794,18878.610569850043,0.034841393655746226,67.0,792,0.04791313131313132,0.5385150003827104,0.1469180039491007,0.09386961347858706,1.0547062991641458,-0.09524920613395338,1.5424590913910936,15385.150003827104,0.037626262626262626,29.8,792,0.04791313131313132,0.5385150003827104,0.1469180039491007,0.09386961347858706,1.0547062991641458,-0.09524920613395338,1.5424590913910936,15385.150003827104,0.037626262626262626,29.8,792,0.04791313131313132,0.5385150003827104,0.1469180039491007,0.09386961347858706,1.0547062991641458,-0.09524920613395338,1.5424590913910936,15385.150003827104,0.037626262626262626,29.8
8,tcn_transformer__q_learning,tcn_transformer,tcn_transformer+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,35,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.6702522703866476,0.06953384037587207,0.07473428099961905,0.8014094459932201,-0.1241102159384404,0.5602587977959959,16702.522703866474,0.05361414456578264,103.10000000000001,792,0.04791313131313132,0.5056375223089791,0.13906211971775173,0.09619490441665918,0.9475448721256288,-0.08642129798500653,1.6091186196008997,15056.37522308979,0.05353535353535354,42.400000000000006,792,0.04791313131313132,0.5056375223089791,0.13906211971775173,0.09619490441665918,0.9475448721256288,-0.08642129798500653,1.6091186196008997,15056.37522308979,0.05353535353535354,42.400000000000006,792,0.04791313131313132,0.5056375223089791,0.13906211971775173,0.09619490441665918,0.9475448721256288,-0.08642129798500653,1.6091186196008997,15056.37522308979,0.05353535353535354,42.400000000000006
9,cls_token_transformer__q_learning,cls_token_transformer,encoder_only+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,20,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.6847714746379363,0.07074762610919305,0.08639532530383179,0.7072899401794038,-0.16333916441960528,0.4331332681943202,16847.714746379363,0.006760270410816433,13.0,792,0.04791313131313132,0.3087032901090505,0.0893733423837475,0.05810565462383221,0.7135314340579024,-0.07693194950125049,1.1617194541819689,13087.032901090504,0.038383838383838374,30.399999999999995,792,0.04791313131313132,0.3087032901090505,0.0893733423837475,0.05810565462383221,0.7135314340579024,-0.07693194950125049,1.1617194541819689,13087.032901090504,0.038383838383838374,30.399999999999995,792,0.04791313131313132,0.3087032901090505,0.0893733423837475,0.05810565462383221,0.7135314340579024,-0.07693194950125049,1.1617194541819689,13087.032901090504,0.038383838383838374,30.399999999999995
10,mae_transformer__q_learning,mae_transformer,mae_transformer+q_learning,4,4,"q_learning_policy(episodes=50,alpha=0.100,gamma=0.950)",sharpe,44,20,4,False,embeddings_fit_on_train_validation,"train,validation",2432,train,train,,1923,0.009641081643265732,0.6222226200532099,0.06545221133059642,0.09151364877038913,0.6098667295778221,-0.23049920726790896,0.28395850947340306,16222.226200532099,0.00847633905356214,16.299999999999997,792,0.04791313131313132,0.3686541556772662,0.10500993765305822,0.08471215952355483,0.674009571483663,-0.1040765602118563,1.0089681811091946,13686.541556772663,0.007702020202020201,6.1,792,0.04791313131313132,0.3686541556772662,0.10500993765305822,0.08471215952355483,0.674009571483663,-0.1040765602118563,1.0089681811091946,13686.541556772663,0.007702020202020201,6.1,792,0.04791313131313132,0.3686541556772662,0.10500993765305822,0.08471215952355483,0.674009571483663,-0.1040765602118563,1.0089681811091946,13686.541556772663,0.007702020202020201,6.1
