Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-04-01,1,defensive,0.00998068058312691,0.001,1.0,100998.06805831268
2015-04-02,1,cautious,-0.004189236089062443,0.00019999999999999996,0.19999999999999996,100574.96330667721
2015-04-06,2,cautious,0.00345562580775478,0.0,0.0,100922.51274549375
2015-04-07,3,rebound,-0.00020202093614871656,0.0004,0.4,100902.12428499044
2015-04-08,0,rebound,0.0006777895439850522,0.0,0.0,100970.51468979669
2015-04-09,0,rebound,-0.003063216189567963,0.0,0.0,100661.2201745299
2015-04-10,1,rebound,0.005436167209726772,0.0,0.0,101208.43139893377
2015-04-13,0,rebound,-0.0032761229022011287,0.0,0.0,100876.86013893186
2015-04-14,0,rebound,0.0018668251322816907,0.0,0.0,101065.1795967049
2015-04-15,1,rebound,0.0037213245250373506,0.0,0.0,101441.27592816541
2015-04-16,2,rebound,-0.0023285787537870805,0.0,0.0,101205.06192828203
2015-04-17,2,rebound,-0.0013213284728624487,0.0,0.0,101071.33679835837
2015-04-20,1,rebound,0.00039885355032733834,0.0,0.0,101111.64945987675
2015-04-21,1,rebound,-0.0008036267808624099,0.0,0.0,101030.3934305136
2015-04-22,2,rebound,-0.004809795866954336,0.0,0.0,100544.45786175477
2015-04-23,3,rebound,0.00400851067657817,0.0,0.0,100947.49139456438
2015-04-24,0,rebound,0.00022301370530897178,0.0,0.0,100970.00406866192
2015-04-27,2,rebound,0.001954597362784949,0.0,0.0,101167.35977233494
2015-04-28,1,rebound,-0.0008136131841248392,0.0,0.0,101085.04867462105
2015-04-29,2,rebound,-0.007143752062537989,0.0,0.0,100362.92214965996
2015-04-30,2,rebound,-0.008017452120838353,0.0,0.0,99558.26722661764
2015-05-01,2,rebound,0.0006949734285645494,0.0,0.0,99627.45757693407
2015-05-04,2,rebound,0.0003971163943755299,0.0,0.0,99667.02127366782
2015-05-05,2,rebound,-0.005580210379093409,0.0,0.0,99110.85832710318
2015-05-06,1,rebound,-0.007299549900259816,0.0,0.0,98387.3936710869
2015-05-07,2,rebound,0.004381875652494282,0.0,0.0,98818.51499592661
2015-05-08,3,rebound,0.008363314344851115,0.0,0.0,99644.96529992894
2015-05-11,3,rebound,-0.010455818546172502,0.0,0.0,98603.09562371322
2015-05-12,2,rebound,0.0009911294370661295,0.0,0.0,98700.82405437173
2015-05-13,2,rebound,0.0012728433987720504,0.0,0.0,98826.45474672271
2015-05-14,1,rebound,0.007102455985896983,0.0,0.0,99528.36529180355
2015-05-15,2,rebound,0.0071544771861487225,0.0,0.0,100240.43871065842
2015-05-18,3,rebound,-0.003497204482159599,0.0,0.0,99889.87739910586
2015-05-19,2,rebound,-0.005597975560861191,0.0,0.0,99330.69630664824
2015-05-20,2,rebound,0.0004821078225031639,0.0,0.0,99378.58441235237
2015-05-21,2,rebound,0.004980049165202316,0.0,0.0,99873.49464869409
2015-05-22,1,rebound,-0.0012254159895238592,0.0,0.0,99751.10807142196
2015-05-26,2,rebound,-0.0031666066015913043,0.0,0.0,99435.23555408695
2015-05-27,1,rebound,0.005396789096184817,0.0,0.0,99971.8665491018
2015-05-28,2,rebound,-0.0010690918306650477,0.0,0.0,99864.98744327782
2015-05-29,2,rebound,-0.002304467781153796,0.0,0.0,99634.85179724946
2015-06-01,2,rebound,-0.002381347529825006,0.0,0.0,99397.5865890376
2015-06-02,1,rebound,-0.003874841757658098,0.0,0.0,99012.43666991196
2015-06-03,2,rebound,-0.004930843417284458,0.0,0.0,98524.22184832883
2015-06-04,2,rebound,-0.001725429286090197,0.0,0.0,98354.22527056249
2015-06-05,2,rebound,-0.00557410616016355,0.0,0.0,97805.98837760373
2015-06-08,1,rebound,-0.002818209489954471,0.0,0.0,97530.35061298359
2015-06-09,2,rebound,-0.002002943034285731,0.0,0.0,97335.00287659187
2015-06-10,2,rebound,0.005072862428644087,0.0,0.0,97828.76995567649
2015-06-11,2,rebound,0.007008196475218618,0.0,0.0,98514.37319645484
2015-06-12,1,rebound,-0.0038801990492131734,0.0,0.0,98132.11781924413
2015-06-15,2,rebound,-0.0007763884641192708,0.0,0.0,98055.92917500967
2015-06-16,2,rebound,0.004366386856356397,0.0,0.0,98484.07929534726
2015-06-17,1,rebound,-0.0005740730406556538,0.0,0.0,98427.54224049
2015-06-18,1,rebound,0.006309654018203848,0.0,0.0,99048.58597788964
2015-06-19,2,rebound,0.0012862849327583746,0.0,0.0,99175.99068164403
2015-06-22,2,rebound,-0.006131649492695656,0.0,0.0,98567.87826869334
2015-06-23,2,rebound,-0.002766308486967539,0.0,0.0,98295.20911049627
2015-06-24,1,rebound,-0.0015754872175080094,0.0,0.0,98140.34626500041
2015-06-25,3,rebound,-0.0028383221517609527,0.0,0.0,97861.79234621498
2015-06-26,2,rebound,-0.003254163252707076,0.0,0.0,97543.33409771786
2015-06-29,2,rebound,-0.0016382611824773854,0.0,0.0,97383.53263985614
2015-06-30,1,rebound,-0.0022713796735454816,0.0,0.0,97162.33766327993
2015-07-01,2,rebound,-0.0007358448939425942,0.0,0.0,97090.84125322688
2015-07-02,1,rebound,0.00013518539721769633,0.0,0.0,97103.96651716791
2015-07-06,2,rebound,0.004674313780296524,0.0,0.0,97557.86092598055
2015-07-07,3,rebound,0.00364256250991044,0.0,0.0,97913.22153273658
2015-07-08,1,rebound,-0.0052017676418637864,0.0,0.0,97403.89970525696
2015-07-09,1,rebound,-0.004520108497178943,0.0,0.0,96963.62351054086
2015-07-10,2,rebound,0.0017718966655639766,0.0,0.0,97135.43303172018
2015-07-13,1,rebound,0.0036909281926790433,0.0,0.0,97493.95294000505
2015-07-14,0,rebound,0.002703870104798711,0.0,0.0,97757.5639247582
2015-07-15,3,rebound,0.0019653083457126796,0.0,0.0,97949.68768099607
2015-07-16,1,rebound,0.005357733214720172,0.0,0.0,98474.475976056
2015-07-17,1,rebound,-4.9028395601347374e-05,0.0,0.0,98469.6479304912
2015-07-20,2,rebound,-0.006435033720525674,0.0,0.0,97835.9924256102
2015-07-21,1,rebound,-0.0009757752719055214,0.0,0.0,97740.52648349895
2015-07-22,0,rebound,-0.0001116533563604862,0.0,0.0,97729.61342566462
2015-07-23,2,rebound,2.5472684809801604e-05,0.0,0.0,97732.10286130401
2015-07-24,1,rebound,-0.0024874127711651986,0.0,0.0,97489.00278049397
2015-07-27,0,rebound,-0.0022324580824496175,0.0,0.0,97271.3626682867
2015-07-28,0,rebound,0.004258723556702893,0.0,0.0,97685.61451187472
2015-07-29,1,rebound,0.0026112509407375086,0.0,0.0,97940.69616466537
2015-07-30,1,rebound,0.0007185354579972711,0.0,0.0,98011.07002764061
2015-07-31,2,rebound,0.0027266448895971076,0.0,0.0,98278.31141085543
2015-08-03,1,rebound,-0.00011031091158904011,0.0,0.0,98267.47024073426
2015-08-04,3,rebound,-0.002953389338802936,0.0,0.0,97977.24814177414
2015-08-05,0,rebound,-0.0013326145994703054,0.0,0.0,97846.68223048447
2015-08-06,1,rebound,-0.0005452009758950549,0.0,0.0,97793.33612384432
2015-08-07,1,rebound,0.0034733826431813334,0.0,0.0,98133.00980015569
2015-08-10,2,rebound,0.0046290590280449575,0.0,0.0,98587.27329512032
2015-08-11,1,rebound,0.0012737222183198838,0.0,0.0,98712.84609555989
2015-08-12,3,rebound,0.0017683145302836768,0.0,0.0,98887.4014556363
2015-08-13,0,rebound,-0.0032413921249328623,0.0,0.0,98566.86861130293
2015-08-14,1,rebound,0.0025058627454418,0.0,0.0,98813.86365529084
2015-08-17,1,rebound,0.0046729537470826974,0.0,0.0,99275.61626972255
2015-08-18,0,rebound,-0.003846759955237067,0.0,0.0,98893.7268045247
2015-08-19,1,rebound,0.0016984463282835205,0.0,0.0,99061.69249170611
2015-08-20,3,rebound,-0.003928639705821102,0.0,0.0,98672.51479325735
2015-08-21,0,rebound,-0.012896990719459689,0.0,0.0,97399.93628570296
2015-08-24,1,rebound,-0.022228097531216306,0.0,0.0,95234.9210024101
2015-08-25,1,rebound,-0.013182395014473668,0.0,0.0,93979.49665458413
2015-08-26,3,rebound,0.010676058266033807,0.0,0.0,94982.82723668101
2015-08-27,1,rebound,0.01265103007277628,0.0,0.0,96184.45784044958
2015-08-28,3,rebound,0.0027112787968015307,0.0,0.0,96445.24072157424
2015-08-31,2,rebound,-0.006123676730340433,0.0,0.0,95854.64124521546
2015-09-01,1,rebound,-0.012063670281778604,0.0,0.0,94698.282458255
2015-09-02,1,rebound,0.005846696474398738,0.0,0.0,95251.95457243531
2015-09-03,0,rebound,0.0003852868414260911,0.0,0.0,95288.65389715218
2015-09-04,1,rebound,-0.005478203675372473,0.0,0.0,94766.6432431515
2015-09-08,0,rebound,0.00819516811482316,0.0,0.0,95543.2718162066
2015-09-09,2,rebound,-0.007831931376285784,0.0,0.0,94794.98346787624
2015-09-10,3,rebound,0.001166352419580985,0.0,0.0,94905.54782620816
2015-09-11,1,rebound,0.0037485336163039615,0.0,0.0,95261.30446260843
2015-09-14,0,rebound,-0.001272520267988686,0.0,0.0,95140.08252192473
2015-09-15,1,rebound,-0.00010223433695241168,0.0,0.0,95130.3559386705
2015-09-16,0,rebound,0.005864256912188071,0.0,0.0,95688.22478604276
2015-09-17,3,rebound,0.00458774979559512,0.0,0.0,96127.21841974577
2015-09-18,3,rebound,-0.0020796063545917456,0.0,0.0,95927.31164547085
2015-09-21,1,rebound,-0.0035509029539947056,0.0,0.0,95586.68307118017
2015-09-22,0,rebound,-0.0036822232978301005,0.0,0.0,95234.71155981316
2015-09-23,1,rebound,-2.6166453697684666e-05,0.0,0.0,95232.21960514272
2015-09-24,3,rebound,0.004432154155333634,0.0,0.0,95654.30348298729
2015-09-25,3,rebound,-0.003954200555063514,0.0,0.0,95276.06718306066
2015-09-28,3,rebound,-0.009946101537106821,0.0,0.0,94328.44174480172
2015-09-29,3,rebound,0.00033007931934705395,0.0,0.0,94359.5776126479
2015-09-30,2,rebound,0.0062140561173867894,0.0,0.0,94945.9333231458
2015-10-01,1,rebound,0.002341339966484712,0.0,0.0,95168.23403149047
2015-10-02,3,rebound,0.013521264216160756,0.0,0.0,96455.02886881569
2015-10-05,3,rebound,0.004423253969063246,0.0,0.0,96881.67395809578
2015-10-06,3,rebound,0.0015853216122653669,0.0,0.0,97035.262569654
2015-10-07,1,rebound,0.002807342296015947,0.0,0.0,97307.6737664708
2015-10-08,2,rebound,0.0009797960101935123,0.0,0.0,97403.01543698841
2015-10-09,1,rebound,0.004255697994045571,0.0,0.0,97817.5332543976
2015-10-12,3,rebound,0.003547374662708691,0.0,0.0,98164.52869343289
2015-10-13,3,rebound,-0.0016517000554816198,0.0,0.0,98002.39033594362
2015-10-14,3,rebound,0.003714641071075131,0.0,0.0,98366.43404014905
2015-10-15,3,rebound,0.005293541534637724,0.0,0.0,98887.1408443548
2015-10-16,2,rebound,0.0009579288092756765,0.0,0.0,98981.8676854365
2015-10-19,1,rebound,-0.001412802487672571,0.0,0.0,98842.02585653603
2015-10-20,0,rebound,-0.0012163710850987106,0.0,0.0,98721.79727429156
2015-10-21,3,rebound,-0.0018960880206884468,0.0,0.0,98534.61205709894
2015-10-22,3,rebound,0.008883035989250044,0.0,0.0,99409.89856218894
