Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-04-01,0,defensive,0.00998068058312691,0.001,1.0,100998.06805831268
2015-04-02,0,aggressive,-0.0008774196143475402,0.0009999999999999998,0.9999999999999999,100909.45037238712
2015-04-06,0,aggressive,0.004819546153709875,0.0,0.0,101395.78812580234
2015-04-07,0,aggressive,-0.0006727600719404591,0.0,0.0,101327.57308808838
2015-04-08,0,aggressive,0.0018739279313762626,0.0,0.0,101517.4536575167
2015-04-09,3,rebound,-0.003463216189567963,0.0004,0.4,101165.87676848627
2015-04-10,3,rebound,0.005436167209726772,0.0,0.0,101715.83139051836
2015-04-13,3,rebound,-0.0032761229022011287,0.0,0.0,101382.59782578345
2015-04-14,3,rebound,0.0018668251322816907,0.0,0.0,101571.86140738064
2015-04-15,0,aggressive,0.0034378088534452013,0.0004,0.4,101921.04605178784
2015-04-16,0,aggressive,-0.001541458334354518,0.0,0.0,101763.9390059052
2015-04-17,0,aggressive,-0.005264023332873291,0.0,0.0,101228.25125653301
2015-04-20,0,aggressive,0.003869909264432869,0.0,0.0,101619.99540389302
2015-04-21,0,aggressive,-0.001164315142833572,0.0,0.0,101501.67770442959
2015-04-22,0,aggressive,-0.0009570132919052624,0.0,0.0,101404.53924971577
2015-04-23,0,aggressive,0.0033520421421105342,0.0,0.0,101744.45153868213
2015-04-24,0,aggressive,0.0014675330640697704,0.0,0.0,101893.76488540076
2015-04-27,0,aggressive,-0.0008938141043898562,0.0,0.0,101802.69080119682
2015-04-28,0,aggressive,0.0003342227419809384,0.0,0.0,101836.71557565744
2015-04-29,3,rebound,-0.0075437520625379895,0.0004,0.4,101068.48464249147
2015-04-30,3,rebound,-0.008017452120838353,0.0,0.0,100258.17290594461
2015-05-01,3,rebound,0.0006949734285645494,0.0,0.0,100327.84967211068
2015-05-04,0,aggressive,0.0006081073845400466,0.0004,0.4,100388.8597783713
2015-05-05,3,rebound,-0.005980210379093409,0.0004,0.4,99788.51327717934
2015-05-06,3,rebound,-0.007299549900259816,0.0,0.0,99060.10204503984
2015-05-07,3,rebound,0.004381875652494282,0.0,0.0,99494.17109432459
2015-05-08,3,rebound,0.008363314344851115,0.0,0.0,100326.27212266682
2015-05-11,3,rebound,-0.010455818546172502,0.0,0.0,99277.2788259383
2015-05-12,3,rebound,0.0009911294370661295,0.0,0.0,99375.6754594145
2015-05-13,3,rebound,0.0012728433987720504,0.0,0.0,99502.16513192155
2015-05-14,3,rebound,0.007102455985896983,0.0,0.0,100208.87488027246
2015-05-15,3,rebound,0.0071544771861487225,0.0,0.0,100925.816989453
2015-05-18,3,rebound,-0.003497204482159599,0.0,0.0,100572.85876991187
2015-05-19,3,rebound,-0.005597975560861191,0.0,0.0,100009.85436443194
2015-05-20,3,rebound,0.0004821078225031639,0.0,0.0,100058.06989754846
2015-05-21,3,rebound,0.004980049165202316,0.0,0.0,100556.36400501351
2015-05-22,3,rebound,-0.0012254159895238592,0.0,0.0,100433.14062871339
2015-05-26,3,rebound,-0.0031666066015913043,0.0,0.0,100115.10838257996
2015-05-27,3,rebound,0.005396789096184817,0.0,0.0,100655.4085078624
