Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-04-01,0,rebound,0.004585849988881597,0.001,1.0,100458.58499888815
2015-04-02,0,aggressive,-0.00027741961434754044,0.0004,0.4,100430.71581697986
2015-04-06,0,aggressive,0.004819546153709875,0.0,0.0,100914.74628710993
2015-04-07,0,aggressive,-0.0006727600719404591,0.0,0.0,100846.85487513796
2015-04-08,0,aggressive,0.0018739279313762626,0.0,0.0,101035.83461327992
2015-04-09,0,aggressive,-0.00018925376325483784,0.0,0.0,101016.71320135577
2015-04-10,0,aggressive,0.005247026342361716,0.0,0.0,101546.75055654207
2015-04-13,0,aggressive,-0.003603782237335918,0.0,0.0,101180.79818062721
2015-04-14,0,aggressive,0.002148551989765646,0.0,0.0,101398.19038588429
2015-04-15,0,aggressive,0.0038378088534452015,0.0,0.0,101787.33725867055
2015-04-16,0,aggressive,-0.001541458334354518,0.0,0.0,101630.43631932142
2015-04-17,0,aggressive,-0.005264023332873291,0.0,0.0,101095.45133120641
2015-04-20,0,aggressive,0.003869909264432869,0.0,0.0,101486.68155490508
2015-04-21,0,aggressive,-0.001164315142833572,0.0,0.0,101368.51907477478
2015-04-22,0,aggressive,-0.0009570132919052624,0.0,0.0,101271.50805463947
2015-04-23,0,aggressive,0.0033520421421105342,0.0,0.0,101610.9744174337
2015-04-24,0,aggressive,0.0014675330640697704,0.0,0.0,101760.09188206361
2015-04-27,0,aggressive,-0.0008938141043898562,0.0,0.0,101669.13727667542
2015-04-28,0,aggressive,0.0003342227419809384,0.0,0.0,101703.11741451085
2015-04-29,0,aggressive,-0.00603619862043815,0.0,0.0,101089.21719747911
2015-04-30,0,aggressive,-0.008430577711097365,0.0,0.0,100236.97669614178
2015-05-01,0,aggressive,0.004553176950049098,0.0,0.0,100693.37338797726
2015-05-04,0,aggressive,0.0010081073845400466,0.0,0.0,100794.88312126392
2015-05-05,0,aggressive,-0.008012594892074433,0.0,0.0,99987.25455561925
2015-05-06,0,aggressive,-0.006358442407020882,0.0,0.0,99351.49135609121
2015-05-07,0,aggressive,0.004658109726453331,0.0,0.0,99814.28150431465
2015-05-08,0,aggressive,0.010241430318494562,0.0,0.0,100836.52251313168
2015-05-11,0,aggressive,-0.008591771481480616,0.0,0.0,99970.15815471168
2015-05-12,0,aggressive,-0.00072090360261835,0.0,0.0,99898.08930754362
2015-05-13,0,aggressive,0.0003216231780093006,0.0,0.0,99930.21884850376
2015-05-14,0,aggressive,0.008378218945390436,0.0,0.0,100767.4561012773
2015-05-15,0,aggressive,0.00506760571163858,0.0,0.0,101278.10583736343
2015-05-18,0,aggressive,-0.001189649591043241,0.0,0.0,101157.62038017238
2015-05-19,0,aggressive,-0.0033900304300905743,0.0,0.0,100814.69296884804
2015-05-20,0,aggressive,8.553808283606766e-06,0.0,0.0,100815.55531840387
2015-05-21,0,aggressive,0.004499903635464521,0.0,0.0,101269.21560229252
2015-05-22,0,aggressive,-0.0016669285892871978,0.0,0.0,101100.40705159036
2015-05-26,0,aggressive,-0.005565914366609271,0.0,0.0,100537.69084351187
2015-05-27,0,aggressive,0.00708412403073131,0.0,0.0,101249.91231521063
2015-05-28,0,aggressive,-0.0011645142500116723,0.0,0.0,101132.00534950715
2015-05-29,0,aggressive,-0.003837705856830265,0.0,0.0,100743.89046026435
2015-06-01,0,aggressive,-0.0008116621739636679,0.0,0.0,100662.12045511982
2015-06-02,0,aggressive,-0.0030816701403161843,0.0,0.0,100351.91300425238
2015-06-03,0,aggressive,-0.002077053045618694,0.0,0.0,100143.47675771323
2015-06-04,0,aggressive,-0.004012663099113101,0.0,0.0,99741.63472391065
2015-06-05,0,aggressive,-0.0041670925314224345,0.0,0.0,99326.00210278078
2015-06-08,0,aggressive,-0.00423154157948864,0.0,0.0,98905.69999495849
2015-06-09,0,aggressive,-0.0014621684088902524,0.0,0.0,98761.08320496668
2015-06-10,0,aggressive,0.007495897950985531,0.0,0.0,99501.38620619991
2015-06-11,0,aggressive,0.006006346967300735,0.0,0.0,100099.02605548174
2015-06-12,0,aggressive,-0.005384602349768575,0.0,0.0,99560.03260457385
2015-06-15,0,aggressive,-0.002236210367725522,0.0,0.0,99337.39542745241
2015-06-16,0,aggressive,0.005030026417044631,0.0,0.0,99837.06515065291
2015-06-17,0,aggressive,5.429004409218657e-05,0.0,0.0,99842.48530932196
2015-06-18,0,aggressive,0.007589253709595668,0.0,0.0,100600.21526133099
2015-06-19,0,aggressive,-0.0007124476503066244,0.0,0.0,100528.54287434771
2015-06-22,0,aggressive,-0.0017807238959655972,0.0,0.0,100349.52929582477
2015-06-23,0,aggressive,-0.0013646473453496793,0.0,0.0,100212.58757706413
2015-06-24,0,aggressive,-0.0036248252780361145,0.0,0.0,99849.33445643738
2015-06-25,0,aggressive,-0.0029625664986511094,0.0,0.0,99553.52416326413
2015-06-26,0,aggressive,-0.002274959065216942,0.0,0.0,99327.04397099462
2015-06-29,0,aggressive,-0.00893226963199827,0.0,0.0,98439.82803249636
2015-06-30,0,aggressive,-0.0005403783775445816,0.0,0.0,98386.63327793838
2015-07-01,0,aggressive,0.0025641669309456657,0.0,0.0,98638.91302943676
2015-07-02,0,aggressive,-0.00018018628453210226,0.0,0.0,98621.1396501877
2015-07-06,0,aggressive,0.0019832863168594457,0.0,0.0,98816.733607009
2015-07-07,0,aggressive,0.005120874645042473,0.0,0.0,99322.76171264304
2015-07-08,0,aggressive,-0.009718812237159858,0.0,0.0,98357.46244068169
2015-07-09,0,aggressive,-0.002431072465348284,0.0,0.0,98118.34832198062
2015-07-10,0,aggressive,0.005759280542551393,0.0,0.0,98683.43941633869
2015-07-13,0,aggressive,0.0066569133997408944,0.0,0.0,99340.36652652184
2015-07-14,0,aggressive,0.0034683512735101288,0.0,0.0,99684.91381327505
2015-07-15,0,aggressive,0.0013629463575591033,0.0,0.0,99820.77900346044
2015-07-16,0,aggressive,0.006635138234720884,0.0,0.0,100483.10367084594
2015-07-17,0,aggressive,0.0006154057545192271,0.0,0.0,100544.94155107692
2015-07-20,0,aggressive,-0.003195210701447749,0.0,0.0,100223.67927785647
2015-07-21,0,aggressive,-0.0019951982420490792,0.0,0.0,100023.7131691496
2015-07-22,0,aggressive,-0.0005522682630141662,0.0,0.0,99968.47324681745
2015-07-23,0,aggressive,-0.001897844433342566,0.0,0.0,99778.74863635622
2015-07-24,0,aggressive,-0.005787238846162724,0.0,0.0,99201.3051862264
2015-07-27,0,aggressive,-0.0034662354574375278,0.0,0.0,98857.45010476583
2015-07-28,0,aggressive,0.007291974397258484,0.0,0.0,99578.31609990804
2015-07-29,0,aggressive,0.004215721404388128,0.0,0.0,99998.11053850334
2015-07-30,1,cautious,-0.00021431259830743032,0.0008,0.8,99976.679683608
2015-07-31,1,cautious,0.004403304041334222,0.0,0.0,100416.90740129803
2015-08-03,1,cautious,0.0008259205310629076,0.0,0.0,100499.8437867866
2015-08-04,1,cautious,-0.0031540206789280266,0.0,0.0,100182.86520125404
2015-08-05,1,cautious,-0.003106658773023752,0.0,0.0,99871.6312241699
2015-08-06,1,cautious,0.0024227580744363266,0.0,0.0,100113.59602512537
2015-08-07,1,cautious,0.005418331591434522,0.0,0.0,100656.04468520042
2015-08-10,1,cautious,0.0018930308553114722,0.0,0.0,100846.58968356313
2015-08-11,1,cautious,0.005177102843958103,0.0,0.0,101368.68284981737
2015-08-12,1,cautious,0.0023859046636165223,0.0,0.0,101610.53886297342
2015-08-13,1,cautious,-0.00414096360998063,0.0,0.0,101189.77331915134
2015-08-14,1,cautious,0.002002593291224364,0.0,0.0,101392.41528034078
2015-08-17,1,cautious,0.004269381365201585,0.0,0.0,101825.29816871144
2015-08-18,1,cautious,-0.004073142273363884,0.0,0.0,101410.54924224257
2015-08-19,1,cautious,0.0056114980649283,0.0,0.0,101979.61434307872
2015-08-20,1,cautious,0.002998740247019971,0.0,0.0,102285.42471698487
2015-08-21,1,cautious,-0.005950165194904011,0.0,0.0,101676.80954288789
2015-08-24,1,cautious,-0.014378329672280386,0.0,0.0,100214.86685525459
2015-08-25,1,cautious,-0.013674839035903065,0.0,0.0,98844.44468200451
2015-08-26,1,cautious,-0.00029800727669677816,0.0,0.0,98814.98831822822
2015-08-27,1,cautious,0.007817202256184829,0.0,0.0,99587.44506785437
2015-08-28,1,cautious,0.003896696083524009,0.0,0.0,99975.50707501844
2015-08-31,1,cautious,-0.005165657642255306,0.0,0.0,99459.06783285801
2015-09-01,1,cautious,-0.005024456256631004,0.0,0.0,98959.34009720653
2015-09-02,1,cautious,0.0006589646681351972,0.0,0.0,99024.55080591256
2015-09-03,1,cautious,1.1626181941459893e-05,0.0,0.0,99025.7020833569
2015-09-04,1,cautious,-0.0018624414034340675,0.0,0.0,98841.27251579272
2015-09-08,1,cautious,0.0017215449740341164,0.0,0.0,99011.43221171942
2015-09-09,1,cautious,-0.005970515539863564,0.0,0.0,98420.28291707521
2015-09-10,1,cautious,-0.00036160970681766715,0.0,0.0,98384.69318742465
2015-09-11,1,cautious,0.0032629950464816986,0.0,0.0,98705.72195394484
2015-09-14,1,cautious,-0.00031747250394477107,0.0,0.0,98674.38560124245
2015-09-15,1,cautious,-0.004819826995344657,0.0,0.0,98198.79213377254
2015-09-16,1,cautious,0.005085036172926616,0.0,0.0,98698.13654391047
2015-09-17,1,cautious,0.007282940872221578,0.0,0.0,99416.94923655821
2015-09-18,1,cautious,0.00346507542100587,0.0,0.0,99761.43646378921
2015-09-21,1,cautious,-0.0068368977697423235,0.0,0.0,99079.37772132365
2015-09-22,1,cautious,-0.000377653918167852,0.0,0.0,99041.96000611756
2015-09-23,1,cautious,0.0006842255969908395,0.0,0.0,99109.72705032988
2015-09-24,1,cautious,0.007934466803357488,0.0,0.0,99896.10988950053
2015-09-25,1,cautious,-0.005382383699431759,0.0,0.0,99358.43069599464
2015-09-28,1,cautious,-0.004481093582757788,0.0,0.0,98913.19626980992
2015-09-29,1,cautious,9.038048146071685e-05,0.0,0.0,98922.1360921116
2015-09-30,1,cautious,0.001098256754778748,0.0,0.0,99030.7779962719
2015-10-01,1,cautious,0.0021244825275602013,0.0,0.0,99241.16715381568
2015-10-02,1,cautious,0.013256966500979673,0.0,0.0,100556.80398229194
2015-10-05,1,cautious,-0.0006943125002375935,0.0,0.0,100486.9861363031
2015-10-06,1,cautious,0.0037039974123371346,0.0,0.0,100859.18967292552
2015-10-07,1,cautious,0.0006913501682538677,0.0,0.0,100928.91869067586
2015-10-08,1,cautious,-0.002173480482418011,0.0,0.0,100709.55165579011
2015-10-09,1,cautious,0.005983858643767736,0.0,0.0,101312.18337697559
2015-10-12,1,cautious,0.004516065983031493,0.0,0.0,101769.715881991
2015-10-13,1,cautious,0.0002732781260402662,0.0,0.0,101797.52731923485
2015-10-14,1,cautious,0.007291817446623794,0.0,0.0,102539.81630496442
2015-10-15,1,cautious,0.0012757939963540246,0.0,0.0,102670.63598699355
2015-10-16,1,cautious,-0.0006253542461709394,0.0,0.0,102606.43046882201
2015-10-19,1,cautious,-0.002203308967057882,0.0,0.0,102380.35680049224
2015-10-20,1,cautious,-0.0009417537409683765,0.0,0.0,102283.93971647369
2015-10-21,1,cautious,-0.0005492530049885145,0.0,0.0,102227.75995522235
2015-10-22,1,cautious,0.005637832188222103,0.0,0.0,102804.10291082773
2015-10-23,1,cautious,-0.0006339473273449639,0.0,0.0,102738.93052454732
2015-10-26,1,cautious,0.0017363214231181038,0.0,0.0,102917.31833060534
2015-10-27,1,cautious,0.0010935153966850075,0.0,0.0,103029.86000278538
2015-10-28,1,cautious,-0.0006138529744942445,0.0,0.0,102966.61481676095
2015-10-29,1,cautious,-0.009406393644008193,0.0,0.0,101998.07030560353
2015-10-30,1,cautious,0.0005786059493849474,0.0,0.0,102057.08699590812
2015-11-02,1,cautious,-0.00023793884977473274,0.0,0.0,102032.80365001694
2015-11-03,1,cautious,-0.006858045314684158,0.0,0.0,101333.05805900086
2015-11-04,1,cautious,-0.0032792620027586204,0.0,0.0,101000.76041208464
2015-11-05,1,cautious,-0.0022906244039997193,0.0,0.0,100769.40560546219
