Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-09-30,1,aggressive,0.0,0.0,0.0,100000.0
2015-10-01,1,aggressive,0.001558197405409224,0.0009999999999999998,0.9999999999999999,100155.81974054093
2015-10-02,2,rebound,0.013785561931341837,0.0,0.0,101536.52399635846
2015-10-05,3,defensive,0.0040232539690632455,0.00039999999999999996,0.39999999999999997,101945.0312195317
2015-10-06,1,aggressive,0.0038779560873503103,0.0006,0.6,102340.36957392459
2015-10-07,1,aggressive,0.0039233344237780245,0.001,1.0,102741.88506881615
2015-10-08,0,cautious,0.004133072502805035,0.0,0.0,103166.52472888041
2015-10-09,0,cautious,0.0051838586437677366,0.0008,0.8,103701.32540984372
2015-10-12,0,cautious,0.004516065983031493,0.0,0.0,104169.64743792238
2015-10-13,0,cautious,0.0002732781260402662,0.0,0.0,104198.11472396449
2015-10-14,2,rebound,0.007291817446623794,0.0,0.0,104957.90835481402
2015-10-15,3,defensive,0.004893541534637724,0.0004,0.4,105471.52423873701
2015-10-16,3,defensive,-0.0016477893090996116,0.0006,0.6,105297.72938868198
2015-10-19,0,cautious,-0.002526826802510251,0.0,0.0,105031.66026381918
2015-10-20,0,cautious,-0.0011417537409683764,0.00019999999999999996,0.19999999999999996,104911.73997279284
2015-10-21,2,rebound,-0.0005492530049885144,0.0,0.0,104854.1168843542
2015-10-22,2,rebound,0.008483035989250045,0.0004,0.4,105743.5981315052
2015-10-23,3,defensive,0.002581564465916575,0.0,0.0,106016.58204693967
2015-10-26,0,cautious,0.002047612762458807,0.0006,0.6,106233.66295337124
2015-10-27,2,rebound,0.0008935153966850075,0.00019999999999999996,0.19999999999999996,106328.58436686631
2015-10-28,1,aggressive,0.0024690938301149103,0.0004,0.4,106591.11961849139
2015-10-29,3,defensive,-0.004940597748920927,0.00039999999999999996,0.39999999999999997,106064.4957728493
2015-10-30,0,cautious,0.0007645717733003941,0.001,1.0,106145.58969246657
2015-11-02,0,cautious,-0.0004379388497747328,0.00019999999999999996,0.19999999999999996,106099.10441500798
2015-11-03,1,aggressive,-0.006858045314684157,0.0,0.0,105371.47194908245
2015-11-04,1,aggressive,-0.0036358384796909885,0.0008,0.8,104988.35829670829
2015-11-05,1,aggressive,-0.0015387272199054002,0.0,0.0,104826.80985202397
2015-11-06,1,aggressive,-0.004755203488130865,0.0,0.0,104328.33704016599
2015-11-09,1,aggressive,-0.007370261270435418,0.0,0.0,103559.40993826994
2015-11-10,1,aggressive,0.0019957618345364803,0.0,0.0,103766.08985623186
2015-11-11,1,aggressive,-0.0035094737029081947,0.0,0.0,103401.92549262781
2015-11-12,1,aggressive,-0.008790152766088988,0.0,0.0,102493.00677123987
2015-11-13,1,aggressive,-0.0069959068408381505,0.0,0.0,101775.97524403088
2015-11-16,1,aggressive,0.010605646381457534,0.0,0.0,102855.37524759705
2015-11-17,1,aggressive,-0.0014969405375094835,0.0,0.0,102701.40686688818
2015-11-18,1,aggressive,0.011611677673565256,0.0,0.0,103893.94250004817
2015-11-19,2,rebound,0.0018326306963561078,0.0,0.0,104084.34172823922
2015-11-20,2,rebound,-0.00040437368795312966,0.00039999999999999996,0.39999999999999997,104042.25275911641
2015-11-23,1,aggressive,-0.0012619749287817728,0.0,0.0,103910.95404460042
2015-11-24,1,aggressive,0.001185824492764143,0.00039999999999999996,0.39999999999999997,104034.17419897298
2015-11-25,1,aggressive,-0.00010311724381655284,0.0,0.0,104023.44648166686
