Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-09-30,3,rebound,0.0,0.0,0.0,100000.0
2015-10-01,3,rebound,0.0013413399664847121,0.001,1.0,100134.13399664848
2015-10-02,1,aggressive,0.013521264216160756,0.0,0.0,101488.07407947362
2015-10-05,3,rebound,0.009140820438364084,0.00039999999999999996,0.39999999999999997,102415.75834126948
2015-10-06,3,rebound,0.0011853216122653667,0.00039999999999999996,0.39999999999999997,102537.15395306794
2015-10-07,2,cautious,0.002807342296015947,0.0,0.0,102825.01084227349
2015-10-08,3,rebound,-0.0025734804824180113,0.0004,0.4,102560.39268376649
2015-10-09,3,rebound,0.0038556979940455706,0.0004,0.4,102955.83458410582
2015-10-12,3,rebound,0.0035473746627086907,0.0,0.0,103321.05750308749
2015-10-13,3,rebound,-0.0016517000554816198,0.0,0.0,103150.40210667721
2015-10-14,2,cautious,0.003714641071075131,0.0,0.0,103533.5688268406
2015-10-15,3,rebound,0.0008757939963540246,0.0004,0.4,103624.24290484024
2015-10-16,3,rebound,0.0005579288092756765,0.0004,0.4,103682.05785529623
2015-10-19,3,rebound,-0.001412802487672571,0.0,0.0,103535.57558603126
2015-10-20,3,rebound,-0.0012163710850987106,0.0,0.0,103409.63790560936
2015-10-21,3,rebound,-0.0018960880206884468,0.0,0.0,103213.56412995279
2015-10-22,3,rebound,0.008883035989250044,0.0,0.0,104130.41393469794
2015-10-23,3,rebound,0.002581564465916575,0.0,0.0,104399.23331113295
2015-10-26,3,rebound,0.0006420241918257184,0.0,0.0,104466.26014452674
2015-10-27,3,rebound,0.0002326983671100624,0.0,0.0,104490.56927268048
2015-10-28,3,rebound,0.0028690938301149105,0.0,0.0,104790.36252028591
2015-10-29,3,rebound,-0.00697349569646456,0.0,0.0,104059.60737821973
2015-10-30,3,rebound,-0.0006555527288888753,0.0,0.0,103991.39081863585
2015-11-02,3,rebound,0.0032374297585555985,0.0,0.0,104328.05564190568
