,train_activation_rate,mutual_info_mean,target_count,spy_up_next,tlt_up_next,gld_up_next,risk_off_next,is_cross_asset,passes_activation_rate
LQD_breakout_20d,0.16948257,0.0015567333303441733,4,0.0028577116936306657,0.0019957981085632626,3.511745808496003e-05,0.0013383060610978048,False,True
LQD_volume_dryup,0.15047519,0.001284291103219315,4,0.0006140913842553886,0.0010173619929518818,0.0027547379004345396,0.0007509731352354498,False,True
GLD_volume_spike,0.046462514,0.0008879957527849654,4,0.0031722543253791813,0.00016555926945562016,6.801599657847712e-05,0.0001461534197265829,False,True
LQD_ret_up_large,0.2122492,0.0007920499359331812,4,6.624924031584101e-06,0.000794385115299584,0.002365691846217155,1.4978581844016237e-06,False,True
TLT_vol_regime_up,0.24234425,0.0007639847377278741,4,0.00028412523155127434,0.0004363103842342231,0.0016965433581836442,0.0006389599769423548,False,True
LQD_vol_regime_down,0.2122492,0.0007449925742671476,4,6.511909238654523e-05,0.00019157780006695546,0.001261615685619527,0.0014616577189955626,False,True
UUP_ret_up_large,0.21172123,0.0007189437306728205,4,0.0016037215949083194,0.0003409761682590384,0.0005599170891113225,0.0003711600704126017,False,True
UUP_breakdown_20d,0.09186906,0.000714072035686495,4,0.00013805179902104392,0.0019863877986246725,0.0004940648012857485,0.00023778374381451528,False,True
TLT_breakout_20d,0.11721225,0.0005671398181230393,4,0.0005894688396876069,0.0013990079875504657,0.0002761213129605089,3.961132293575642e-06,False,True
HYG_ret_down_large,0.21066526,0.0005243392146360229,4,2.0263463122449643e-06,0.000955348314172183,0.0006575004223895453,0.0004824817756701183,False,True
TLT_vol_regime_down,0.22650476,0.0004997496155771317,4,1.7268996732600073e-08,0.0003566027799484228,0.0014362426236881332,0.00020613578967523805,False,True
LQD_breakdown_20d,0.09239704,0.0004887935690093305,4,2.8851741641550133e-05,4.9732186707673876e-05,5.5371140239734995e-05,0.001821219207448363,False,True
LQD_vol_regime_up,0.25448784,0.00048300768397564753,4,0.0004894571788477964,0.0003499084234780403,0.0008234413909894989,0.00026922374258725457,False,True
GLD_ret_up_large,0.21330518,0.0004779435197335216,4,0.0010311113290783491,0.000602907591657903,0.00010686782051255728,0.00017088733768527709,False,True
LQD_gap_down,0.20802534,0.00047694637230196943,4,0.0004877665688682864,0.00013362439783304314,0.0007029813350578062,0.0005834131874487419,False,True
TLT_ret_down_large,0.20380148,0.0004626572693939984,4,0.0005581364983003878,0.0008683176763923939,0.00040338999972741596,2.0784903155796064e-05,False,True
SPY_gap_down,0.20749736,0.0004310189370067066,4,0.00010291540953749623,0.0013253372466689728,1.1948349280560544e-05,0.00028387474253979694,False,True
TLT_volume_dryup,0.1531151,0.00042855278326421956,4,0.00031635812951330555,0.0010573653028681518,0.00012329929188550914,0.00021718840878991175,False,True
GLD_gap_up,0.2096093,0.00042460595743193386,4,0.0014071304841059284,2.7103340972223222e-05,0.00012061849216990495,0.0001435715124796788,False,True
LQD_ret_down_large,0.2096093,0.0004245370730844855,4,0.0009417863655251657,0.00042058595015448397,0.00012061849216990495,0.00021515748448838745,False,True
SPY_ret_down_large,0.21383315,0.00041705204564160964,4,8.248851465872398e-05,0.0013256912637309437,1.0878228557970049e-05,0.0002491501756188008,False,True
LQD_gap_up,0.20749736,0.0003999742831663697,4,0.00019263387670956367,0.0008430193934289842,0.0005629444644532355,1.2993980736952793e-06,False,True
HYG_gap_down,0.20380148,0.0003858793306140938,4,0.000262296039016785,0.0007874517500231215,7.97722181353766e-05,0.0004139973152810922,False,True
SPY_breakdown_20d,0.07022175,0.00036796798850019866,4,0.00028531649970246764,0.00041366960263930497,0.0003088937775924394,0.0004639920740665826,False,True
SPY_volume_dryup,0.19746569,0.00036686011539512065,4,9.545564564605868e-05,9.128221430629302e-05,0.0008097398124022881,0.0004709627892258428,False,True
TLT_ret_up_large,0.21436115,0.0003588932275121956,4,3.909798036549894e-05,0.0010149911000678358,0.000380995547015206,4.882826002416962e-07,False,True
