mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->cash; 1->defensive; 2->rebound; 3->aggressive,-0.05699836205415946,1924,0.009636226611226612,0.030981971386172757,0.004004333334799659,0.09880798453603923,-0.05699836205415946,-0.24293637339634266,0.016483053891097325,1.0309819713861728,0.24391891891891893,469.3
0->cash; 1->defensive; 2->aggressive; 3->rebound,-0.09978388287545249,1924,0.009636226611226612,-0.005262355870781832,-0.0006908294638844348,0.10349422950398708,-0.09978388287545249,-0.2712153024135727,-0.002547162559548347,0.9947376441292182,0.24080041580041578,463.29999999999995
0->defensive; 1->cash; 2->rebound; 3->aggressive,-0.12122634632132288,1924,0.009636226611226612,-0.017262949272459305,-0.002278196293473589,0.09828245481489477,-0.12122634632132288,-0.24822917373662656,-0.009177794290572696,0.9827370507275407,0.25639293139293134,493.29999999999995
0->defensive; 1->cash; 2->aggressive; 3->rebound,-0.16665962968646322,1924,0.009636226611226612,-0.056077243452088976,-0.007530317605173753,0.10300361430477067,-0.16665962968646322,-0.27762173714255334,-0.02712438039859639,0.943922756547911,0.25561330561330564,491.8
0->cash; 1->aggressive; 2->defensive; 3->rebound,-0.6761674154777794,1924,0.009636226611226612,-0.293918366030139,-0.04455993152425097,0.08015198143965961,-0.6761674154777794,-0.3389692934673758,-0.13145713308848625,0.706081633969861,0.4012993762993764,772.1000000000001
0->cash; 1->aggressive; 2->rebound; 3->defensive,-0.759175223849745,1924,0.009636226611226612,-0.3433277833145004,-0.053595385516328586,0.08328987846430289,-0.759175223849745,-0.3818255511510331,-0.1403661576726924,0.6566722166854996,0.4067567567567568,782.6000000000001
0->aggressive; 1->cash; 2->defensive; 3->rebound,-0.9975608977359157,1924,0.009636226611226612,-0.39112827559240004,-0.0629175414687203,0.07273116683364034,-0.9975608977359157,-0.4265545533815258,-0.14750174618917872,0.6088717244076,0.417931392931393,804.1000000000001
0->aggressive; 1->cash; 2->rebound; 3->defensive,-1.0444159630725518,1924,0.009636226611226612,-0.42518595047990815,-0.06995580703581628,0.07620721672320314,-1.0444159630725518,-0.45963146075245565,-0.1521997796262525,0.5748140495200919,0.41559251559251564,799.6000000000001
0->cash; 1->rebound; 2->defensive; 3->aggressive,-1.0749051609217335,1924,0.009636226611226612,-0.5144313797931956,-0.09028363907238135,0.09295691314564576,-1.0749051609217335,-0.535403234640069,-0.1686273694873651,0.4855686202068043,0.619074844074844,1191.1
0->cash; 1->rebound; 2->aggressive; 3->defensive,-1.1219841022752963,1924,0.009636226611226612,-0.5642892513954555,-0.10310165002790417,0.10048081466618568,-1.1219841022752963,-0.5964350642261376,-0.1728631601525247,0.4357107486045445,0.6214137214137214,1195.6
0->rebound; 1->cash; 2->defensive; 3->aggressive,-1.2739258515132292,1924,0.009636226611226612,-0.5703677060846363,-0.10475050024775034,0.08979072582843263,-1.2739258515132292,-0.5872464645453201,-0.17837570180836113,0.4296322939153637,0.6390852390852391,1229.6
0->rebound; 1->cash; 2->aggressive; 3->defensive,-1.2897772396281462,1924,0.009636226611226612,-0.6104016886335346,-0.11614667954803937,0.09752296931176292,-1.2897772396281462,-0.6389021108666166,-0.1817910405562696,0.38959831136646544,0.6359667359667359,1223.6
0->defensive; 1->rebound; 2->aggressive; 3->cash,-2.1337016558236397,1924,0.009636226611226612,-0.7890721372036473,-0.18440039994969648,0.09093896798145483,-2.1337016558236397,-0.8026808875727477,-0.22973064739003657,0.2109278627963527,0.9636694386694385,1854.0999999999997
0->defensive; 1->rebound; 2->cash; 3->aggressive,-2.216992154921226,1924,0.009636226611226612,-0.7607778493184647,-0.17084220419627028,0.08140688743840398,-2.216992154921226,-0.762639354824686,-0.22401440879685933,0.2392221506815353,0.9543139293139292,1836.1
0->rebound; 1->defensive; 2->aggressive; 3->cash,-2.26709737646468,1924,0.009636226611226612,-0.8012609420246496,-0.19073426887419453,0.0883819537552814,-2.26709737646468,-0.8148058807358761,-0.23408553298846663,0.19873905797535038,0.9634095634095634,1853.6
0->rebound; 1->defensive; 2->cash; 3->aggressive,-2.4034565782316055,1924,0.009636226611226612,-0.777946791933771,-0.17889098614715404,0.07844003277025857,-2.4034565782316055,-0.7807230623981122,-0.22913500927929883,0.22205320806622897,0.9618503118503117,1850.5999999999997
0->defensive; 1->aggressive; 2->rebound; 3->cash,-2.554006355962422,1924,0.009636226611226612,-0.7666493376337935,-0.1735365782613295,0.07171979210033384,-2.554006355962422,-0.7778333768638706,-0.22310250938447493,0.23335066236620652,0.9096153846153846,1750.1
0->defensive; 1->aggressive; 2->cash; 3->rebound,-2.607205164340161,1924,0.009636226611226612,-0.7458041044479014,-0.16422248876460555,0.0666839410084679,-2.607205164340161,-0.7468473412996146,-0.2198876258685428,0.2541958955520987,0.8994802494802494,1730.6
0->rebound; 1->aggressive; 2->defensive; 3->cash,-2.7229205300254202,1924,0.009636226611226612,-0.7096822384586738,-0.1495501164324219,0.05846161916527266,-2.7229205300254202,-0.7209659688553656,-0.2074302018302662,0.29031776154132616,0.7491683991683992,1441.4
0->rebound; 1->aggressive; 2->cash; 3->defensive,-2.782614056873588,1924,0.009636226611226612,-0.7058678616943637,-0.14809489876086512,0.05668451396716902,-2.782614056873588,-0.7068712617889059,-0.20950759603110153,0.29413213830563634,0.7444906444906445,1432.4
0->aggressive; 1->defensive; 2->rebound; 3->cash,-2.9908776825793026,1924,0.009636226611226612,-0.7857324092013453,-0.18272051025981817,0.06431447798465575,-2.9908776825793026,-0.7979011553635259,-0.22900143586904598,0.21426759079865462,0.905977130977131,1743.1
0->aggressive; 1->rebound; 2->defensive; 3->cash,-3.023843739472592,1924,0.009636226611226612,-0.7170778337383168,-0.15241958384130194,0.05359265372647654,-3.023843739472592,-0.7291051915520927,-0.20905019688151807,0.28292216626168315,0.7457900207900209,1434.9
