mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->cash; 1->defensive; 2->rebound; 3->aggressive,-0.07233294881207598,1924,0.009636226611226612,0.019160477855075797,0.002488937035937999,0.09881098023333142,-0.07233294881207598,-0.24353590322642749,0.010220000430999738,1.0191604778550758,0.24391891891891893,469.3
0->cash; 1->defensive; 2->aggressive; 3->rebound,-0.11439277648231405,1924,0.009636226611226612,-0.016698234998164696,-0.0022031225693228684,0.1034973496108815,-0.11439277648231405,-0.27180250274221107,-0.008105600747217558,0.9833017650018353,0.24080041580041578,463.29999999999995
0->defensive; 1->cash; 2->rebound; 3->aggressive,-0.1375800657772614,1924,0.009636226611226612,-0.029289336408681477,-0.0038859653002448757,0.09828598231202747,-0.1375800657772614,-0.24887323092897995,-0.015614235752634239,0.9707106635913185,0.25639293139293134,493.29999999999995
0->defensive; 1->cash; 2->aggressive; 3->rebound,-0.1822183293896603,1924,0.009636226611226612,-0.06765712631135523,-0.009133589026118605,0.10300728637022771,-0.1822183293896603,-0.27823706608022547,-0.0328266436776079,0.9323428736886448,0.25561330561330564,491.8
0->cash; 1->aggressive; 2->defensive; 3->rebound,-0.7035083513104754,1924,0.009636226611226612,-0.30618295159508735,-0.04675020343989911,0.08015033502600313,-0.7035083513104754,-0.3501500179651075,-0.1335147823541102,0.6938170484049127,0.4012993762993764,772.1000000000001
0->cash; 1->aggressive; 2->rebound; 3->defensive,-0.7853493131872806,1924,0.009636226611226612,-0.3547938180074638,-0.05577638457789302,0.08329110383206106,-0.7853493131872806,-0.39232843140315377,-0.14216758234525612,0.6452061819925362,0.4067567567567568,782.6000000000001
0->aggressive; 1->cash; 2->defensive; 3->rebound,-1.0288342209804575,1924,0.009636226611226612,-0.4023154117268365,-0.06519085704620609,0.07272997158485266,-1.0288342209804575,-0.4366379496877747,-0.14930185773550353,0.5976845882731635,0.417931392931393,804.1000000000001
0->aggressive; 1->cash; 2->rebound; 3->defensive,-1.0741482915262839,1924,0.009636226611226612,-0.43579932520560005,-0.07222324723509632,0.07620872694403003,-1.0741482915262839,-0.4690811690666854,-0.1539674836634274,0.5642006747944,0.41559251559251564,799.6000000000001
0->cash; 1->rebound; 2->defensive; 3->aggressive,-1.0954086230900109,1924,0.009636226611226612,-0.5221414625997411,-0.0921887740701045,0.09295617957990462,-1.0954086230900109,-0.5425773338551856,-0.16990900341352957,0.47785853740025885,0.619074844074844,1191.1
0->cash; 1->rebound; 2->aggressive; 3->defensive,-1.1407995832303823,1924,0.009636226611226612,-0.5712603988861903,-0.1049943582995847,0.10048266724135178,-1.1407995832303823,-0.6026737441015233,-0.17421425659767567,0.4287396011138097,0.6214137214137214,1195.6
0->rebound; 1->cash; 2->defensive; 3->aggressive,-1.2960621418273401,1924,0.009636226611226612,-0.5775960510520214,-0.1067378682111656,0.08979052089147083,-1.2960621418273401,-0.5936509711819097,-0.17979902904674674,0.4224039489479786,0.6390852390852391,1229.6
0->rebound; 1->cash; 2->aggressive; 3->defensive,-1.310013338314088,1924,0.009636226611226612,-0.617003484969854,-0.1181229236300052,0.09752507589399856,-1.310013338314088,-0.6446837314767795,-0.18322615859938107,0.3829965150301459,0.6359667359667359,1223.6
0->defensive; 1->rebound; 2->aggressive; 3->cash,-2.1765684459447208,1924,0.009636226611226612,-0.7966716192023704,-0.18831081559396678,0.09094455199605551,-2.1765684459447208,-0.8095740558920775,-0.2326048052348531,0.20332838079762966,0.9636694386694385,1854.0999999999997
0->defensive; 1->rebound; 2->cash; 3->aggressive,-2.264954807230125,1924,0.009636226611226612,-0.769278527636724,-0.174762232585696,0.0814137476863958,-2.264954807230125,-0.7710647635043595,-0.22665052386965667,0.23072147236327598,0.9543139293139292,1836.1
0->rebound; 1->defensive; 2->aggressive; 3->cash,-2.311082166792523,1924,0.009636226611226612,-0.8084559091554196,-0.19463338794127105,0.08838699786948594,-2.311082166792523,-0.8212943950305844,-0.23698370416131118,0.19154409084458032,0.9634095634095634,1853.6
0->rebound; 1->defensive; 2->cash; 3->aggressive,-2.45299089217098,1924,0.009636226611226612,-0.7858761672172004,-0.18279235058660626,0.07844651107837057,-2.45299089217098,-0.7885385896558623,-0.23181154731613243,0.2141238327827996,0.9618503118503117,1850.5999999999997
0->defensive; 1->aggressive; 2->rebound; 3->cash,-2.6112955937694764,1924,0.009636226611226612,-0.7753912372510285,-0.17765940587598483,0.07172517463518754,-2.6112955937694764,-0.7860071538531073,-0.22602772125555828,0.22460876274897146,0.9096153846153846,1750.1
0->defensive; 1->aggressive; 2->cash; 3->rebound,-2.6686941905600747,1924,0.009636226611226612,-0.7552089729023861,-0.1683392847054368,0.06669011082131969,-2.6686941905600747,-0.7562063127234845,-0.2226102610796268,0.24479102709761397,0.8994802494802494,1730.6
0->rebound; 1->aggressive; 2->defensive; 3->cash,-2.804434596638526,1924,0.009636226611226612,-0.7218531264014538,-0.15430721224774502,0.0584586422715933,-2.804434596638526,-0.7325571035347187,-0.2106418892168067,0.2781468735985462,0.7491683991683992,1441.4
0->rebound; 1->aggressive; 2->cash; 3->defensive,-2.8659349835929233,1924,0.009636226611226612,-0.7180888936135137,-0.15281692324235796,0.0566841714077975,-2.8659349835929233,-0.7190421885994722,-0.21252845196748463,0.28191110638648625,0.7444906444906445,1432.4
0->aggressive; 1->defensive; 2->rebound; 3->cash,-3.054475100069378,1924,0.009636226611226612,-0.7938090934828109,-0.1868231853032145,0.06431855080762611,-3.054475100069378,-0.8054162342540105,-0.23195855429491455,0.20619090651718908,0.905977130977131,1743.1
0->aggressive; 1->rebound; 2->defensive; 3->cash,-3.112689075051962,1924,0.009636226611226612,-0.7289549820074135,-0.15716726877989973,0.05358822913860801,-3.112689075051962,-0.7403712645879604,-0.2122816974364452,0.27104501799258646,0.7457900207900209,1434.9
0->aggressive; 1->rebound; 2->cash; 3->defensive,-3.1935398904254284,1924,0.009636226611226612,-0.724043166977818,-0.15518235048185347,0.05160999478579356,-3.1935398904254284,-0.7260980300328279,-0.2137209358285099,0.27595683302218194,0.7387733887733888,1421.4
0->aggressive; 1->defensive; 2->cash; 3->rebound,-3.2273774086872864,1924,0.009636226611226612,-0.7776028251887057,-0.17872450557097486,0.05836340419164548,-3.2273774086872864,-0.7804554023423395,-0.22900027988092397,0.22239717481129434,0.9012993762993763,1734.1
