Date,cluster,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-04-01,2,rebound,0.002595764317258671,0.001,1.0,1.0025957643172587
2015-04-02,2,rebound,-0.000915277741358439,0.0,0.0,1.0016781107305988
2015-04-06,2,rebound,0.0037477887397185604,0.0,0.0,1.0054321886748174
2015-04-07,3,cautious,0.000491965238513881,0.0005,0.5,1.0059268263613284
2015-04-08,2,rebound,0.0002540082866611342,0.0005,0.5,1.0061823401109988
2015-04-09,3,cautious,-0.004890265603542176,0.0005,0.5,1.0012618412222625
2015-04-10,2,rebound,0.003949681825217145,0.0005,0.5,1.0052165069188215
2015-04-13,2,rebound,-0.002830996773395683,0.0,0.0,1.0023707422311703
2015-04-14,2,rebound,0.0013663817117393617,0.0,0.0,1.0037403632817374
2015-04-15,2,rebound,0.003148563158300366,0.0,0.0,1.0069007032100654
2015-04-16,2,rebound,-0.0016434174211203245,0.0,0.0,1.0052459450530717
2015-04-17,3,cautious,0.0016297327119169868,0.0005,0.5,1.0068842272532468
2015-04-20,2,rebound,0.0007050200817169572,0.0005,0.5,1.0075941008534244
2015-04-21,2,rebound,-0.0005788459960846538,0.0,0.0,1.007010859042467
2015-04-22,3,cautious,-0.006783932890941823,0.0005,0.5,1.0001793649542732
2015-04-23,3,cautious,0.003253529494860885,0.0,0.0,1.003433478018303
2015-04-24,3,cautious,-0.0004731007185858841,0.0,0.0,1.0029587529187993
2015-04-27,3,cautious,0.0032020058866398366,0.0,0.0,1.0061702327497022
2015-04-28,2,rebound,-0.0005270050108492903,0.0005,0.5,1.0056399759952757
2015-04-29,3,cautious,-0.00640939306751559,0.0005,0.5,0.9991944341047151
2015-04-30,3,cautious,-0.005011203779321295,0.0,0.0,0.9941872671802527
2015-05-01,2,rebound,0.0011708981433253894,0.0005,0.5,0.9953513592055119
2015-05-04,3,cautious,-0.000957093264696173,0.0005,0.5,0.9943987151236101
2015-05-05,3,cautious,-0.0021446899684001157,0.0,0.0,0.9922660381746945
2015-05-06,2,rebound,-0.005855418656141576,0.0005,0.5,0.9864559051029107
2015-05-07,3,cautious,0.0026849821426805703,0.0005,0.5,0.9891045215926539
2015-05-08,3,cautious,0.004413517559400138,0.0,0.0,0.9934699517667853
2015-05-11,3,cautious,-0.00902406974282136,0.0,0.0,0.9845048096346445
2015-05-12,2,rebound,-4.584669130676638e-05,0.0005,0.5,0.984459673346547
2015-05-13,2,rebound,0.0011691895469505549,0.0,0.0,0.9856106933060181
2015-05-14,3,cautious,0.003474197035805571,0.0005,0.5,0.9890348990551603
2015-05-15,2,rebound,0.004445914609907731,0.0005,0.5,0.9934320637625783
2015-05-18,3,cautious,-0.004929099943114223,0.0005,0.5,0.9885353378335984
2015-05-19,2,rebound,-0.004501452107610198,0.0005,0.5,0.9840854933536601
2015-05-20,3,cautious,0.00019336320200066305,0.0005,0.5,0.9842757792756973
2015-05-21,2,rebound,0.0031038166362663717,0.0005,0.5,0.9873307908140874
2015-05-22,3,cautious,-0.0010087565304546793,0.0005,0.5,0.9863348144311347
2015-05-26,2,rebound,-0.004109048267711134,0.0005,0.5,0.9822819170705133
2015-05-27,2,rebound,0.0047023357508199646,0.0,0.0,0.986900936446538
2015-05-28,3,cautious,-0.0012305784808654958,0.0005,0.5,0.9856864773914009
2015-05-29,2,rebound,-0.0027494379436538703,0.0005,0.5,0.9829763935899144
2015-06-01,3,cautious,-0.0034922751307723925,0.0005,0.5,0.979543569576444
2015-06-02,3,cautious,-0.003577072936504777,0.0,0.0,0.9760396707835848
2015-06-03,3,cautious,-0.0057256034753368264,0.0,0.0,0.9704512546524797
2015-06-04,2,rebound,-0.002753037057621865,0.0005,0.5,0.9677795663858059
2015-06-05,3,cautious,-0.0055600725623783254,0.0005,0.5,0.9623986417723137
2015-06-08,2,rebound,-0.003047218102511406,0.0005,0.5,0.9594660032092728
2015-06-09,2,rebound,-0.0013150956811587458,0.0,0.0,0.9582042136122336
2015-06-10,3,cautious,0.0009748039555542605,0.0005,0.5,0.9591382748698914
2015-06-11,2,rebound,0.004472012517113556,0.0005,0.5,0.9634275532407524
2015-06-12,2,rebound,-0.0034842330911035446,0.0,0.0,0.96007074707887
2015-06-15,3,cautious,9.322926741573323e-06,0.0005,0.5,0.9600796977481116
2015-06-16,3,cautious,0.0027308959569387614,0.0,0.0,0.9627015755130309
2015-06-17,3,cautious,-0.0010591775491844645,0.0,0.0,0.961681903617683
2015-06-18,3,cautious,0.0031897556180368047,0.0,0.0,0.964749433872512
2015-06-19,2,rebound,-0.0001893114246431125,0.0005,0.5,0.9645667957827619
2015-06-22,2,rebound,-0.0037043305867296653,0.0,0.0,0.9609937214982
2015-06-23,3,cautious,-0.0034786801373500645,0.0005,0.5,0.957650731727106
2015-06-24,2,rebound,-0.0024419607988877988,0.0005,0.5,0.9553121861812022
2015-06-25,2,rebound,-0.0022691143442606972,0.0,0.0,0.9531444735962914
2015-06-26,3,cautious,-0.003696936708068354,0.0005,0.5,0.9496207588037607
2015-06-29,3,cautious,0.004652791470720129,0.0,0.0,0.9540391461707417
2015-06-30,2,rebound,-0.0018732246632900901,0.0005,0.5,0.9522520165123904
2015-07-01,3,cautious,-0.003640514766838842,0.0005,0.5,0.9487853289845251
2015-07-02,2,rebound,-0.0005494653305186776,0.0005,0.5,0.9482640043401432
2015-07-06,2,rebound,0.0028289415749022774,0.0,0.0,0.9509465878060044
2015-07-07,3,cautious,0.0012559962399031235,0.0005,0.5,0.9521409731446373
2015-07-08,3,cautious,-0.00016859527228414413,0.0,0.0,0.9519804466780171
2015-07-09,2,rebound,-0.0032618312772247134,0.0005,0.5,0.9488752470817364
2015-07-10,3,cautious,-0.0025055899091431795,0.0005,0.5,0.9464977548376127
2015-07-13,2,rebound,0.003173493244887843,0.0005,0.5,0.9495014590688914
2015-07-14,2,rebound,0.002271167583296352,0.0,0.0,0.9516579360030212
2015-07-15,3,cautious,0.0015649960364895526,0.0005,0.5,0.9531472769009598
2015-07-16,2,rebound,0.003947483624483539,0.0005,0.5,0.9569098101682474
2015-07-17,2,rebound,-0.00010228308274427551,0.0,0.0,0.9568119344829551
2015-07-20,3,cautious,-0.007090294745744996,0.0005,0.5,0.9500278558512245
2015-07-21,2,rebound,-0.001663515114524738,0.0005,0.5,0.9484474701537964
2015-07-22,3,cautious,-7.316726661833447e-05,0.0005,0.5,0.9483780748448741
2015-07-23,3,cautious,0.0017144598375690378,0.0,0.0,0.9500040309650268
2015-07-24,2,rebound,-0.0032054009382944445,0.0005,0.5,0.946958887152788
2015-07-27,2,rebound,-0.002244495894002391,0.0,0.0,0.9448334418187844
2015-07-28,3,cautious,7.38899220074649e-05,0.0005,0.5,0.9449032554881104
2015-07-29,2,rebound,0.002067252027213596,0.0005,0.5,0.9468566086585389
2015-07-30,2,rebound,0.000364113150267792,0.0,0.0,0.9472013716011696
2015-07-31,3,cautious,0.0026821969564802986,0.0005,0.5,0.9497419522372522
2015-08-03,2,rebound,-0.0010988608267606666,0.0005,0.5,0.9486983180104075
2015-08-04,2,rebound,-0.00216331021435231,0.0,0.0,0.9466459892487167
2015-08-05,3,cautious,-0.002821311264910053,0.0005,0.5,0.9439752062553673
2015-08-06,2,rebound,-0.0017449319143688189,0.0005,0.5,0.9423280337915995
2015-08-07,2,rebound,0.0021330579803909514,0.0,0.0,0.9443380741242247
2015-08-10,3,cautious,0.000349168561807701,0.0005,0.5,0.944667807291427
2015-08-11,2,rebound,-0.0006184400825545999,0.0005,0.5,0.944083586854699
2015-08-12,2,rebound,0.00155234229248703,0.0,0.0,0.9455491277342164
2015-08-13,3,cautious,-0.0033681204465869636,0.0005,0.5,0.9423644043838423
2015-08-14,2,rebound,0.001593926717125372,0.0005,0.5,0.9438664641852577
2015-08-17,2,rebound,0.0038107960182332647,0.0,0.0,0.9474633467487187
2015-08-18,3,cautious,-0.003477774998546134,0.0005,0.5,0.9441682824093571
2015-08-19,2,rebound,-6.596771495277981e-05,0.0005,0.5,0.9441059977852356
2015-08-20,2,rebound,-0.004765079171577253,0.0,0.0,0.9396072579594281
2015-08-21,3,cautious,-0.004366254846993056,0.0005,0.5,0.9355046932150929
2015-08-24,2,rebound,-0.020321157801187928,0.0005,0.5,0.9164941547205171
2015-08-25,2,rebound,-0.010367748862819187,0.0,0.0,0.906992173490133
2015-08-26,3,cautious,-0.0013421091688746501,0.0005,0.5,0.9057748909779942
2015-08-27,3,cautious,0.005230599891959931,0.0,0.0,0.9105126370248837
2015-08-28,2,rebound,0.0014634627203332089,0.0005,0.5,0.9118451383255619
2015-08-31,3,cautious,-0.004199857917390604,0.0005,0.5,0.9080155183019312
2015-09-01,2,rebound,-0.01196644120089449,0.0005,0.5,0.8971498039926713
2015-09-02,2,rebound,0.006023690109149737,0.0,0.0,0.9025539563934075
2015-09-03,3,cautious,-0.00032966659432912535,0.0005,0.5,0.9022564145044051
2015-09-04,2,rebound,-0.005972141668472224,0.0005,0.5,0.8968680113756969
2015-09-08,3,cautious,0.0001559100656302495,0.0005,0.5,0.8970078421262122
2015-09-09,3,cautious,-0.0038203963781807022,0.0,0.0,0.8935809166149535
2015-09-10,2,rebound,0.0009516857740914267,0.0005,0.5,0.8944313248612956
2015-09-11,2,rebound,0.0029946839167574735,0.0,0.0,0.8971098639645018
2015-09-14,3,cautious,-0.0006594799246772638,0.0005,0.5,0.8965182380189872
2015-09-15,2,rebound,0.0008398909704644244,0.0005,0.5,0.897271215591956
2015-09-16,3,cautious,0.002764249615764692,0.0005,0.5,0.8997514972048928
2015-09-17,3,cautious,0.005262136230858028,0.0,0.0,0.9044861121571034
2015-09-18,2,rebound,-0.003669930566653589,0.0005,0.5,0.9011667109269844
2015-09-21,2,rebound,-0.0018681503709447546,0.0,0.0,0.899483196001683
2015-09-22,3,cautious,-0.00028828637334444825,0.0005,0.5,0.8992238872532234
2015-09-23,2,rebound,-0.0006374559586185265,0.0005,0.5,0.8986506716281618
2015-09-24,3,cautious,0.005016847130203329,0.0005,0.5,0.9031590646711748
2015-09-25,3,cautious,-0.0038764483429436837,0.0,0.0,0.8996580152115157
2015-09-28,2,rebound,-0.010269714484474935,0.0005,0.5,0.890418784261624
2015-09-29,2,rebound,0.00022064967375060046,0.0,0.0,0.8906152548758728
2015-09-30,2,rebound,0.006146643813388552,0.0,0.0,0.8960895496223651
2015-10-01,2,rebound,0.0018450393514495124,0.0,0.0,0.897742870103841
2015-10-02,3,cautious,0.008539906391755404,0.0005,0.5,0.9054095101783938
2015-10-05,3,cautious,-0.0009151366876737118,0.0,0.0,0.9045809367182608
2015-10-06,3,cautious,0.00261311821113277,0.0,0.0,0.9069447136374429
2015-10-07,2,rebound,0.002302859211662262,0.0005,0.5,0.9090332796257113
2015-10-08,3,cautious,-0.002228152397460181,0.0005,0.5,0.9070078149443422
2015-10-09,2,rebound,0.0026709310729039707,0.0005,0.5,0.9094303703006439
2015-10-12,3,cautious,0.0027642408345281647,0.0005,0.5,0.911944254866389
2015-10-13,3,cautious,0.00023898622528142324,0.0,0.0,0.9121621969815266
2015-10-14,3,cautious,0.005152906596909545,0.0,0.0,0.9168624835838042
2015-10-15,2,rebound,0.00474422925003104,0.0005,0.5,0.9212122893966785
2015-10-16,2,rebound,0.0010514018718438044,0.0,0.0,0.9221808537221157
2015-10-19,2,rebound,-0.0009541359915638147,0.0,0.0,0.9213009677788484
2015-10-20,2,rebound,-0.0008544411489078532,0.0,0.0,0.9205137703214495
2015-10-21,3,cautious,-0.0005350875597224802,0.0005,0.5,0.9200212148543973
2015-10-22,2,rebound,0.007386964977993954,0.0005,0.5,0.926817379347538
2015-10-23,3,cautious,-0.0012069767205815977,0.0005,0.5,0.9256987323464352
2015-10-26,3,cautious,0.0013793826748556446,0.0,0.0,0.9269756251399697
2015-10-27,2,rebound,-0.000532895926280052,0.0005,0.5,0.9264816436055717
2015-10-28,2,rebound,0.0031054533553961866,0.0,0.0,0.9293587891344197
2015-10-29,3,cautious,-0.007301227112560649,0.0005,0.5,0.922573329545895
2015-10-30,2,rebound,-0.0015036477981131167,0.0005,0.5,0.9211861041903254
2015-11-02,2,rebound,0.003430287186350495,0.0,0.0,0.9243460370797737
2015-11-03,3,cautious,-0.00534536016303333,0.0005,0.5,0.9194050745963097
2015-11-04,2,rebound,-0.0030495905925363386,0.0005,0.5,0.9166012655300907
2015-11-05,2,rebound,-0.001444832422774578,0.0,0.0,0.9152769303028966
2015-11-06,3,cautious,-0.00791708518770816,0.0005,0.5,0.9080306048753445
2015-11-09,2,rebound,-0.005393190571109601,0.0005,0.5,0.9031334227788518
2015-11-10,3,cautious,0.0004273675973001438,0.0005,0.5,0.9035193927397862
2015-11-11,3,cautious,-0.0020901911460636914,0.0,0.0,0.9016308645047847
2015-11-12,2,rebound,-0.005790524743674386,0.0005,0.5,0.8964099486742092
2015-11-13,2,rebound,-0.004328552899072013,0.0,0.0,0.8925297907921185
2015-11-16,3,cautious,0.002555130468501444,0.0005,0.5,0.8948103208546166
2015-11-17,2,rebound,-0.0024751020326056355,0.0005,0.5,0.8925955740106729
2015-11-18,3,cautious,0.0034753979242776356,0.0005,0.5,0.895697698815809
2015-11-19,3,cautious,0.004033490760459735,0.0,0.0,0.8993104872081477
2015-11-20,3,cautious,-0.0010975947194405422,0.0,0.0,0.8983234087662505
2015-11-23,3,cautious,-0.0009180047409302008,0.0,0.0,0.8974987436181145
2015-11-24,3,cautious,0.0015728685395362764,0.0,0.0,0.8989103911562247
2015-11-25,2,rebound,-0.0008003948245661082,0.0005,0.5,0.8981909079313947
2015-11-27,3,cautious,-0.00292979176368473,0.0005,0.5,0.8955593956071208
2015-11-30,2,rebound,-0.0005820350883110721,0.0005,0.5,0.8950381486152108
2015-12-01,2,rebound,0.007522287767626923,0.0,0.0,0.9017708831320984
2015-12-02,3,cautious,-0.005552372117245607,0.0005,0.5,0.8967639156244518
2015-12-03,3,cautious,-0.008830285631650935,0.0,0.0,0.8888452341053302
2015-12-04,2,rebound,0.01336450493020176,0.0005,0.5,0.9007242106187173
2015-12-07,3,cautious,-0.0013963353921163549,0.0005,0.5,0.8994664975248944
2015-12-08,3,cautious,-0.0008649227896300183,0.0,0.0,0.8986885284526764
2015-12-09,2,rebound,-0.004505798147548012,0.0005,0.5,0.8946392193459517
2015-12-10,2,rebound,0.0012927570117931277,0.0,0.0,0.8957957704697863
2015-12-11,3,cautious,0.0014435649058965332,0.0005,0.5,0.897088909806887
2015-12-14,2,rebound,-0.002732514659350593,0.0005,0.5,0.8946376012100989
2015-12-15,2,rebound,0.0031474682565694415,0.0,0.0,0.8974534446610413
2015-12-16,3,cautious,0.004207317341179007,0.0005,0.5,0.9012293161016645
2015-12-17,3,cautious,-0.004035589793896666,0.0,0.0,0.8975923242716441
2015-12-18,2,rebound,-0.005108469966275042,0.0005,0.5,0.8930070008411435
2015-12-21,3,cautious,0.003252345940504942,0.0005,0.5,0.8959113685351716
2015-12-22,2,rebound,0.001353397666635892,0.0005,0.5,0.8971238928908598
2015-12-23,3,cautious,-0.0008645305710806785,0.0005,0.5,0.8963483018594087
2015-12-24,2,rebound,0.000987933400183261,0.0005,0.5,0.8972338342850131
2015-12-28,3,cautious,-0.0015842322183473921,0.0005,0.5,0.8958124075373475
2015-12-29,3,cautious,-0.0029865766823956364,0.0,0.0,0.8931369950891958
2015-12-30,2,rebound,-0.005034156220591484,0.0005,0.5,0.8886408039295272
2015-12-31,2,rebound,-0.003542610513578043,0.0,0.0,0.885492695674732
2016-01-04,3,cautious,0.0016875623898406802,0.0005,0.5,0.8869870198444313
2016-01-05,3,cautious,-0.00030842958844577977,0.0,0.0,0.886713446802944
2016-01-06,2,rebound,-0.0013150775716315728,0.0005,0.5,0.8855473498365893
2016-01-07,2,rebound,-0.008316321100491502,0.0,0.0,0.878182853725659
2016-01-08,3,cautious,-0.0022374736867400878,0.0005,0.5,0.8762179426983014
2016-01-11,2,rebound,-0.0035773443835475254,0.0005,0.5,0.8730834093622262
2016-01-12,3,cautious,0.004429212286613849,0.0005,0.5,0.8769504811262121
2016-01-13,3,cautious,-0.0010522207160655003,0.0,0.0,0.8760277356630075
2016-01-14,3,cautious,-0.00277158468478288,0.0,0.0,0.8735997506073989
2016-01-15,2,rebound,-0.0054989676393621,0.0005,0.5,0.868795853849054
2016-01-19,3,cautious,-0.001356393258518595,0.0005,0.5,0.8676174250098643
2016-01-20,2,rebound,-0.0021557435015445658,0.0005,0.5,0.8657470643840725
2016-01-21,2,rebound,0.0013340299448048043,0.0,0.0,0.8669019968925876
2016-01-22,2,rebound,0.007772335679304398,0.0,0.0,0.8736398502134962
2016-01-25,3,cautious,0.00016122698886197363,0.0005,0.5,0.873780704535896
2016-01-26,3,cautious,0.005152956527202335,0.0,0.0,0.8782832585206777
2016-01-27,3,cautious,-0.0015024060505230198,0.0,0.0,0.8769637204390032
2016-01-28,3,cautious,-0.000665557432677888,0.0,0.0,0.8763800507166761
2016-01-29,3,cautious,0.008188107781689657,0.0,0.0,0.883555945029667
2016-02-01,3,cautious,0.0010661348595881193,0.0,0.0,0.8844979348230595
2016-02-02,2,rebound,-0.004843987226692619,0.0005,0.5,0.8802134381247405
2016-02-03,3,cautious,0.00035753806016508615,0.0005,0.5,0.8805281479299388
2016-02-04,3,cautious,0.004183817321512695,0.0,0.0,0.8842121168473276
2016-02-05,2,rebound,-0.006465168911105051,0.0005,0.5,0.8784955361586638
2016-02-08,2,rebound,0.0002628931412480551,0.0,0.0,0.878726486609737
2016-02-09,2,rebound,-9.208165652019873e-05,0.0,0.0,0.8786455720192218
2016-02-10,2,rebound,0.0025363840307161935,0.0,0.0,0.8808741546167509
2016-02-11,2,rebound,0.001575389396403864,0.0,0.0,0.8822618744195003
2016-02-12,3,cautious,-0.002532925883726366,0.0005,0.5,0.8800271704815582
2016-02-16,2,rebound,0.00043134064347817884,0.0005,0.5,0.880406761967552
2016-02-17,3,cautious,0.0021597128759078834,0.0005,0.5,0.8823081877874096
2016-02-18,2,rebound,0.0037661528519768394,0.0005,0.5,0.8856310952851676
2016-02-19,3,cautious,-0.0015422356660371836,0.0005,0.5,0.8842652434230672
2016-02-22,3,cautious,-0.0008195094136426276,0.0,0.0,0.883540579731925
2016-02-23,2,rebound,-0.0031267287876070907,0.0005,0.5,0.8807779879662582
2016-02-24,3,cautious,0.0004872393138720683,0.0005,0.5,0.8812071376287886
2016-02-25,2,rebound,0.006062304111627337,0.0005,0.5,0.886549283282431
2016-02-26,3,cautious,-0.005227581874478093,0.0005,0.5,0.8819147743183122
2016-02-29,2,rebound,-0.0011953956076264979,0.0005,0.5,0.8808605372707912
2016-03-01,3,cautious,-0.0025476293612217587,0.0005,0.5,0.8786164311028986
2016-03-02,3,cautious,0.0036818530809588747,0.0,0.0,0.8818513677167358
2016-03-03,2,rebound,0.004583737500839503,0.0005,0.5,0.8858935429011056
2016-03-04,2,rebound,-5.4421304753810105e-05,0.0,0.0,0.8858453314186279
2016-03-07,3,cautious,0.0005618307565346654,0.0005,0.5,0.8863430265713516
2016-03-08,3,cautious,0.00020541017967534714,0.0,0.0,0.8865250904516936
2016-03-09,3,cautious,-0.002493899488712226,0.0,0.0,0.8843141859818855
2016-03-10,3,cautious,0.0021406875615078815,0.0,0.0,0.8862072263602819
2016-03-11,2,rebound,0.002160838598312032,0.0005,0.5,0.8881221771411043
2016-03-14,3,cautious,-0.0023936998951859965,0.0005,0.5,0.8859962791787693
2016-03-15,2,rebound,-0.0009309794221261043,0.0005,0.5,0.8851714348747737
2016-03-16,2,rebound,0.0065428105708635,0.0,0.0,0.8909629438958988
2016-03-17,2,rebound,0.003109066943418265,0.0,0.0,0.8937330073325761
2016-03-18,3,cautious,0.0003656755823544859,0.0005,0.5,0.8940598236705019
2016-03-21,3,cautious,-0.0034198175425563804,0.0,0.0,0.8910023022014186
2016-03-22,3,cautious,0.00041065523596347527,0.0,0.0,0.8913681969620731
2016-03-23,3,cautious,-0.0024485000723894145,0.0,0.0,0.8891856818672859
2016-03-24,3,cautious,-0.00045300912253434247,0.0,0.0,0.888782872641773
2016-03-28,3,cautious,0.0009759506041144839,0.0,0.0,0.8896502808232544
2016-03-29,2,rebound,0.008538395896725826,0.0005,0.5,0.8972464671305566
2016-03-30,3,cautious,-0.005576772800208319,0.0005,0.5,0.8922427274375799
2016-03-31,2,rebound,0.0005183658165100031,0.0005,0.5,0.8927052355675132
2016-04-01,2,rebound,0.0026819084735394743,0.0,0.0,0.8950993893031548
2016-04-04,2,rebound,-0.0023353073647666314,0.0,0.0,0.8930090571071171
2016-04-05,3,cautious,0.0033832897448583202,0.0005,0.5,0.8960303654920931
2016-04-06,3,cautious,-0.0012182507917471775,0.0,0.0,0.8949387757899029
2016-04-07,3,cautious,0.004166424656831325,0.0,0.0,0.8986674707717084
2016-04-08,3,cautious,-0.0016612144100027646,0.0,0.0,0.8971745914194617
2016-04-11,2,rebound,0.00021279316223079018,0.0005,0.5,0.897365504037843
2016-04-12,3,cautious,-0.0006747169528843017,0.0005,0.5,0.8967600363193351
2016-04-13,2,rebound,0.0031487707356900375,0.0005,0.5,0.8995837280786338
2016-04-14,3,cautious,-0.004724243525333072,0.0005,0.5,0.8953338754757634
2016-04-15,2,rebound,0.0017530823712302752,0.0005,0.5,0.8969034695092252
2016-04-18,2,rebound,0.0020687286802560712,0.0,0.0,0.8987589194400201
2016-04-19,3,cautious,0.0023195612361962777,0.0005,0.5,0.9008436457902389
2016-04-20,2,rebound,-0.0030365776886427218,0.0005,0.5,0.8981081640744767
2016-04-21,3,cautious,-0.0026034155094498907,0.0005,0.5,0.8957700153509617
2016-04-22,3,cautious,-0.0033317651184129994,0.0,0.0,0.892785520059695
2016-04-25,3,cautious,-0.0010063988683448378,0.0,0.0,0.8918870217226322
2016-04-26,2,rebound,-0.0001423648012445209,0.0005,0.5,0.8917600484040521
2016-04-27,3,cautious,0.0034786669803614227,0.0005,0.5,0.8948621846388408
2016-04-28,2,rebound,-0.000924235719833516,0.0005,0.5,0.8940351210434694
2016-04-29,3,cautious,0.0030789932436989026,0.0005,0.5,0.8967878491407918
2016-05-02,2,rebound,0.0005658493493725719,0.0005,0.5,0.8972952959617533
2016-05-03,3,cautious,0.001083583958586043,0.0005,0.5,0.8982675907505722
2016-05-04,2,rebound,-0.002828141564761593,0.0005,0.5,0.8957271628408922
2016-05-05,2,rebound,0.001077628396214492,0.0,0.0,0.89669242386683
2016-05-06,3,cautious,0.0007679614127790062,0.0005,0.5,0.8973810490474909
2016-05-09,3,cautious,-0.0029996213245539805,0.0,0.0,0.8946892457165174
2016-05-10,2,rebound,0.005520652200751874,0.0005,0.5,0.8996285138698713
2016-05-11,2,rebound,-0.0016652194731649917,0.0,0.0,0.8981304349499607
2016-05-12,2,rebound,-0.001960158042594573,0.0,0.0,0.8963699573545946
2016-05-13,3,cautious,0.0015729679490029793,0.0005,0.5,0.8977799185679626
2016-05-16,2,rebound,0.0023267463843293043,0.0005,0.5,0.899868824747414
2016-05-17,3,cautious,-0.0011737884853784018,0.0005,0.5,0.8988125690825746
2016-05-18,3,cautious,-0.0076812114397186385,0.0,0.0,0.8919085996947745
2016-05-19,3,cautious,0.0002213207441501997,0.0,0.0,0.8921059975697729
2016-05-20,2,rebound,0.0022963476060690606,0.0005,0.5,0.8941545830416522
2016-05-23,3,cautious,-0.0006720178530019823,0.0005,0.5,0.8935536951985047
2016-05-24,2,rebound,0.001842620578611621,0.0005,0.5,0.895200175625372
2016-05-25,3,cautious,-0.000820875768817197,0.0005,0.5,0.8944653274929603
2016-05-26,2,rebound,0.00015170626348550765,0.0005,0.5,0.8946010234856115
2016-05-27,3,cautious,-0.0017252225980544207,0.0005,0.5,0.8930576375836515
2016-05-31,3,cautious,0.0010966454110398426,0.0,0.0,0.8940370051437018
2016-06-01,3,cautious,0.0014202505416983425,0.0,0.0,0.8953067616845554
2016-06-02,3,cautious,0.0023052025812064112,0.0,0.0,0.8973706251425622
2016-06-03,3,cautious,0.009223538766033011,0.0,0.0,0.905647557891064
2016-06-06,2,rebound,0.00035407318916680385,0.0005,0.5,0.9059682234101477
2016-06-07,3,cautious,0.0003700302806881943,0.0005,0.5,0.9063034590861507
2016-06-08,2,rebound,0.004259882607889166,0.0005,0.5,0.9101642054289817
2016-06-09,2,rebound,0.0015097452409597646,0.0,0.0,0.9115383215066201
2016-06-10,3,cautious,-0.00013352439119730338,0.0005,0.5,0.9114166089071879
2016-06-13,2,rebound,-0.001971190014049261,0.0005,0.5,0.9096200335890714
2016-06-14,3,cautious,-0.0009028985312271138,0.0005,0.5,0.908798738996769
2016-06-15,2,rebound,0.0007533194942203451,0.0005,0.5,0.9094833548031782
2016-06-16,2,rebound,0.0007382118674924667,0.0,0.0,0.9101547462089808
2016-06-17,2,rebound,-0.0009970750555701182,0.0,0.0,0.9092472536148272
2016-06-20,3,cautious,-0.003613895070004857,0.0005,0.5,0.9059613294475731
2016-06-21,2,rebound,-0.0030322794354484925,0.0005,0.5,0.9032142015389777
2016-06-22,3,cautious,-0.00023266190796616916,0.0005,0.5,0.9030040579995455
2016-06-23,2,rebound,0.0020923116699435203,0.0005,0.5,0.9048934239281045
2016-06-24,2,rebound,-0.0034339982823675015,0.0,0.0,0.9017860214646097
2016-06-27,2,rebound,-0.002256225532507039,0.0,0.0,0.8997513888181233
2016-06-28,3,cautious,0.0015850149591301378,0.0005,0.5,0.9011775082288982
