Date,regime
2015-03-31,Recovery
2015-04-01,Recovery
2015-04-02,Recovery
2015-04-06,Recovery
2015-04-07,Recovery
2015-04-08,Recovery
2015-04-09,Recovery
2015-04-10,Recovery
2015-04-13,Recovery
2015-04-14,Recovery
2015-04-15,Recovery
2015-04-16,Recovery
2015-04-17,Recovery
2015-04-20,Recovery
2015-04-21,Recovery
2015-04-22,Recovery
2015-04-23,Recovery
2015-04-24,Recovery
2015-04-27,Recovery
2015-04-28,Recovery
2015-04-29,Recovery
2015-04-30,Recovery
2015-05-01,Recovery
2015-05-04,Recovery
2015-05-05,Recovery
2015-05-06,Recovery
2015-05-07,Recovery
2015-05-08,Recovery
2015-05-11,Recovery
2015-05-12,Recovery
2015-05-13,Recovery
2015-05-14,Recovery
2015-05-15,Recovery
2015-05-18,Recovery
2015-05-19,Recovery
2015-05-20,Recovery
2015-05-21,Recovery
2015-05-22,Recovery
2015-05-26,Recovery
2015-05-27,Recovery
2015-05-28,Recovery
2015-05-29,Recovery
2015-06-01,Recovery
2015-06-02,Recovery
2015-06-03,Recovery
2015-06-04,Recovery
2015-06-05,Recovery
2015-06-08,Recovery
2015-06-09,Recovery
2015-06-10,Recovery
2015-06-11,Recovery
2015-06-12,Recovery
2015-06-15,Recovery
2015-06-16,Recovery
2015-06-17,Recovery
2015-06-18,Recovery
2015-06-19,Recovery
2015-06-22,Recovery
2015-06-23,Recovery
2015-06-24,Recovery
2015-06-25,Recovery
2015-06-26,Recovery
2015-06-29,Recovery
2015-06-30,Recovery
2015-07-01,Recovery
2015-07-02,Recovery
2015-07-06,Recovery
2015-07-07,Recovery
2015-07-08,Recovery
2015-07-09,Recovery
2015-07-10,Recovery
2015-07-13,Recovery
2015-07-14,Recovery
2015-07-15,Recovery
2015-07-16,Recovery
2015-07-17,Recovery
2015-07-20,Recovery
2015-07-21,Recovery
2015-07-22,Recovery
2015-07-23,Recovery
2015-07-24,Recovery
2015-07-27,Recovery
2015-07-28,Recovery
2015-07-29,Risk-On
2015-07-30,Risk-On
2015-07-31,Risk-On
2015-08-03,Risk-On
2015-08-04,Risk-On
2015-08-05,Risk-On
2015-08-06,Risk-On
2015-08-07,Risk-On
2015-08-10,Risk-On
2015-08-11,Risk-On
2015-08-12,Risk-On
2015-08-13,Risk-On
2015-08-14,Risk-On
2015-08-17,Risk-On
2015-08-18,Risk-On
2015-08-19,Risk-On
2015-08-20,Recovery
2015-08-21,Recovery
2015-08-24,Recovery
2015-08-25,Recovery
2015-08-26,Recovery
2015-08-27,Recovery
2015-08-28,Recovery
2015-08-31,Recovery
2015-09-01,Recovery
2015-09-02,Recovery
2015-09-03,Recovery
2015-09-04,Recovery
2015-09-08,Recovery
2015-09-09,Recovery
2015-09-10,Recovery
2015-09-11,Recovery
2015-09-14,Recovery
2015-09-15,Recovery
2015-09-16,Recovery
2015-09-17,Recovery
2015-09-18,Recovery
2015-09-21,Recovery
2015-09-22,Recovery
2015-09-23,Recovery
2015-09-24,Recovery
2015-09-25,Recovery
2015-09-28,Recovery
2015-09-29,Recovery
2015-09-30,Recovery
2015-10-01,Recovery
2015-10-02,Recovery
2015-10-05,Recovery
2015-10-06,Recovery
2015-10-07,Recovery
2015-10-08,Recovery
2015-10-09,Recovery
2015-10-12,Recovery
2015-10-13,Recovery
2015-10-14,Recovery
2015-10-15,Recovery
2015-10-16,Recovery
2015-10-19,Recovery
2015-10-20,Recovery
2015-10-21,Recovery
2015-10-22,Recovery
2015-10-23,Recovery
2015-10-26,Recovery
2015-10-27,Risk-On
2015-10-28,Risk-On
2015-10-29,Risk-On
